	f7pp	f31pp	S22Hp	S18H1	f19pp	w27pp	S20H1	f25pp	S26Hp	31160	530055	S9H1	31600	f26pp
f7pp	0.0	0.05517792547610631	0.16166879121645977	0.16960928377444512	0.12213416740509345	0.13023722443582444	0.15596462370371103	0.12067410341021104	0.14968780343928173	0.6802200284629769	0.7459839305148385	0.729745427476763	0.8537427086003376	0.11833036224255356
f31pp	0.05517792547610631	0.0	0.15864211694468472	0.16658260950267006	0.11910749313331839	0.1272105501640494	0.15293794943193598	0.11764742913843598	0.14666112916750668	0.6771933541912019	0.7429572562430634	0.7267187532049879	0.8507160343285626	0.1153036879707785
S22Hp	0.16166879121645977	0.15864211694468472	0.0	0.15876069215626087	0.17054138291322513	0.17864443994395612	0.23517252841616276	0.19988200812266277	0.22889570815173346	0.7594279331754287	0.8251918352272902	0.8089533321892147	0.9329506133127894	0.19753826695500526
S18H1	0.16960928377444512	0.16658260950267006	0.15876069215626087	0.0	0.17848187547121047	0.18658493250194147	0.24311302097414814	0.20782250068064814	0.23683620070971886	0.7673684257334141	0.8331323277852756	0.8168938247472002	0.9408911058707747	0.20547875951299066
f19pp	0.12213416740509345	0.11910749313331839	0.17054138291322513	0.17848187547121047	0.0	0.03568354984792761	0.19563790460479644	0.16034738431129644	0.18936108434036716	0.7198933093640624	0.7856572114159239	0.7694187083778484	0.8934159895014231	0.15800364314363896
w27pp	0.13023722443582444	0.1272105501640494	0.17864443994395612	0.18658493250194147	0.03568354984792761	0.0	0.20374096163552743	0.16845044134202744	0.19746414137109816	0.7279963663947934	0.7937602684466549	0.7775217654085794	0.9015190465321541	0.16610670017436996
S20H1	0.15596462370371103	0.15293794943193598	0.23517252841616276	0.24311302097414814	0.19563790460479644	0.20374096163552743	0.0	0.08686805100455101	0.17259786227465432	0.7031300872983496	0.7688939893502111	0.7526554863121356	0.8766527674357103	0.14124042107792614
f25pp	0.12067410341021104	0.11764742913843598	0.19988200812266277	0.20782250068064814	0.16034738431129644	0.16845044134202744	0.08686805100455101	0.0	0.13730734198115435	0.6678395670048496	0.7336034690567111	0.7173649660186356	0.8413622471422103	0.10594990078442616
S26Hp	0.14968780343928173	0.14666112916750668	0.22889570815173346	0.23683620070971886	0.18936108434036716	0.19746414137109816	0.17259786227465432	0.13730734198115435	0.0	0.5305342250246953	0.5962981270765568	0.5800596240384813	0.704056905162056	0.06767851131338351
31160	0.6802200284629769	0.6771933541912019	0.7594279331754287	0.7673684257334141	0.7198933093640624	0.7279963663947934	0.7031300872983496	0.6678395670048496	0.5305342250246953	0.0	0.6074086849744043	0.6506972437655862	0.7746945248891608	0.5982107363370788
530055	0.7459839305148385	0.7429572562430634	0.8251918352272902	0.8331323277852756	0.7856572114159239	0.7937602684466549	0.7688939893502111	0.7336034690567111	0.5962981270765568	0.6074086849744043	0.0	0.7164611458174478	0.8404584269410225	0.6639746383889403
S9H1	0.729745427476763	0.7267187532049879	0.8089533321892147	0.8168938247472002	0.7694187083778484	0.7775217654085794	0.7526554863121356	0.7173649660186356	0.5800596240384813	0.6506972437655862	0.7164611458174478	0.0	0.7534859505825595	0.6477361353508648
31600	0.8537427086003376	0.8507160343285626	0.9329506133127894	0.9408911058707747	0.8934159895014231	0.9015190465321541	0.8766527674357103	0.8413622471422103	0.704056905162056	0.7746945248891608	0.8404584269410225	0.7534859505825595	0.0	0.7717334164744395
f26pp	0.11833036224255356	0.1153036879707785	0.19753826695500526	0.20547875951299066	0.15800364314363896	0.16610670017436996	0.14124042107792614	0.10594990078442616	0.06767851131338351	0.5982107363370788	0.6639746383889403	0.6477361353508648	0.7717334164744395	0.0
