	S1Hp	S18H1	S26Hp	F8H1	31160	530451	f14ppB	F7H1	31300	F32H1	w20pp	F16H1	S9H1	S14Hp
S1Hp	0.0	0.21662039366269215	0.3511824280018837	0.32161937005514507	0.33171453306235565	0.3914233163659048	0.2611221824320798	0.35312308855647934	1.435047063766972	0.30625510311369575	0.2579078323149673	0.23865079354346327	0.22327763088177124	0.20681305080663293
S18H1	0.21662039366269215	0.0	0.26934423342153596	0.23978117547479733	0.2498763384820079	0.3095851217855571	0.17928398785173205	0.2712848939761316	1.3532088691866244	0.25182947604261796	0.20348220524388955	0.18422516647238552	0.22385416041110634	0.20738958033596802
S26Hp	0.3511824280018837	0.26934423342153596	0.0	0.29210123728706294	0.3491753312616289	0.40888411456517815	0.2785829806313531	0.37058388675575266	1.4525078619662455	0.3863915103818095	0.33804423958308105	0.3187872008115771	0.35841619475029785	0.34195161467515955
F8H1	0.32161937005514507	0.23978117547479733	0.29210123728706294	0.0	0.3196122733148903	0.3793210566184395	0.24901992268461448	0.341020828809014	1.422944804019507	0.3568284524350709	0.3084811816363424	0.28922414286483844	0.3288531368035592	0.3123885567284209
31160	0.33171453306235565	0.2498763384820079	0.3491753312616289	0.3196122733148903	0.0	0.3086248553004717	0.21850623969167488	0.3105071458160744	1.3924311210265672	0.3669236154422814	0.318576344643553	0.29931930587204897	0.3389482998107698	0.3224837197356315
530451	0.3914233163659048	0.3095851217855571	0.40888411456517815	0.3793210566184395	0.3086248553004717	0.0	0.27821502299522405	0.37021592911962364	1.4521399043301164	0.4266323987458306	0.37828512794710223	0.35902808917559814	0.398657083114319	0.3821925030391807
f14ppB	0.2611221824320798	0.17928398785173205	0.2785829806313531	0.24901992268461448	0.21850623969167488	0.27821502299522405	0.0	0.1916697794540245	1.2822868000668726	0.29633126481200556	0.24798399401327717	0.22872695524177314	0.268355949180494	0.25189136910535564
F7H1	0.35312308855647934	0.2712848939761316	0.37058388675575266	0.341020828809014	0.3105071458160744	0.37021592911962364	0.1916697794540245	0.0	1.3742877061912722	0.38833217093640515	0.3399849001376767	0.3207278613661727	0.3603568553048935	0.3438922752297552
31300	1.435047063766972	1.3532088691866244	1.4525078619662455	1.422944804019507	1.3924311210265672	1.4521399043301164	1.2822868000668726	1.3742877061912722	0.0	1.470256146146898	1.4219088753481695	1.4026518365766654	1.4422808305153862	1.4258162504402478
F32H1	0.30625510311369575	0.25182947604261796	0.3863915103818095	0.3568284524350709	0.3669236154422814	0.4266323987458306	0.29633126481200556	0.38833217093640515	1.470256146146898	0.0	0.20381582012022603	0.22383067343498525	0.3134888698621099	0.2970242897869716
w20pp	0.2579078323149673	0.20348220524388955	0.33804423958308105	0.3084811816363424	0.318576344643553	0.37828512794710223	0.24798399401327717	0.3399849001376767	1.4219088753481695	0.20381582012022603	0.0	0.17548340263625684	0.26514159906338153	0.24867701898824318
F16H1	0.23865079354346327	0.18422516647238552	0.3187872008115771	0.28922414286483844	0.29931930587204897	0.35902808917559814	0.22872695524177314	0.3207278613661727	1.4026518365766654	0.22383067343498525	0.17548340263625684	0.0	0.24588456029187747	0.22941998021673915
S9H1	0.22327763088177124	0.22385416041110634	0.35841619475029785	0.3288531368035592	0.3389482998107698	0.398657083114319	0.268355949180494	0.3603568553048935	1.4422808305153862	0.3134888698621099	0.26514159906338153	0.24588456029187747	0.0	0.15967757467939406
S14Hp	0.20681305080663293	0.20738958033596802	0.34195161467515955	0.3123885567284209	0.3224837197356315	0.3821925030391807	0.25189136910535564	0.3438922752297552	1.4258162504402478	0.2970242897869716	0.24867701898824318	0.22941998021673915	0.15967757467939406	0.0
