	530227	s25pp	s9pp	s13pp	S28Hp	s14pp	S30H1	S19H1	F22H1A	s24pp	530050	530055	F29H1	S8Hp	F8H1	530167	31749	31343	S7Hp	S25Hp	530364	S6Hp	s29pp	s1pp	530119	F23HpA	S31Hp	s24H1	31021	31360	31328	530394	530368	31750	S17H1	S22Hp	31519
530227	0.0	0.4045242000593501	0.4050872095961886	0.4057997471304271	0.36817002496703477	0.3986066942021236	0.3988717414969837	0.3977646185426167	0.4942296104756526	0.46785788069835466	0.2572496572580588	0.2173121562739894	0.2546309246166619	0.26896929862698493	0.27940540247494383	0.2958250063967169	0.327844765083127	0.2943544979958749	0.32990167495773526	0.5103078537989445	0.7170395746669385	0.735479869520252	0.7264872009082917	0.7915156688533624	0.6915975378622328	0.576125389986448	0.07933558998253622	0.13588467372798405	0.14725375749205447	0.16590074247180955	0.16272369535733885	0.05335379092595495	0.027289100628963867	0.02941372128592404	0.04660197016815032	0.03362309747788057	0.005570514164034125
s25pp	0.4045242000593501	0.0	0.0010308969000059685	0.006647644312278081	0.27627306295648785	0.3067097321915767	0.3069747794864368	0.3058676565320698	0.5416977474177854	0.5153260176404875	0.40132882829934724	0.45019693841547254	0.48751570675814504	0.5018540807684682	0.512290184616427	0.5287097885382	0.5607295472246102	0.527239280137358	0.5627864570992184	0.7431926359404275	0.9499243568084215	0.968364651661735	0.9593719830497747	1.0244004509948454	0.9244823200037158	0.8090101721279311	0.3364669076538931	0.4461950979988487	0.45756418176291913	0.4762111667426742	0.47303411962820346	0.4497925539638128	0.4237278636668217	0.42585248432378187	0.4430407332060081	0.4300618605157384	0.41009271422238414
s9pp	0.4050872095961886	0.0010308969000059685	0.0	0.007210653849116597	0.27683607249332637	0.30727274172841523	0.30753778902327533	0.30643066606890834	0.542260756954624	0.515889027177326	0.40189183783618576	0.45075994795231106	0.48807871629498356	0.5024170903053067	0.5128531941532655	0.5292727980750386	0.5612925567614487	0.5278022896741965	0.5633494666360569	0.743755645477266	0.95048736634526	0.9689276611985735	0.9599349925866132	1.024963460531684	0.9250453295405543	0.8095731816647697	0.3370299171907316	0.44675810753568723	0.45812719129975765	0.47677417627951274	0.473597129165042	0.4503555635006513	0.4242908732036602	0.4264154938606204	0.44360374274284664	0.43062487005257694	0.41065572375922266
s13pp	0.4057997471304271	0.006647644312278081	0.007210653849116597	0.0	0.2775486100275649	0.30798527926265373	0.30825032655751383	0.3071432036031469	0.5429732944888624	0.5166015647115646	0.40260437537042426	0.45147248548654956	0.48879125382922206	0.5031296278395452	0.513565731687504	0.5299853356092771	0.5620050942956872	0.528514827208435	0.5640620041702954	0.7444681830115045	0.9511999038794985	0.969640198732812	0.9606475301208517	1.0256759980659225	0.9257578670747928	0.8102857191990082	0.3377424547249701	0.44747064506992573	0.45883972883399615	0.47748671381375124	0.4743096666992805	0.4510681010348898	0.4250034107378987	0.4271280313948589	0.44431628027708514	0.43133740758681544	0.41136826129346116
S28Hp	0.36817002496703477	0.27627306295648785	0.27683607249332637	0.2775486100275649	0.0	0.06755600601896218	0.06782105331382224	0.06671393035945532	0.5053435723254701	0.4789718425481722	0.36497465320703193	0.4138427633231572	0.45116153166582973	0.46549990567615285	0.47593600952411164	0.49235561344588474	0.5243753721322949	0.49088510504504274	0.5264322820069031	0.7068384608481122	0.9135701817161062	0.9320104765694197	0.9230178079574594	0.9880462759025301	0.8881281449114005	0.7726559970356158	0.3001127325615778	0.4098409229065334	0.4212100066706038	0.4398569916503589	0.43667994453588815	0.4134383788714975	0.3873736885745064	0.38949830923146656	0.4066865581136928	0.3937076854234231	0.3737385391300688
s14pp	0.3986066942021236	0.3067097321915767	0.30727274172841523	0.30798527926265373	0.06755600601896218	0.0	0.0019531986158738824	0.0008460756615069682	0.535780241560559	0.5094085117832611	0.39541132244212074	0.4442794325582461	0.48159820090091865	0.49593657491124166	0.5063726787592006	0.5227922826809737	0.5548120413673837	0.5213217742801316	0.556868951241992	0.7372751300832011	0.9440068509511951	0.9624471458045086	0.9534544771925483	1.018482945137619	0.9185648141464894	0.8030926662707047	0.33054940179666664	0.44027759214162226	0.45164667590569263	0.4702936608854478	0.467116613770977	0.4438750481065863	0.4178103578095952	0.41993497846655536	0.4371232273487816	0.4241443546585119	0.40417520836515763
S30H1	0.3988717414969837	0.3069747794864368	0.30753778902327533	0.30825032655751383	0.06782105331382224	0.0019531986158738824	0.0	0.0011091229553669725	0.536045288855419	0.5096735590781212	0.39567636973698084	0.44454447985310613	0.48186324819577864	0.49620162220610176	0.5066377260540605	0.5230573299758337	0.5550770886622438	0.5215868215749917	0.557133998536852	0.7375401773780612	0.9442718982460552	0.9627121930993687	0.9537195244874084	1.0187479924324792	0.9188298614413495	0.8033577135655647	0.3308144490915267	0.4405426394364823	0.45191172320055273	0.4705587081803078	0.46738166106583706	0.4441400954014464	0.4180754051044553	0.42020002576141546	0.4373882746436417	0.424409401953372	0.40444025566001773
S19H1	0.3977646185426167	0.3058676565320698	0.30643066606890834	0.3071432036031469	0.06671393035945532	0.0008460756615069682	0.0011091229553669725	0.0	0.5349381659010521	0.5085664361237542	0.39456924678261385	0.4434373568987392	0.48075612524141176	0.49509449925173477	0.5055306030996937	0.5219502070214668	0.5539699657078768	0.5204796986206247	0.5560268755824851	0.7364330544236942	0.9431647752916882	0.9616050701450017	0.9526124015330414	1.0176408694781123	0.9177227384869825	0.8022505906111979	0.32970732613715975	0.4394355164821154	0.45080460024618574	0.4694515852259409	0.4662745381114701	0.4430329724470794	0.4169682821500883	0.4190929028070485	0.4362811516892747	0.423302278999005	0.40333313270565074
F22H1A	0.4942296104756526	0.5416977474177854	0.542260756954624	0.5429732944888624	0.5053435723254701	0.535780241560559	0.536045288855419	0.5349381659010521	0.0	0.25506699748788786	0.4910342387156498	0.5399023488317751	0.5772211171744476	0.5915594911847707	0.6019955950327295	0.6184151989545026	0.6504349576409127	0.6169446905536606	0.6524918675155209	0.8328980463567301	1.039629767224724	1.0580700620780377	1.0490773934660773	1.114105861411148	1.0141877304200184	0.8987155825442337	0.4261723180701956	0.5359005084151512	0.5472695921792217	0.5659165771589767	0.562739530044506	0.5394979643801153	0.5134332740831242	0.5155578947400844	0.5327461436223107	0.5197672709320409	0.49979812463868667
s24pp	0.46785788069835466	0.5153260176404875	0.515889027177326	0.5166015647115646	0.4789718425481722	0.5094085117832611	0.5096735590781212	0.5085664361237542	0.25506699748788786	0.0	0.4646625089383518	0.5135306190544772	0.5508493873971497	0.5651877614074727	0.5756238652554316	0.5920434691772047	0.6240632278636148	0.5905729607763627	0.6261201377382231	0.8065263165794322	1.013258037447426	1.0316983323007398	1.0227056636887792	1.0877341316338502	0.9878160006427205	0.8723438527669358	0.3998005882928977	0.5095287786378533	0.5208978624019237	0.5395448473816788	0.5363678002672081	0.5131262346028174	0.48706154430582627	0.48918616496278644	0.5063744138450127	0.493395541154743	0.4734263948613887
