	s15pp	531424	s27pp	s1pp	S17H1	S8Hp	s24H1	31343	s21pp	s2pp	31360	F1H1	F22H1A	S28Hp	S19H1	S15Hp	S26Hp	S7Hp	F23HpA	31009	s25pp	31328	S21H1	530227	s6pp	530331	31450	S6Hp	S31Hp	S11Hp	S23Hp	F29H1	F14H1B	s12pp	s26pp	S10H1
s15pp	0.0	0.23276309918635923	0.23224596818810303	0.26137143324567824	0.2894244349493861	0.4636218726543998	0.5214675782881553	0.447018555047518	0.3927866418158811	0.5327477101073449	0.6225447293038588	0.6130799085315358	0.687372034522317	0.7320051617149741	0.748637955736514	0.8295063040602859	0.8508396802530336	0.8520471604313989	0.8581718646766784	0.7420393744324177	0.37017302594213475	0.41679123858431055	0.3959065311433433	0.49940433629801617	0.47883599968952906	0.35737628229499463	0.4342619049335571	0.414373007649644	0.46114985694823396	0.4540919835386651	0.5209168600672061	0.46042335228877196	0.52897466416579	0.29625693442322754	0.332732242728659	0.17161682076956744
531424	0.23276309918635923	0.0	0.19960165531729585	0.22872712037487108	0.2567801220785789	0.43097755978359265	0.4888232654173481	0.41437424217671076	0.3601423289450739	0.5001033972365377	0.5899004164330517	0.5804355956607287	0.6547277216515098	0.6993608488441669	0.7159936428657069	0.7968619911894788	0.8181953673822264	0.8194028475605918	0.8255275518058712	0.7093950615616106	0.33752871307132754	0.3841469257135034	0.3632622182725361	0.46676002342720896	0.4461916868187219	0.32473196942418747	0.4016175920627499	0.38172869477883686	0.42850554407742675	0.42144767066785793	0.48827254719639884	0.42777903941796475	0.49633035129498276	0.2636126215524204	0.3000879298578518	0.19271781750014874
s27pp	0.23224596818810303	0.19960165531729585	0.0	0.10378573840600064	0.17922952550463103	0.3534269632096448	0.41127266884340025	0.3368236456027629	0.28259173237112606	0.4225528006625899	0.5123498198591038	0.5028849990867807	0.5771771250775619	0.621810252270219	0.638443046291759	0.7193113946155308	0.7406447708082785	0.7418522509866439	0.7479769552319233	0.6318444649876627	0.2599781164973796	0.30659632913955553	0.2857116216985882	0.3892094268532611	0.36864109024477404	0.24718137285023958	0.324066995488802	0.304178098204889	0.3509549475034789	0.34389707409391007	0.410721950622451	0.3502284428440169	0.4187797547210349	0.1860620249784725	0.22253733328390396	0.19220068650189254
s1pp	0.26137143324567824	0.22872712037487108	0.10378573840600064	0.0	0.20835499056220624	0.38255242826722	0.4403981339009755	0.36594911066033814	0.3117171974287013	0.4516782657201651	0.5414752849166791	0.532010464144356	0.6063025901351372	0.6509357173277943	0.6675685113493343	0.7484368596731061	0.7697702358658538	0.7709777160442192	0.7771024202894986	0.660969930045238	0.28910358155495486	0.3357217941971308	0.31483708675616345	0.41833489191083634	0.3977665553023493	0.2763068379078148	0.35319246054637726	0.33330356326246424	0.3800804125610541	0.3730225391514853	0.4398474156800262	0.3793539079015921	0.44790521977861014	0.2151874900360477	0.2516627983414792	0.22132615155946775
S17H1	0.2894244349493861	0.2567801220785789	0.17922952550463103	0.20835499056220624	0.0	0.36324327520900507	0.42108898084276053	0.3466399576021232	0.29240804437048634	0.43236911266195016	0.522166131858464	0.5127013110861411	0.5869934370769223	0.6316265642695793	0.6482593582911194	0.7291277066148911	0.7504610828076388	0.7516685629860043	0.7577932672312837	0.6416607769870231	0.2697944284967399	0.3164126411389158	0.2955279336979485	0.3990257388526214	0.3784574022441343	0.25699768484959984	0.3338833074881623	0.3139944102042493	0.36077125950283917	0.35371338609327035	0.42053826262181127	0.36004475484337717	0.4285960667203952	0.19587833697783275	0.23235364528326422	0.24937915326317558
S8Hp	0.4636218726543998	0.43097755978359265	0.3534269632096448	0.38255242826722	0.36324327520900507	0.0	0.09389836124263413	0.2411483936286029	0.2981549273175418	0.43811599560900555	0.5279130148055196	0.5184481940331965	0.5927403200239776	0.6373734472166348	0.6540062412381746	0.7348745895619464	0.7562079657546941	0.7574154459330595	0.763540150178339	0.6474076599340783	0.2936791491439774	0.34029736178615333	0.31941265434518595	0.42291045949985884	0.40234212289137183	0.3050945737214902	0.4282877855727555	0.40839888828884247	0.45517573758743235	0.44811786417786353	0.5149427407064044	0.45444923292797035	0.5230005448049884	0.34522694615726096	0.38170225446269246	0.42357659096818934
s24H1	0.5214675782881553	0.4888232654173481	0.41127266884340025	0.4403981339009755	0.42108898084276053	0.09389836124263413	0.0	0.2989940992623583	0.3560006329512972	0.49596170124276096	0.5857587204392749	0.576293899666952	0.650586025657733	0.6952191528503902	0.71185194687193	0.7927202951957019	0.8140536713884495	0.8152611515668149	0.8213858558120943	0.7052533655678337	0.35152485477773276	0.3981430674199087	0.3772583599789414	0.4807561651336143	0.46018782852512724	0.3629402793552456	0.4861334912065109	0.46624459392259787	0.5130214432211877	0.5059635698116189	0.5727884463401598	0.5122949385617258	0.5808462504387437	0.4030726517910164	0.4395479600964479	0.4814222966019448
31343	0.447018555047518	0.41437424217671076	0.3368236456027629	0.36594911066033814	0.3466399576021232	0.2411483936286029	0.2989940992623583	0.0	0.28155160971065984	0.42151267800212366	0.5113096971986376	0.5018448764263146	0.5761370024170958	0.6207701296097529	0.6374029236312927	0.7182712719550646	0.7396046481478122	0.7408121283261776	0.746936832571457	0.6308043423271964	0.2770758315370955	0.3236940441792714	0.30280933673830407	0.40630714189297695	0.3857388052844899	0.28849125611460824	0.41168446796587355	0.3917955706819606	0.4385724199805504	0.43151454657098165	0.4983394230995225	0.4378459153210884	0.5063972271981064	0.3286236285503791	0.3650989368558105	0.40697327336130745
s21pp	0.3927866418158811	0.3601423289450739	0.28259173237112606	0.3117171974287013	0.29240804437048634	0.2981549273175418	0.3560006329512972	0.28155160971065984	0.0	0.1699631423312829	0.25976016152779685	0.2502953407554739	0.324587466746255	0.3692205939389121	0.38585338796045193	0.4667217362842238	0.4880551124769715	0.48926259265533684	0.4953872969006163	0.37925480665635564	0.22284391830545863	0.26946213094763455	0.24857742350666723	0.3520752286613401	0.3315068920528531	0.2342593428829714	0.3574525547342367	0.3375636574503237	0.38434050674891357	0.37728263333934475	0.44410750986788566	0.3836140020894516	0.4521653139664696	0.27439171531874224	0.31086702362417373	0.3527413601296706
s2pp	0.5327477101073449	0.5001033972365377	0.4225528006625899	0.4516782657201651	0.43236911266195016	0.43811599560900555	0.49596170124276096	0.42151267800212366	0.1699631423312829	0.0	0.12157263995386919	0.1121078191815462	0.18639994517232727	0.23103307236498444	0.2476658663865242	0.3285342147102961	0.34986759090304376	0.3510750710814091	0.35719977532668856	0.24106728508242797	0.3628049865969224	0.4094231992390983	0.38853849179813105	0.49203629695280393	0.47146796034431687	0.3742204111744352	0.4974136230257005	0.4775247257417875	0.5243015750403774	0.5172437016308086	0.5840685781593495	0.5235750703809154	0.5921263822579335	0.41435278361020605	0.45082809191563755	0.49270242842113443
