	S15Hp	s1pp	s3pp	s25pp	s13pp	s2pp	S13Hp	S20H1	530451	31750	31537	31160	s14pp	s11pp	s16pp	S4Hp
S15Hp	0.0	0.17863172734045013	0.29965775200536926	0.2570659207608619	0.2961303123733413	0.24220348883304335	0.6131310493429384	0.6067558678065932	0.6364206668712674	0.7061025613141595	0.7009254215492043	0.6010197265494341	0.30545914484791226	0.2258498442568388	0.2293633910402455	0.19516224392741094
s1pp	0.17863172734045013	0.0	0.290402718151782	0.24781088690727462	0.28687527851975403	0.2329484549794561	0.6038760154893511	0.5975008339530059	0.6271656330176801	0.6968475274605722	0.6916703876956171	0.5917646926958469	0.296204110994325	0.21659481040325151	0.22010835718665828	0.18590721007382371
s3pp	0.29965775200536926	0.290402718151782	0.0	0.1280569583577374	0.23343612131696956	0.17950929777667163	0.5504368582865666	0.5440616767502214	0.5737264758148957	0.6434083702577879	0.6382312304928327	0.5383255354930624	0.2427649537915405	0.2110748316440211	0.21458837842742784	0.22143045100886144
s25pp	0.2570659207608619	0.24781088690727462	0.1280569583577374	0.0	0.19084429007246223	0.1369174665321643	0.5078450270420592	0.501469845505714	0.5311346445703883	0.6008165390132805	0.5956393992483253	0.49573370424855506	0.20017312254703318	0.16848300039951375	0.1719965471829205	0.17883861976435406
s13pp	0.2961303123733413	0.28687527851975403	0.23343612131696956	0.19084429007246223	0.0	0.09345739871632307	0.508873852261314	0.5024986707249688	0.532163469789643	0.6018453642325352	0.59666822446758	0.49676252946780974	0.20120194776628786	0.20754739201199315	0.2110609387953999	0.2179030113768335
s2pp	0.24220348883304335	0.2329484549794561	0.17950929777667163	0.1369174665321643	0.09345739871632307	0.0	0.45494702872101606	0.44857184718467086	0.4782366462493451	0.5479185406922373	0.5427414009272822	0.4428357059275118	0.14727512422598996	0.15362056847169525	0.15713411525510196	0.16397618783653556
S13Hp	0.6131310493429384	0.6038760154893511	0.5504368582865666	0.5078450270420592	0.508873852261314	0.45494702872101606	0.0	0.519301107204977	0.5489659062696512	0.6186478007125434	0.6134706609475883	0.513564965947818	0.4847327889139027	0.5245481289815903	0.528061675764997	0.5349037483464306
S20H1	0.6067558678065932	0.5975008339530059	0.5440616767502214	0.501469845505714	0.5024986707249688	0.44857184718467086	0.519301107204977	0.0	0.4878159310236566	0.5574978254665488	0.5523206857015936	0.45241499070182334	0.4783576073775575	0.518172947445245	0.5216864942286518	0.5285285668100854
530451	0.6364206668712674	0.6271656330176801	0.5737264758148957	0.5311346445703883	0.532163469789643	0.4782366462493451	0.5489659062696512	0.4878159310236566	0.0	0.44965417199329	0.5047308679496907	0.4048251729499204	0.5080224064422317	0.5478377465099193	0.551351293293326	0.5581933658747597
31750	0.7061025613141595	0.6968475274605722	0.6434083702577879	0.6008165390132805	0.6018453642325352	0.5479185406922373	0.6186478007125434	0.5574978254665488	0.44965417199329	0.0	0.5744127623925828	0.47450706739281245	0.5777043008851239	0.6175196409528114	0.6210331877362182	0.6278752603176517
31537	0.7009254215492043	0.6916703876956171	0.6382312304928327	0.5956393992483253	0.59666822446758	0.5427414009272822	0.6134706609475883	0.5523206857015936	0.5047308679496907	0.5744127623925828	0.0	0.428615445013459	0.5725271611201688	0.6123425011878563	0.615856047971263	0.6226981205526966
31160	0.6010197265494341	0.5917646926958469	0.5383255354930624	0.49573370424855506	0.49676252946780974	0.4428357059275118	0.513564965947818	0.45241499070182334	0.4048251729499204	0.47450706739281245	0.428615445013459	0.0	0.47262146612039846	0.512436806188086	0.5159503529714927	0.5227924255529264
s14pp	0.30545914484791226	0.296204110994325	0.2427649537915405	0.20017312254703318	0.20120194776628786	0.14727512422598996	0.4847327889139027	0.4783576073775575	0.5080224064422317	0.5777043008851239	0.5725271611201688	0.47262146612039846	0.0	0.2168762244865641	0.22038977126997084	0.22723184385140444
s11pp	0.2258498442568388	0.21659481040325151	0.2110748316440211	0.16848300039951375	0.20754739201199315	0.15362056847169525	0.5245481289815903	0.518172947445245	0.5478377465099193	0.6175196409528114	0.6123425011878563	0.512436806188086	0.2168762244865641	0.0	0.1181975885793093	0.14762254326033097
s16pp	0.2293633910402455	0.22010835718665828	0.21458837842742784	0.1719965471829205	0.2110609387953999	0.15713411525510196	0.528061675764997	0.5216864942286518	0.551351293293326	0.6210331877362182	0.615856047971263	0.5159503529714927	0.22038977126997084	0.1181975885793093	0.0	0.1511360900437377
S4Hp	0.19516224392741094	0.18590721007382371	0.22143045100886144	0.17883861976435406	0.2179030113768335	0.16397618783653556	0.5349037483464306	0.5285285668100854	0.5581933658747597	0.6278752603176517	0.6226981205526966	0.5227924255529264	0.22723184385140444	0.14762254326033097	0.1511360900437377	0.0
