	S9H1	S1Hp	S21H1	S20H1	F14H1B	f6ppB	s23pp	w9pp	f14ppB	f16ppA	f4pp	S19H1	S26Hp	S18H1	S22Hp	31750	F14H1A	S13Hp	S28Hp	S16H2
S9H1	0.0	0.04350033697045032	0.3130841459677233	0.3798666293645725	0.4616502400611282	0.48301214488349575	0.521585930137676	0.4973161232715141	0.4899139904339709	0.488582702929946	0.4860364124955671	0.6732300857020534	0.29169888481566103	0.3043812695216121	0.38516278452031083	0.3463948741946798	0.3655918215957406	0.3082770539959628	0.37397425188204947	0.10022392937751559
S1Hp	0.04350033697045032	0.0	0.3335109612459067	0.40029344464275585	0.48207705533931156	0.5034389601616791	0.5420127454158593	0.5177429385496974	0.5103408057121542	0.5090095182081293	0.5064632277737504	0.6936569009802367	0.3121257000938444	0.32480808479979545	0.4055895997984942	0.36682168947286314	0.38601863687392396	0.32870386927414613	0.3944010671602328	0.12065074465569892
S21H1	0.3130841459677233	0.3335109612459067	0.0	0.2801759207286601	0.3619595314252158	0.38332143624758336	0.4218952215017636	0.3976254146356017	0.3902232817980585	0.3888919942940336	0.3863457038596547	0.573539377066141	0.21280874376531894	0.22549112847127006	0.33212680144195483	0.3291899365769391	0.348386883978	0.29107211637822217	0.3567693142643088	0.29273923612080927
S20H1	0.3798666293645725	0.40029344464275585	0.2801759207286601	0.0	0.36302248620556654	0.410302900941934	0.4488766861961142	0.42460687932995234	0.41720474649240913	0.41587345898838424	0.4133271685540053	0.6005208417604916	0.2795912271621681	0.29227361186811923	0.398909284838804	0.3959724199737883	0.41516936737484916	0.35785459977507134	0.423551797661158	0.35952171951765843
F14H1B	0.4616502400611282	0.48207705533931156	0.3619595314252158	0.36302248620556654	0.0	0.4920865116384897	0.5306602968926699	0.506390490026508	0.49898835718896484	0.49765706968493995	0.495110779250561	0.6823044524570473	0.3613748378587238	0.37405722256467494	0.48069289553535965	0.477756030670344	0.49695297807140487	0.43963821047162704	0.5053354083577137	0.44130533021421414
f6ppB	0.48301214488349575	0.5034389601616791	0.38332143624758336	0.410302900941934	0.4920865116384897	0.0	0.10590497408104307	0.08163516721488112	0.07423303437733794	0.07290174687331305	0.07035545643893419	0.6404680860644775	0.38273674268109137	0.3954191273870425	0.5020548003577272	0.49911793549271155	0.5183148828937725	0.4610001152939946	0.5266973131800813	0.4626672350365817
s23pp	0.521585930137676	0.5420127454158593	0.4218952215017636	0.4488766861961142	0.5306602968926699	0.10590497408104307	0.0	0.08218556523790871	0.07478343240036554	0.07345214489634064	0.07090585446196179	0.6790418713186578	0.4213105279352717	0.43399291264122275	0.5406285856119075	0.5376917207468919	0.5568886681479527	0.49957390054817485	0.5652710984342615	0.501241020290762
w9pp	0.4973161232715141	0.5177429385496974	0.3976254146356017	0.42460687932995234	0.506390490026508	0.08163516721488112	0.08218556523790871	0.0	0.03984422710716838	0.03851293960314349	0.04322338065576433	0.6547720644524958	0.3970407210691097	0.4097231057750608	0.5163587787457455	0.5134219138807299	0.5326188612817908	0.47530409368201293	0.5410012915680996	0.4769712134246
f14ppB	0.4899139904339709	0.5103408057121542	0.3902232817980585	0.41720474649240913	0.49898835718896484	0.07423303437733794	0.07478343240036554	0.03984422710716838	0.0	0.026404678878358796	0.03582124781822116	0.6473699316149526	0.3896385882315665	0.4023209729375176	0.5089566459082023	0.5060197810431867	0.5252167284442475	0.4679019608444697	0.5335991587305564	0.4695690805870568
f16ppA	0.488582702929946	0.5090095182081293	0.3888919942940336	0.41587345898838424	0.49765706968493995	0.07290174687331305	0.07345214489634064	0.03851293960314349	0.026404678878358796	0.0	0.03448996031419626	0.6460386441109278	0.3883073007275416	0.4009896854334927	0.5076253584041774	0.5046884935391618	0.5238854409402227	0.46657067334044483	0.5322678712265315	0.46823779308303193
f4pp	0.4860364124955671	0.5064632277737504	0.3863457038596547	0.4133271685540053	0.495110779250561	0.07035545643893419	0.07090585446196179	0.04322338065576433	0.03582124781822116	0.03448996031419626	0.0	0.6434923536765489	0.3857610102931628	0.39844339499911385	0.5050790679697986	0.502142203104783	0.5213391505058438	0.46402438290606596	0.5297215807921526	0.46569150264865306
S19H1	0.6732300857020534	0.6936569009802367	0.573539377066141	0.6005208417604916	0.6823044524570473	0.6404680860644775	0.6790418713186578	0.6547720644524958	0.6473699316149526	0.6460386441109278	0.6434923536765489	0.0	0.5729546834996491	0.5856370682056001	0.6922727411762849	0.6893358763112691	0.7085328237123301	0.6512180561125522	0.7169152539986389	0.6528851758551394
