	S6Hp	S31Hp	F22H1A	S30H1	S27H1	31360	S4Hp	S2Hp	531414	F22HpB	530364	F29H1	S29H1	S11Hp	S12Hp	F14H1A	S8Hp	530050	31300	F23HpA	S25Hp	S28Hp	531424	S19H1	S15Hp	S7Hp	F14H1B	S16H2	F8H1
S6Hp	0.0	0.14521897832048417	0.38986680214211217	0.35250252059115844	0.3379731311110566	0.3799998802743748	0.3387164904727098	0.4873787573156167	0.53250064114142	0.5132675271094649	0.5233399286881748	0.5194673064017863	0.5488925200486341	0.6243465872757232	0.5932566474233084	0.5225761699277117	0.28925878194598237	0.3640721875077286	0.36571454186146546	0.32856611574157407	0.3292213242749749	0.3302636365529864	0.3357058023806924	0.30806942016298905	0.33249548847479055	0.32618960331113617	0.32374861986508136	0.26578305301126043	0.0003071570574027302
S31Hp	0.14521897832048417	0.0	0.2907325884333623	0.2533683068824086	0.23883891740230676	0.28086566656562495	0.23958227676395993	0.38824454360686683	0.4333664274326701	0.41413331340071496	0.4242057149794249	0.42033309269303637	0.4497583063398842	0.5252123735669734	0.4941224337145585	0.4234419562189618	0.19012456823723253	0.2649379737989787	0.2665803281527156	0.2294319020328242	0.23008711056622505	0.23112942284423654	0.23657158867194256	0.2089352064542392	0.2333612747660407	0.2270553896023863	0.2246144061563315	0.1666488393025106	0.14521916458284662
F22H1A	0.38986680214211217	0.2907325884333623	0.0	0.3296653972526484	0.3151360077725465	0.3990953085167783	0.3578119187151133	0.5064741855580203	0.5515960693838236	0.5323629553518684	0.5424353569305783	0.5385627346441898	0.5679879482910376	0.6434420155181267	0.6123520756657119	0.5416715981701152	0.30835421018838594	0.38316761575013203	0.38480997010386897	0.38311401376706955	0.3837692223004704	0.38481153457848194	0.3902537004061879	0.3626173181884845	0.3870433865002861	0.38073750133663165	0.37829651789057683	0.3747943890900953	0.38986698840447465
S30H1	0.35250252059115844	0.2533683068824086	0.3296653972526484	0.0	0.2251062211130646	0.3617310269658246	0.3204476371641596	0.46910990400706654	0.5142317878328698	0.49499867380091467	0.5050710753796246	0.5011984530932361	0.5306236667400839	0.606077733967173	0.5749877941147582	0.5043073166191615	0.2709899286374322	0.3458033341991783	0.34744568855291524	0.3457497322161158	0.34640494074951667	0.3474472530275282	0.35288941885523417	0.3252530366375308	0.34967910494933235	0.3433732197856779	0.3409322363396231	0.3374301075391416	0.3525027068535209
S27H1	0.3379731311110566	0.23883891740230676	0.3151360077725465	0.2251062211130646	0.0	0.34720163748572275	0.30591824768405773	0.4545805145269647	0.499702398352768	0.4804692843208128	0.49054168589952274	0.4866690636131342	0.516094277259982	0.5915483444870712	0.5604584046346563	0.48977792713905965	0.25646053915733036	0.33127394471907645	0.3329162990728134	0.331220342736014	0.3318755512694148	0.33291786354742636	0.3383600293751323	0.31072364715742895	0.3351497154692305	0.32884383030557607	0.32640284685952126	0.32290071805903975	0.33797331737341907
31360	0.3799998802743748	0.28086566656562495	0.3990953085167783	0.3617310269658246	0.34720163748572275	0.0	0.2736486700659123	0.4223109369088192	0.4674328207346225	0.4481997067026674	0.45827210828137727	0.4543994859949888	0.48382469964183655	0.5592787668689256	0.5281888270165109	0.4575083495209142	0.2781320503255508	0.35294545588729687	0.3545878102410338	0.37324709189933225	0.3739023004327331	0.37494461271074453	0.3803867785384506	0.35275039632074723	0.3771764646325487	0.37087057946889435	0.36842959602283953	0.36492746722235797	0.3800000665367373
S4Hp	0.3387164904727098	0.23958227676395993	0.3578119187151133	0.3204476371641596	0.30591824768405773	0.2736486700659123	0.0	0.313111052402691	0.3582329362284943	0.33899982219653924	0.34907222377524905	0.34519960148886064	0.37462481513570833	0.45007888236279747	0.41898894251038277	0.34830846501478596	0.2368486605238857	0.31166206608563185	0.31330442043936874	0.3319637020976672	0.332618910631068	0.3336612229090795	0.3391033887367855	0.31146700651908216	0.3358930748308837	0.3295871896672293	0.32714620622117446	0.3236440774206929	0.3387166767350723
S2Hp	0.4873787573156167	0.38824454360686683	0.5064741855580203	0.46910990400706654	0.4545805145269647	0.4223109369088192	0.313111052402691	0.0	0.33688843532995166	0.31765532129799656	0.3277277228767064	0.32385510059031797	0.4015064131864988	0.476960480413588	0.44587054056117326	0.3751900630655765	0.3855109273667926	0.4603243329285388	0.46196668728227563	0.48062596894057413	0.481281177473975	0.48232348975198647	0.4877656555796925	0.4601292733619891	0.48455534167379066	0.47824945651013623	0.4758084730640814	0.47230634426359985	0.4873789435779792
531414	0.53250064114142	0.4333664274326701	0.5515960693838236	0.5142317878328698	0.499702398352768	0.4674328207346225	0.3582329362284943	0.33688843532995166	0.0	0.21698436247430636	0.22705676405301622	0.22318414176662776	0.4466282970123022	0.5220823642393914	0.4909924243869766	0.42031194689137985	0.4306328111925959	0.5054462167543421	0.5070885711080789	0.5257478527663775	0.5264030612997783	0.5274453735777898	0.5328875394054957	0.5052511571877925	0.529677225499594	0.5233713403359395	0.5209303568898846	0.5174282280894031	0.5325008274037825
F22HpB	0.5132675271094649	0.41413331340071496	0.5323629553518684	0.49499867380091467	0.4804692843208128	0.4481997067026674	0.33899982219653924	0.31765532129799656	0.21698436247430636	0.0	0.01720848741311709	0.01333586512672866	0.42739518298034707	0.5028492502074362	0.4717593103550215	0.40107883285942475	0.41139969716064084	0.48621310272238694	0.4878554570761239	0.5065147387344222	0.507169947267823	0.5082122595458346	0.5136544253735407	0.48601804315583724	0.5104441114676388	0.5041382263039844	0.5016972428579296	0.498195114057448	0.5132677133718273
