	S6Hp	F14H1B	S4Hp	F22HpB	F14H1A	530451	S14Hp	S3Hp	S21H1	530050	S20H1	S18H1	S9H1	S22Hp	31700	530167	530075	31750	31600	S7Hp	31328	w10pp	w2pp	w24pp	f8pp	f10pp	f32pp	f14ppB	f1pp	f30pp	f22ppA	f26pp	f25pp	f12ppB	w16pp	f6ppB	w1pp	w17pp	w12pp	f18pp	w14pp	w7pp	w25pp	w13pp	w9pp	f24pp	f20ppB	f17ppA	f11pp	f19pp	f14ppA	w6pp	f16ppB	f7pp	f6ppA	f22ppB	w21pp	w32pp	w11pp	f21pp	f4pp	f16ppA	w3pp	f15pp	f3pp	w20pp	w15pp	f2pp	w30pp	s23pp	s25pp	w19pp	f20ppA	w18pp	s24pp	w4pp	f12ppA	w8pp	F29H1	S25Hp	F6H1	S15Hp	S12Hp	S26Hp	31219	S23Hp	S31Hp	S28Hp	530227	F23HpA	530119	530055	F7H1	530295	S1Hp	S16H2	S19H1	S13Hp
S6Hp	0.0	0.15936520520041741	0.16141915121709538	0.18059195387059412	0.2084477972492179	0.2346470738480922	0.23490240012232844	0.24249287556556584	0.23632302600016325	0.33163924121636273	0.22795696442768235	0.33230202068061765	0.25650512065177344	0.2768764153612969	0.26955946535733466	0.2462841118450404	0.21215211490881009	0.22557353465945995	0.27165050130193735	0.26824298018284154	0.2941339457308657	0.32151916812576825	0.33308679984654305	0.3007298286194693	0.3339322550977963	0.3511597012196724	0.3444298950119966	0.3150183286331305	0.3285483319410419	0.34354422436304805	0.3268335291140831	0.351318327420433	0.33031445322281655	0.3560314104264832	0.3433507550828527	0.34087643007377433	0.3527280827705107	0.36961737192239563	0.34345702845743137	0.33886951637536344	0.33526309536407517	0.3313545566421405	0.3385054836369654	0.32966709983132647	0.312292363976652	0.32045066172390446	0.346531398670896	0.3550759610359201	0.3468994007684309	0.33783907358049825	0.34021844290584863	0.349558635952676	0.32740210648071477	0.3129377093078477	0.3304503778261985	0.32392343403964113	0.31296233568094595	0.3562247883118524	0.3430279427835634	0.33350003585750726	0.30612772320514514	0.311440898916457	0.3126255629476637	0.32929958438724155	0.33787068152273636	0.32278601938932655	0.3304574087785847	0.3207637235197855	0.35459632302410515	0.3861825526445024	0.3846882651207887	0.3220478738411367	0.30817785869095055	0.32166697196962135	0.33417854303949124	0.3062311984639348	0.3235324875007147	0.3028924580391081	0.30638448622172915	0.2753577611372745	0.29828168798366517	0.2703255818032939	0.2504701434954495	0.21976282526146354	0.263797825708145	0.23681307509642557	0.29882543935792455	0.3106614926497086	0.3190999497429076	0.2627277947734185	0.323413733849988	0.2729338067672582	0.22220850966736153	0.2256035875542005	0.15938623919063355	0.15721953413154893	0.18870447725868084	0.2104871582971868
F14H1B	0.15936520520041741	0.0	0.12300618244484286	0.20069314391966153	0.22854898729828527	0.25474826389715954	0.25500359017139584	0.2625940656146332	0.2564242160492306	0.3517404312654301	0.24805815447674973	0.35240321072968506	0.27660631070084085	0.29697760541036433	0.28966065540640207	0.2663853018941078	0.2322533049578775	0.24567472470852736	0.29175169135100476	0.2883441702319089	0.31423513577993306	0.3416203581748356	0.3531879898956104	0.3208310186685367	0.35403344514686363	0.37126089126873973	0.364531085061064	0.3351195186821979	0.34864952199010923	0.3636454144121154	0.34693471916315044	0.3714195174695004	0.3504156432718839	0.3761326004755505	0.36345194513192003	0.36097762012284174	0.3728292728195781	0.38971856197146304	0.3635582185064987	0.35897070642443085	0.3553642854131426	0.3514557466912078	0.35860667368603283	0.3497682898803939	0.33239355402571935	0.34055185177297187	0.3666325887199634	0.3751771510849875	0.36700059081749825	0.35794026362956566	0.360319632954916	0.3696598260017434	0.3475032965297822	0.3330388993569151	0.35055156787526587	0.3440246240887085	0.3330635257300133	0.37632597836091974	0.3631291328326308	0.3536012259065746	0.32622891325421255	0.3315420889655244	0.33272675299673105	0.3494007744363089	0.35797187157180377	0.3428872094383939	0.35055859882765206	0.34086491356885285	0.37469751307317256	0.4062837426935698	0.4047894551698561	0.34214906389020405	0.3282790487400179	0.34176816201868876	0.35427973308855865	0.32633238851300217	0.34363367754978213	0.32299364808817543	0.3264856762707965	0.2954589511863419	0.3183828780327326	0.2904267718523613	0.27057133354451685	0.23986401531053092	0.2838990157572123	0.256914265145493	0.3189266294069919	0.33076268269877596	0.33920113979197497	0.28282898482248586	0.34351492389905536	0.2930349968163256	0.2423096997164289	0.24570477760326787	0.17948742923970096	0.17732072418061634	0.20880566730774824	0.2305883483462542
S4Hp	0.16141915121709538	0.12300618244484286	0.0	0.2027470899363395	0.23060293331496326	0.25680220991383756	0.2570575361880738	0.26464801163131124	0.2584781620659086	0.3537943772821081	0.2501121004934277	0.354457156746363	0.2786602567175188	0.2990315514270423	0.29171460142308003	0.26843924791078577	0.23430725097455546	0.24772867072520532	0.2938056373676827	0.2903981162485869	0.3162890817966111	0.3436743041915136	0.3552419359122884	0.32288496468521466	0.35608739116354166	0.37331483728541776	0.366585031077742	0.3371734646988759	0.35070346800678726	0.3656993604287934	0.34898866517982846	0.3734734634861784	0.3524695892885619	0.37818654649222855	0.36550589114859805	0.3630315661395197	0.3748832188362561	0.391772507988141	0.36561216452317674	0.3610246524411088	0.35741823142982054	0.35350969270788585	0.3606606197027108	0.35182223589707184	0.33444750004239737	0.34260579778964984	0.36868653473664137	0.37723109710166547	0.36905453683417627	0.3599942096462436	0.362373578971594	0.3717137720184214	0.34955724254646015	0.3350928453735931	0.3526055138919439	0.3460785701053865	0.3351174717466913	0.37837992437759776	0.3651830788493088	0.35565517192325263	0.3282828592708905	0.33359603498220236	0.33478069901340907	0.3514547204529869	0.36002581758848173	0.3449411554550719	0.3526125448443301	0.34291885958553087	0.3767514590898505	0.4083376887102478	0.40684340118653406	0.3442030099068821	0.3303329947566959	0.3438221080353667	0.3563336791052366	0.3283863345296802	0.3456876235664601	0.32504759410485345	0.3285396222874745	0.2975128972030199	0.32043682404941054	0.2924807178690393	0.27262527956119487	0.2419179613272089	0.28595296177389035	0.25896821116217095	0.3209805754236699	0.332816628715454	0.341255085808653	0.2848829308391639	0.3455688699157334	0.2950889428330036	0.2443636457331069	0.2477587236199459	0.18154137525637892	0.1793746701972943	0.2108596133244262	0.23264229436293218
F22HpB	0.18059195387059412	0.20069314391966153	0.2027470899363395	0.0	0.16107680153791137	0.2074144114530257	0.20766973772726194	0.21526021317049937	0.20909036360509675	0.30440657882129624	0.20072430203261588	0.30506935828555115	0.22927245825670695	0.24964375296623043	0.24232680296226816	0.2190514494499739	0.18491945251374362	0.19834087226439348	0.24441783890687085	0.24101031778777504	0.2669012833357992	0.29428650573070175	0.30585413745147655	0.2734971662244028	0.3066995927027298	0.3239270388246059	0.3171972326169301	0.287785666238064	0.3013156695459754	0.31631156196798155	0.2996008667190166	0.3240856650253665	0.30308179082775005	0.3287987480314167	0.3161180926877862	0.31364376767870783	0.3254954203754442	0.3423847095273292	0.31622436606236487	0.31163685398029695	0.30803043296900867	0.304121894247074	0.3112728212418989	0.30243443743626	0.2850597015815855	0.29321799932883796	0.3192987362758295	0.3278432986408536	0.3196667383733644	0.31060641118543175	0.31298578051078213	0.3223259735576095	0.3001694440856483	0.2857050469127812	0.303217715431132	0.29669077164457464	0.28572967328587945	0.3289921259167859	0.3157952803884969	0.30626737346244076	0.27889506081007864	0.2842082365213905	0.2853929005525972	0.30206692199217505	0.31063801912766986	0.29555335699426005	0.3032247463835182	0.293531061124719	0.32736366062903866	0.35894989024943597	0.35745560272572224	0.2948152114460702	0.28094519629588405	0.29443430957455485	0.30694588064442474	0.2789985360688683	0.29629982510564823	0.2756597956440416	0.27915182382666265	0.248125098742208	0.27104902558859867	0.24309291940822741	0.223237481100383	0.19253016286639707	0.23656516331307847	0.20958041270135908	0.27159277696285805	0.2834288302546421	0.2918672873478411	0.235495132378352	0.2961810714549215	0.2457011443721917	0.19497584727229506	0.19837092515913402	0.13215357679556708	0.12998687173648246	0.16147181486361437	0.18325449590212034
F14H1A	0.2084477972492179	0.22854898729828527	0.23060293331496326	0.16107680153791137	0.0	0.23527025483164946	0.2355255811058857	0.2431160565491231	0.23694620698372051	0.33226242219991997	0.2285801454112396	0.33292520166417494	0.25712830163533074	0.2774995963448542	0.27018264634089195	0.24690729282859766	0.21277529589236738	0.22619671564301724	0.27227368228549464	0.2688661611663988	0.29475712671442295	0.3221423491093255	0.3337099808301003	0.3013530096030266	0.3345554360813535	0.3517828822032296	0.3450530759955539	0.3156415096166878	0.3291715129245991	0.3441674053466053	0.3274567100976403	0.3519415084039903	0.3309376342063738	0.3566545914100404	0.3439739360664099	0.3414996110573316	0.353351263754068	0.3702405529059529	0.3440802094409886	0.33949269735892074	0.33588627634763246	0.3319777376256977	0.3391286646205227	0.33029028081488376	0.31291554496020924	0.32107384270746175	0.3471545796544533	0.3556991420194774	0.34752258175198814	0.33846225456405554	0.34084162388940586	0.3501818169362333	0.32802528746427206	0.313560890291405	0.33107355880975575	0.32454661502319837	0.3135855166645032	0.35684796929540963	0.3436511237671207	0.3341232168410645	0.30675090418870243	0.3120640799000143	0.31324874393122093	0.3299227653707988	0.33849386250629365	0.3234092003728838	0.33108058976214194	0.32138690450334273	0.35521950400766245	0.3868057336280597	0.385311446104346	0.32267105482469394	0.3088010396745078	0.32229015295317864	0.33480172402304853	0.30685437944749205	0.324155668484272	0.3035156390226653	0.3070076672052864	0.2759809421208318	0.29890486896722246	0.2709487627868512	0.25109332447900673	0.2203860062450208	0.2644210066917022	0.23743625607998284	0.2994486203414818	0.31128467363326584	0.31972313072646485	0.26335097575697575	0.32403691483354524	0.2735569877508155	0.2228316906509188	0.22622676853775775	0.16000942017419084	0.15784271511510622	0.18932765824223813	0.21111033928074407
530451	0.2346470738480922	0.25474826389715954	0.25680220991383756	0.2074144114530257	0.23527025483164946	0.0	0.1696593431016531	0.1772498185448905	0.21935523948961605	0.31467145470581553	0.21098917791713515	0.31533423417007045	0.23953733414122624	0.2599086288507497	0.2656917514626728	0.24241639795037856	0.20828440101414825	0.2217058207647981	0.2677827874072755	0.26437526628817964	0.2902662318362038	0.3176514542311064	0.3292190859518812	0.29686211472480745	0.33006454120313444	0.34729198732501054	0.3405621811173348	0.31115061473846867	0.32468061804638004	0.3396765104683862	0.32296581521942125	0.34745061352577117	0.3264467393281547	0.35216369653182134	0.33948304118819084	0.3370087161791125	0.34886036887584887	0.3657496580277338	0.33958931456276953	0.3350018024807016	0.33139538146941333	0.32748684274747863	0.3346377697423036	0.32579938593666463	0.30842465008199016	0.3165829478292426	0.34266368477623416	0.35120824714125826	0.34303168687376906	0.3339713596858364	0.3363507290111868	0.34569092205801416	0.32353439258605293	0.30906999541318586	0.3265826639315367	0.3200557201449793	0.3090946217862841	0.35235707441719055	0.33916022888890157	0.3296323219628454	0.3022600093104833	0.30757318502179515	0.30875784905300185	0.3254318704925797	0.3340029676280745	0.3189183054946647	0.32658969488392287	0.31689600962512365	0.3507286091294433	0.38231483874984057	0.38082055122612685	0.31818015994647486	0.3043101447962887	0.3177992580749595	0.3303108291448294	0.302363484569273	0.3196647736060529	0.29902474414444624	0.3025167723270673	0.27149004724261266	0.2944139740890033	0.2664578679086321	0.2466024296007876	0.21589511136680167	0.25993011181348313	0.23294536120176373	0.2949577254632627	0.30679377875504676	0.3152322358482458	0.25886008087875667	0.31954601995532617	0.26906609287259636	0.21834079577269966	0.22173587365953862	0.1555185252959717	0.17002047870475595	0.20150542183188785	0.22328810287039383
S14Hp	0.23490240012232844	0.25500359017139584	0.2570575361880738	0.20766973772726194	0.2355255811058857	0.1696593431016531	0.0	0.15024062923278803	0.2196105657638523	0.3149267809800518	0.2112445041913714	0.3155895604443067	0.2397926604154625	0.26016395512498597	0.26594707773690907	0.2426717242246148	0.2085397272883845	0.22196114703903436	0.26803811368151176	0.2646305925624159	0.29052155811044006	0.31790678050534266	0.32947441222611745	0.2971174409990437	0.3303198674773707	0.3475473135992468	0.340817507391571	0.3114059410127049	0.3249359443206163	0.33993183674262245	0.3232211414936575	0.3477059398000074	0.32670206560239096	0.3524190228060576	0.3397383674624271	0.33726404245334873	0.3491156951500851	0.36600498430197004	0.3398446408370058	0.33525712875493785	0.3316507077436496	0.3277421690217149	0.3348930960165398	0.3260547122109009	0.3086799763562264	0.31683827410347887	0.3429190110504704	0.3514635734154945	0.3432870131480053	0.33422668596007266	0.33660605528542303	0.3459462483322504	0.3237897188602892	0.3093253216874221	0.3268379902057729	0.32031104641921554	0.30934994806052035	0.3526124006914268	0.3394155551631378	0.32988764823708167	0.30251533558471955	0.3078285112960314	0.3090131753272381	0.32568719676681596	0.33425829390231077	0.31917363176890096	0.3268450211581591	0.3171513358993599	0.35098393540367956	0.3825701650240768	0.3810758775003631	0.3184354862207111	0.30456547107052495	0.31805458434919576	0.33056615541906564	0.3026188108435092	0.31992009988028913	0.2992800704186825	0.30277209860130355	0.2717453735168489	0.2946693003632396	0.2667131941828683	0.24685775587502384	0.21615043764103792	0.2601854380877194	0.23320068747599998	0.29521305173749895	0.307049105029283	0.315487562122482	0.2591154071529929	0.3198013462295624	0.2693214191468326	0.2185961220469359	0.22199119993377486	0.15577385157020796	0.1702758049789922	0.2017607481061241	0.22354342914463007
S3Hp	0.24249287556556584	0.2625940656146332	0.26464801163131124	0.21526021317049937	0.2431160565491231	0.1772498185448905	0.15024062923278803	0.0	0.2272010412070897	0.3225172564232892	0.2188349796346088	0.32318003588754407	0.2473831358586999	0.26775443056822334	0.27353755318014644	0.2502621996678522	0.21613020273162187	0.22955162248227173	0.27562858912474913	0.2722210680056533	0.2981120335536775	0.32549725594858003	0.33706488766935483	0.30470791644228107	0.33791034292060806	0.35513778904248416	0.3484079828348084	0.3189964164559423	0.33252641976385366	0.3475223121858598	0.33081161693689487	0.3552964152432448	0.33429254104562833	0.36000949824929496	0.34732884290566446	0.3448545178965861	0.3567061705933225	0.3735954597452074	0.34743511628024315	0.3428476041981752	0.33924118318688695	0.33533264446495226	0.3424835714597772	0.33364518765413825	0.3162704517994638	0.32442874954671624	0.3505094864937078	0.3590540488587319	0.3508774885912427	0.34181716140331003	0.3441965307286604	0.3535367237754878	0.33138019430352655	0.3169157971306595	0.3344284656490103	0.3279015218624529	0.31694042350375773	0.3602028761346642	0.3470060306063752	0.33747812368031904	0.3101058110279569	0.31541898673926877	0.3166036507704755	0.33327767221005333	0.34184876934554814	0.32676410721213833	0.3344354966013965	0.3247418113425973	0.35857441084691694	0.3901606404673142	0.38866635294360047	0.3260259616639485	0.31215594651376233	0.32564505979243313	0.338156630862303	0.3102092862867466	0.3275105753235265	0.30687054586191986	0.31036257404454093	0.2793358489600863	0.30225977580647695	0.2743036696261057	0.2544482313182613	0.22374091308427532	0.26777591353095676	0.24079116291923736	0.30280352718073633	0.3146395804725204	0.3230780375657194	0.2667058825962303	0.3273918216727998	0.27691189459007	0.2261865974901733	0.2295816753770123	0.16336432701344536	0.17786628042222963	0.20935122354936153	0.23113390458786748
S21H1	0.23632302600016325	0.2564242160492306	0.2584781620659086	0.20909036360509675	0.23694620698372051	0.21935523948961605	0.2196105657638523	0.2272010412070897	0.0	0.30334445962740014	0.19966218283871978	0.30400723909165506	0.22821033906281085	0.24858163377233433	0.2673677036147439	0.24409235010244962	0.2099603531662193	0.22338177291686917	0.26945873955934657	0.2660512184402507	0.2919421839882749	0.31932740638317747	0.33089503810395227	0.2985380668768785	0.3317404933552055	0.3489679394770816	0.34223813326940583	0.3128265668905397	0.3263565701984511	0.34135246262045726	0.3246417673714923	0.3491265656778422	0.32812269148022577	0.3538396486838924	0.3411589933402619	0.33868466833118355	0.35053632102791993	0.36742561017980485	0.3412652667148406	0.33667775463277266	0.3330713336214844	0.3291627948995497	0.33631372189437464	0.3274753380887357	0.3101006022340612	0.3182588999813137	0.3443396369283052	0.3528841992933293	0.3447076390258401	0.33564731183790747	0.33802668116325785	0.3473668742100852	0.325210344738124	0.3107459475652569	0.32825861608360773	0.32173167229705035	0.31077057393835517	0.3540330265692616	0.34083618104097263	0.3313082741149165	0.30393596146255436	0.3092491371738662	0.3104338012050729	0.32710782264465077	0.3356789197801456	0.32059425764673577	0.3282656470359939	0.3185719617771947	0.3524045612815144	0.3839907909019116	0.3824965033781979	0.3198561120985459	0.30598609694835976	0.31947521022703057	0.33198678129690046	0.30403943672134404	0.32134072575812395	0.3007006962965173	0.30419272447913837	0.2731659993946837	0.2960899262410744	0.26813382006070313	0.24827838175285866	0.21757106351887273	0.2616060639655542	0.2346213133538348	0.29663367761533377	0.3084697309071178	0.31690818800031684	0.26053603303082773	0.3212219721073972	0.2707420450246674	0.22001674792477072	0.22341182581160968	0.15719447744804277	0.171696430856827	0.2031813739839589	0.2249640550224649
530050	0.33163924121636273	0.3517404312654301	0.3537943772821081	0.30440657882129624	0.33226242219991997	0.31467145470581553	0.3149267809800518	0.3225172564232892	0.30334445962740014	0.0	0.14725434558823708	0.35756377281199087	0.30709898793477625	0.3274702826442997	0.36268391883094336	0.3394085653186491	0.3052765683824188	0.31869798813306865	0.36477495477554606	0.3613674336564502	0.38725839920447436	0.41464362159937695	0.42621125332015175	0.393854282093078	0.427056708571405	0.4442841546932811	0.4375543484856053	0.4081427821067392	0.4216727854146506	0.43666867783665675	0.4199579825876918	0.4444427808940417	0.42343890669642525	0.4491558639000919	0.4364752085564614	0.43400088354738303	0.4458525362441194	0.46274182539600434	0.43658148193104007	0.43199396984897215	0.4283875488376839	0.4244790101157492	0.4316299371105741	0.4227915533049352	0.4054168174502607	0.41357511519751317	0.4396558521445047	0.4482004145095288	0.4400238542420396	0.43096352705410695	0.43334289637945733	0.4426830894262847	0.4205265599543235	0.4060621627814564	0.4235748312998072	0.41704788751324984	0.40608678915455465	0.4493492417854611	0.4361523962571721	0.42662448933111596	0.39925217667875385	0.4045653523900657	0.4057500164212724	0.42242403786085025	0.43099513499634506	0.41591047286293525	0.4235818622521934	0.4138881769933942	0.44772077649771386	0.4793070061181111	0.4778127185943974	0.4151723273147454	0.40130231216455925	0.41479142544323006	0.42730299651309994	0.3993556519375435	0.41665694097432343	0.3960169115127168	0.39950893969533785	0.3684822146108832	0.39140614145727387	0.3634500352769026	0.34359459696905814	0.3128872787350722	0.3569222791817537	0.3299375285700343	0.39194989283153325	0.4037859461233173	0.4122244032165163	0.3558522482470272	0.4165381873235967	0.3660582602408669	0.3153329631409702	0.31872804102780916	0.25251069266424225	0.2670126460730265	0.2984975892001584	0.32028027023866434
