	S17H1	31700	31009	31333	S23Hp	S1Hp	F22HpB	31267	F29H1	531414	S6Hp	S7Hp	31328
S17H1	0.0	1.514956311076612	1.5649087468939966	1.532386426171811	1.5592646225462607	1.546075632318543	1.5569443829774825	1.5785809655678769	1.5575670219970914	1.5468308402843456	1.5555563912545902	1.5565354571204038	1.5474994437415492
31700	1.514956311076612	0.0	0.23665874218871175	0.2261783394071596	0.25305653578160925	0.2398675455538914	0.25073629621283106	0.27237287880322536	0.2513589352324401	0.2406227535196942	0.2493483044899389	0.2503273703557523	0.32888690850423263
31009	1.5649087468939966	0.23665874218871175	0.0	0.27613077522454416	0.3030089715989938	0.28981998137127596	0.3006887320302156	0.3223253146206099	0.30131137104982464	0.29057518933707877	0.29930074030732345	0.3002798061731369	0.37883934432161726
31333	1.532386426171811	0.2261783394071596	0.27613077522454416	0.0	0.25856580905336635	0.24537681882564855	0.2562455694845882	0.2778821520749825	0.2568682085041972	0.24613202679145132	0.25485757776169604	0.25583664362750946	0.3463170235994317
S23Hp	1.5592646225462607	0.25305653578160925	0.3030089715989938	0.25856580905336635	0.0	0.12710040271709594	0.18301935953286375	0.24063547775199468	0.21962153418120933	0.20888535246846346	0.24659810062750082	0.24757716649331424	0.3731952199738813
S1Hp	1.546075632318543	0.2398675455538914	0.28981998137127596	0.24537681882564855	0.12710040271709594	0.0	0.1698303693051459	0.22744648752427682	0.20643254395349153	0.19569636224074566	0.233409110399783	0.23438817626559644	0.3600062297461635
F22HpB	1.5569443829774825	0.25073629621283106	0.3006887320302156	0.2562455694845882	0.18301935953286375	0.1698303693051459	0.0	0.23831523818321645	0.21730129461243114	0.20656511289968527	0.24427786105872262	0.24525692692453605	0.37087498040510314
31267	1.5785809655678769	0.27237287880322536	0.3223253146206099	0.2778821520749825	0.24063547775199468	0.22744648752427682	0.23831523818321645	0.0	0.07537448610123663	0.19282221281750314	0.265914443649117	0.2668935095149304	0.3925115629954974
F29H1	1.5575670219970914	0.2513589352324401	0.30131137104982464	0.2568682085041972	0.21962153418120933	0.20643254395349153	0.21730129461243114	0.07537448610123663	0.0	0.17180826924671783	0.24490050007833164	0.24587956594414506	0.37149761942471216
531414	1.5468308402843456	0.2406227535196942	0.29057518933707877	0.24613202679145132	0.20888535246846346	0.19569636224074566	0.20656511289968527	0.19282221281750314	0.17180826924671783	0.0	0.23416431836558577	0.2351433842313992	0.3607614377119662
S6Hp	1.5555563912545902	0.2493483044899389	0.29930074030732345	0.25485757776169604	0.24659810062750082	0.233409110399783	0.24427786105872262	0.265914443649117	0.24490050007833164	0.23416431836558577	0.0	0.17603119417921692	0.36948698868221097
S7Hp	1.5565354571204038	0.2503273703557523	0.3002798061731369	0.25583664362750946	0.24757716649331424	0.23438817626559644	0.24525692692453605	0.2668935095149304	0.24587956594414506	0.2351433842313992	0.17603119417921692	0.0	0.3704660545480244
31328	1.5474994437415492	0.32888690850423263	0.37883934432161726	0.3463170235994317	0.3731952199738813	0.3600062297461635	0.37087498040510314	0.3925115629954974	0.37149761942471216	0.3607614377119662	0.36948698868221097	0.3704660545480244	0.0
