	S7Hp	S16H2	S15Hp	S17H1	S1Hp	S9H1	S26Hp	F7H1	F23HpA	S13Hp	S22Hp	F14H1B	S3Hp	s24H1	S23Hp	S6Hp	F29H1	S28Hp	F6H1	S4Hp	S20H1	S18H1	S12Hp	S31Hp	S19H1
S7Hp	0.0	0.39072355875106546	0.32427002917930026	0.38431167395762833	0.6922778290586185	0.7397232378645386	0.47059484727354184	0.4603869683083287	0.4622557169927226	0.44561970326285205	0.49873020558910575	0.4236581666599466	0.41216498715332506	0.4433838480375438	0.4336913649809516	0.4439502107408021	0.43873010930608536	0.4461891552007564	0.46317984292497405	0.4867777208569768	0.48543289867760053	0.30017645221892497	0.40694844082672377	0.3456551872609047	0.16662074488338235
S16H2	0.39072355875106546	0.0	0.27411135632598926	0.33415300110431734	0.7120144133808701	0.7594598221867903	0.49033143159579345	0.4801235526305804	0.4819923013149743	0.46535628758510367	0.5184667899113573	0.44339475098219827	0.4319015714755767	0.4631204323597955	0.45342794930320324	0.4636867950630537	0.45846669362833703	0.4659257395230081	0.48291642724722567	0.5065143051792285	0.5051694829998522	0.31991303654117664	0.4266850251489754	0.3653917715831564	0.3832141349478694
S15Hp	0.32427002917930026	0.27411135632598926	0.0	0.12014288208279902	0.6455608838091048	0.6930062926150251	0.4238779020240282	0.4136700230588152	0.4155387717432091	0.3989027580133384	0.4520132603395921	0.37694122141043307	0.3654480419038114	0.3966669027880303	0.386974419731438	0.39723326549128846	0.39201316405657183	0.3994722099512429	0.4164628976754604	0.44006077560746315	0.438715953428087	0.2534595069694114	0.3602314955772101	0.2989382420113912	0.3167606053761042
S17H1	0.38431167395762833	0.33415300110431734	0.12014288208279902	0.0	0.7056025285874329	0.7530479373933532	0.48391954680235627	0.47371166783714325	0.47558041652153715	0.4589444027916665	0.5120549051179202	0.43698286618876114	0.4254896866821395	0.45670854756635837	0.44701606450976605	0.45727491026961653	0.4520548088348999	0.45951385472957096	0.4765045424537885	0.5001024203857912	0.4987575982064151	0.31350115174773946	0.4202731403555382	0.35897988678971926	0.37680225015443225
S1Hp	0.6922778290586185	0.7120144133808701	0.6455608838091048	0.7056025285874329	0.0	0.6027613403612845	0.4546892214345649	0.5992980705233968	0.6011668192077907	0.58453080547792	0.6839936531625151	0.608921614233356	0.5974284347267345	0.6892902274239976	0.6795977443674053	0.6898565901272558	0.6846364886925391	0.6920955345872102	0.7090862223114277	0.7326841002434304	0.7313392780640542	0.5830002872945217	0.6897722759023205	0.6284790223365015	0.6847684052554224
S9H1	0.7397232378645386	0.7594598221867903	0.6930062926150251	0.7530479373933532	0.6027613403612845	0.0	0.5021346302404852	0.646743479329317	0.648612228013711	0.6319762142838403	0.7314390619684354	0.6563670230392763	0.6448738435326548	0.7367356362299179	0.7270431531733257	0.7373019989331762	0.7320818974984594	0.7395409433931305	0.7565316311173481	0.7801295090493507	0.7787846868699746	0.630445696100442	0.7372176847082408	0.6759244311424217	0.7322138140613426
S26Hp	0.47059484727354184	0.49033143159579345	0.4238779020240282	0.48391954680235627	0.4546892214345649	0.5021346302404852	0.0	0.37761508873832017	0.3794838374227141	0.36284782369284346	0.46231067137743853	0.3872386324482794	0.37574545294165784	0.4676072456389209	0.45791476258232866	0.46817360834217914	0.46295350690746245	0.47041255280213357	0.4874032405263511	0.5110011184583538	0.5096562962789777	0.36131730550944513	0.46808929411724387	0.4067960405514249	0.46308542347034576
F7H1	0.4603869683083287	0.4801235526305804	0.4136700230588152	0.47371166783714325	0.5992980705233968	0.646743479329317	0.37761508873832017	0.0	0.010512514369341816	0.02667577972617899	0.4521027924122254	0.3770307534830663	0.3655375739764447	0.45739936667370784	0.44770688361711564	0.45796572937696606	0.4527456279422494	0.46020467383692043	0.47719536156113807	0.5007932394931407	0.49944841731376455	0.35110942654423205	0.4578814151520308	0.3965881615862118	0.4528775445051326
F23HpA	0.4622557169927226	0.4819923013149743	0.4155387717432091	0.47558041652153715	0.6011668192077907	0.648612228013711	0.3794838374227141	0.010512514369341816	0.0	0.028544528410572916	0.45397154109661936	0.37889950216746027	0.36740632266083867	0.45926811535810175	0.44957563230150954	0.45983447806135996	0.4546143766266433	0.46207342252131434	0.47906411024553197	0.5026619881775347	0.5013171659981585	0.35297817522862596	0.4597501638364247	0.3984569102706057	0.45474629318952653
S13Hp	0.44561970326285205	0.46535628758510367	0.3989027580133384	0.4589444027916665	0.58453080547792	0.6319762142838403	0.36284782369284346	0.02667577972617899	0.028544528410572916	0.0	0.43733552736674874	0.3622634884375896	0.35077030893096806	0.44263210162823113	0.4329396185716389	0.44319846433148935	0.43797836289677267	0.4454374087914438	0.4624280965156613	0.48602597444766404	0.48468115226828784	0.33634216149875534	0.4431141501065541	0.3818208965407351	0.43811027945965597
S22Hp	0.49873020558910575	0.5184667899113573	0.4520132603395921	0.5120549051179202	0.6839936531625151	0.7314390619684354	0.46231067137743853	0.4521027924122254	0.45397154109661936	0.43733552736674874	0.0	0.36089408307426174	0.34940090356764014	0.49574260395448483	0.48605012089789257	0.49630896665774304	0.49108886522302636	0.4985479111176975	0.515538598841915	0.5391364767739177	0.5377916545945416	0.38945266382500904	0.4962246524328078	0.4349313988669888	0.49122078178590967
F14H1B	0.4236581666599466	0.44339475098219827	0.37694122141043307	0.43698286618876114	0.608921614233356	0.6563670230392763	0.3872386324482794	0.3770307534830663	0.37889950216746027	0.3622634884375896	0.36089408307426174	0.0	0.17723247889326144	0.42067056502532574	0.41097808196873353	0.42123692772858395	0.41601682629386727	0.4234758721885383	0.44046655991275596	0.46406443784475865	0.46271961566538244	0.31438062489584995	0.4211526135036487	0.3598593599378297	0.4161487428567505
S3Hp	0.41216498715332506	0.4319015714755767	0.3654480419038114	0.4254896866821395	0.5974284347267345	0.6448738435326548	0.37574545294165784	0.3655375739764447	0.36740632266083867	0.35077030893096806	0.34940090356764014	0.17723247889326144	0.0	0.40917738551870414	0.3994849024621119	0.40974374822196236	0.40452364678724567	0.4119826926819168	0.4289733804061343	0.45257125833813705	0.45122643615876085	0.30288744538922835	0.4096594339970271	0.3483661804312081	0.404655563350129
s24H1	0.4433838480375438	0.4631204323597955	0.3966669027880303	0.45670854756635837	0.6892902274239976	0.7367356362299179	0.4676072456389209	0.45739936667370784	0.45926811535810175	0.44263210162823113	0.49574260395448483	0.42067056502532574	0.40917738551870414	0.0	0.33037034378094055	0.34062918954079097	0.3942579360482169	0.40171698194288796	0.4187076696671056	0.4423055475991083	0.4409607254197321	0.3341063062734472	0.4408782948812459	0.3795850413154269	0.43587442423434775
S23Hp	0.4336913649809516	0.45342794930320324	0.386974419731438	0.44701606450976605	0.6795977443674053	0.7270431531733257	0.45791476258232866	0.44770688361711564	0.44957563230150954	0.4329396185716389	0.48605012089789257	0.41097808196873353	0.3994849024621119	0.33037034378094055	0.0	0.07236930593140349	0.3845654529916247	0.39202449888629576	0.40901518661051334	0.432613064542516	0.4312682423631399	0.3244138232168549	0.43118581182465365	0.3698925582588347	0.42618194117775554
