	S15Hp	S2Hp	F7H1	S12Hp	F8H1	F3H1	S3Hp	F22HpB	S13Hp	S7Hp	S17H1	F14H1A	S14Hp	S18H1	S26Hp	S9H1
S15Hp	0.0	0.4378325606157127	0.4690344212965135	0.5602442627747979	0.4568331053886058	0.5327529940481741	0.5605506006866761	0.47889748851627345	0.615453169857312	0.6909448930142901	0.41174591527342697	0.4111613580040737	0.41186980811993756	0.4194710608797536	0.4165730618811809	0.39895995322023986
S2Hp	0.4378325606157127	0.0	0.47787224438301223	0.5690820858612966	0.4656709284751046	0.5415908171346728	0.5693884237731748	0.48773531160277217	0.6242909929438107	0.6997827161007888	0.42058373835992574	0.4199991810905725	0.42070763120643634	0.4283088839662524	0.42541088496767965	0.40779777630673864
F7H1	0.4690344212965135	0.47787224438301223	0.0	0.36613136016495196	0.26272020277875996	0.3386400914383282	0.5268212083321474	0.4451680961617448	0.5817237775027833	0.6572155006597614	0.4134067301054982	0.412822172836145	0.4135306229520088	0.42113187571182487	0.41823387671325213	0.4006207680523111
S12Hp	0.5602442627747979	0.5690820858612966	0.36613136016495196	0.0	0.22229679350820547	0.29821668216777375	0.6180310498104318	0.5363779376400291	0.6729336189810676	0.7484253421380458	0.5046165715837826	0.5040320143144293	0.5047404644302932	0.5123417171901092	0.5094437181915364	0.49183060953059543
F8H1	0.4568331053886058	0.4656709284751046	0.26272020277875996	0.22229679350820547	0.0	0.08546323409916107	0.5146198924242398	0.4329667802538371	0.5695224615948756	0.6450141847518538	0.4012054141975905	0.40062085692823723	0.4013293070441011	0.4089305598039171	0.4060325608053444	0.3884194521444034
F3H1	0.5327529940481741	0.5415908171346728	0.3386400914383282	0.29821668216777375	0.08546323409916107	0.0	0.590539781083808	0.5088866689134054	0.645442350254444	0.720934073411422	0.4771253028571588	0.47654074558780557	0.4772491957036694	0.48485044846348546	0.4819524494649127	0.4643393408039717
S3Hp	0.5605506006866761	0.5693884237731748	0.5268212083321474	0.6180310498104318	0.5146198924242398	0.590539781083808	0.0	0.48131601897206233	0.6178717003131009	0.693363423470079	0.5049229094956608	0.5043383522263075	0.5050468023421714	0.5126480551019874	0.5097500561034147	0.49213694744247366
F22HpB	0.47889748851627345	0.48773531160277217	0.4451680961617448	0.5363779376400291	0.4329667802538371	0.5088866689134054	0.48131601897206233	0.0	0.48306894525188415	0.5585606684088623	0.42326979732525816	0.4226852400559049	0.42339369017176876	0.4309949429315848	0.42809694393301206	0.41048383527207105
S13Hp	0.615453169857312	0.6242909929438107	0.5817237775027833	0.6729336189810676	0.5695224615948756	0.645442350254444	0.6178717003131009	0.48306894525188415	0.0	0.4466170879421097	0.5598254786662966	0.5592409213969434	0.5599493715128072	0.5675506242726233	0.5646526252740506	0.5470395166131096
S7Hp	0.6909448930142901	0.6997827161007888	0.6572155006597614	0.7484253421380458	0.6450141847518538	0.720934073411422	0.693363423470079	0.5585606684088623	0.4466170879421097	0.0	0.6353172018232748	0.6347326445539215	0.6354410946697854	0.6430423474296014	0.6401443484310287	0.6225312397700877
S17H1	0.41174591527342697	0.42058373835992574	0.4134067301054982	0.5046165715837826	0.4012054141975905	0.4771253028571588	0.5049229094956608	0.42326979732525816	0.5598254786662966	0.6353172018232748	0.0	0.0012152997690494834	0.0019237498849133312	0.012002891835873036	0.024580225034134387	0.012787962054187167
F14H1A	0.4111613580040737	0.4199991810905725	0.412822172836145	0.5040320143144293	0.40062085692823723	0.47654074558780557	0.5043383522263075	0.4226852400559049	0.5592409213969434	0.6347326445539215	0.0012152997690494834	0.0	0.0013214217242854924	0.011418334566519788	0.02399566776478114	0.01220340478483392
S14Hp	0.41186980811993756	0.42070763120643634	0.4135306229520088	0.5047404644302932	0.4013293070441011	0.4772491957036694	0.5050468023421714	0.42339369017176876	0.5599493715128072	0.6354410946697854	0.0019237498849133312	0.0013214217242854924	0.0	0.012126784682383636	0.024704117880644985	0.012911854900697768
S18H1	0.4194710608797536	0.4283088839662524	0.42113187571182487	0.5123417171901092	0.4089305598039171	0.48485044846348546	0.5126480551019874	0.4309949429315848	0.5675506242726233	0.6430423474296014	0.012002891835873036	0.011418334566519788	0.012126784682383636	0.0	0.03230537064046104	0.02051310766051382
S26Hp	0.4165730618811809	0.42541088496767965	0.41823387671325213	0.5094437181915364	0.4060325608053444	0.4819524494649127	0.5097500561034147	0.42809694393301206	0.5646526252740506	0.6401443484310287	0.024580225034134387	0.02399566776478114	0.024704117880644985	0.03230537064046104	0.0	0.017615108661941076
S9H1	0.39895995322023986	0.40779777630673864	0.4006207680523111	0.49183060953059543	0.3884194521444034	0.4643393408039717	0.49213694744247366	0.41048383527207105	0.5470395166131096	0.6225312397700877	0.012787962054187167	0.01220340478483392	0.012911854900697768	0.02051310766051382	0.017615108661941076	0.0
