	w27pp	S7Hp	w10pp	F8H1	f6ppB	f25pp	f20ppA	f30pp	w17pp	w26pp	f11pp	f14ppA	f12ppB	w4pp	f7pp	f16ppA	w11pp	w13pp	f12ppA	w24pp	w8pp	w16pp	f8pp	f21pp	f23ppA	w3pp	w14pp	w28pp	f2pp	f18pp	f4pp	f14ppB	f23ppB	w31pp	w29pp	S1Hp	w1pp	w32pp	S12Hp	F22HpB	S28Hp	f29pp	w7pp	f22ppA	f22ppB	w15pp
w27pp	0.0	0.2649689732754521	0.2972079490401994	0.2595213057199855	0.467723159949342	0.5912724351394512	0.6210545421007132	0.7372484277627378	0.8194080694949387	0.7949469662994814	0.8572383320457347	0.8435269589688345	0.8122852134689053	0.8546023268744817	0.8651296974559106	0.8278173251082351	0.9128145156321508	0.9403944104597721	0.9544585066164635	0.850640068127818	0.8510276179195276	0.8523402898303077	0.8071637621448154	0.8772910081901143	0.8181063081502549	0.830189249780875	0.7112767350416241	0.7887096524593044	0.7285248564325347	0.7311660773846212	0.7008403915143998	0.5932237072272833	0.5021674609432992	0.39519727583089825	0.3021075519219677	0.3005828078653622	0.3085812553105924	0.35499885807000897	0.28999487501354704	0.28432899333713924	0.2882879686198079	0.32676632730228167	0.23163230189083062	0.11819737526221186	0.11739479053301707	0.06198742698505779
S7Hp	0.2649689732754521	0.0	0.23440322736757127	0.1967165840473573	0.47964113953081544	0.6031904147209246	0.6329725216821867	0.7491664073442112	0.8313260490764122	0.8068649458809548	0.8691563116272082	0.8554449385503079	0.8242031930503787	0.8665203064559551	0.8770476770373841	0.8397353046897086	0.9247324952136242	0.9523123900412456	0.9663764861979369	0.8625580477092915	0.8629455975010011	0.8642582694117812	0.8190817417262889	0.8892089877715877	0.8300242877317283	0.8421072293623485	0.7231947146230976	0.8006276320407778	0.7404428360140082	0.7430840569660947	0.7127583710958733	0.6051416868087568	0.5140854405247727	0.4071152554123717	0.31402553150344115	0.3125007874468356	0.32049923489206583	0.3669168376514824	0.3019128545950205	0.2962469729186127	0.3002059482012813	0.33868430688375506	0.24355028147230406	0.31648456645976786	0.34546074783937536	0.2900533842914161
w10pp	0.2972079490401994	0.23440322736757127	0.0	0.10825844981522662	0.5118801152955628	0.6354293904856719	0.665211497446934	0.7814053831089586	0.8635650248411595	0.8391039216457021	0.9013952873919555	0.8876839143150552	0.856442168815126	0.8987592822207024	0.9092866528021314	0.8719742804544559	0.9569714709783715	0.9845513658059929	0.9986154619626842	0.8947970234740388	0.8951845732657484	0.8964972451765285	0.8513207174910362	0.9214479635363351	0.8622632634964756	0.8743462051270958	0.7554336903878449	0.8328666078055251	0.7726818117787555	0.775323032730842	0.7449973468606206	0.6373806625735041	0.54632441628952	0.439354231177119	0.34626450726818847	0.34473976321158295	0.35273821065681316	0.39915581341622974	0.3341518303597678	0.32848594868336	0.33244492396602865	0.3709232826485024	0.2757892572370514	0.3487235422245152	0.37769972360412274	0.32229236005616346
F8H1	0.2595213057199855	0.1967165840473573	0.10825844981522662	0.0	0.47419347197534883	0.5977427471654579	0.62752485412672	0.7437187397887446	0.8258783815209456	0.8014172783254883	0.8637086440717416	0.8499972709948413	0.8187555254949122	0.8610726389004886	0.8716000094819174	0.834287637134242	0.9192848276581576	0.9468647224857789	0.9609288186424703	0.8571103801538249	0.8574979299455345	0.8588106018563146	0.8136340741708223	0.8837613202161212	0.8245766201762617	0.836659561806882	0.717747047067631	0.7951799644853113	0.7349951684585416	0.7376363894106281	0.7073107035404067	0.5996940192532902	0.5086377729693061	0.4016675878569051	0.3085778639479745	0.307053119891369	0.3150515673365992	0.36146917009601576	0.2964651870395539	0.290799305363146	0.2947582806458147	0.3332366393282885	0.23810261391683746	0.31103689890430125	0.34001308028390875	0.2846057167359495
f6ppB	0.467723159949342	0.47964113953081544	0.5118801152955628	0.47419347197534883	0.0	0.33447126940815786	0.3642533763694199	0.4804472620314445	0.5626069037636454	0.5381458005681881	0.6004371663144414	0.5867257932375411	0.555484047737612	0.5978011611431884	0.6083285317246173	0.5710161593769418	0.6560133499008575	0.6835932447284788	0.6976573408851702	0.5938389023965247	0.5942264521882343	0.5955391240990144	0.5503625964135221	0.620489842458821	0.5613051424189617	0.5733880840495817	0.45447556931033084	0.531908486728011	0.47172369070124137	0.47436491165332795	0.44403922578310645	0.33642254149599005	0.2453662952120059	0.24746997951220565	0.21781722822948005	0.3668442680559767	0.37484271550120685	0.42126031826062343	0.35625633520416156	0.3505904535277537	0.3545494288104224	0.39302778749289613	0.2978937620814451	0.5192387531336577	0.5482149345132653	0.49280757096530603
f25pp	0.5912724351394512	0.6031904147209246	0.6354293904856719	0.5977427471654579	0.33447126940815786	0.0	0.26741782026298316	0.38361170592500776	0.4657713476572087	0.4413102444617513	0.5036016102080048	0.48989023713110447	0.45864849163117527	0.5009656050367517	0.5114929756181805	0.47418060327050515	0.5591777937944207	0.586757688622042	0.6008217847787334	0.49700334629008797	0.49739089608179765	0.49870356799257776	0.45352704030708535	0.5236542863523842	0.4644695863125249	0.476552527943145	0.3576400132038941	0.43507293062157426	0.37488813459480463	0.3775293555468912	0.3472036696766697	0.2395869853895533	0.27099718363230585	0.3710192547023148	0.3413665034195892	0.49039354324608575	0.498391990691316	0.5448095934507325	0.4798056103942706	0.4741397287178628	0.47809870400053145	0.5165770626830053	0.4214430372715542	0.642788028323767	0.6717642097033745	0.6163568461554152
f20ppA	0.6210545421007132	0.6329725216821867	0.665211497446934	0.62752485412672	0.3642533763694199	0.26741782026298316	0.0	0.264508383193395	0.3466680249255959	0.32220692173013854	0.3844982874763919	0.37078691439949174	0.33954516889956254	0.38186228230513897	0.3923896528865678	0.3550772805388924	0.44007447106280795	0.4676543658904293	0.48171846204712065	0.3779000235584752	0.3782875733501849	0.37960024526096503	0.3344237175754726	0.4045509636207715	0.34536626358091216	0.35744920521153223	0.23853669047228135	0.31596960788996153	0.2557848118631919	0.25842603281527843	0.22810034694505696	0.2238454242729816	0.30077929059356795	0.4008013616635769	0.3711486103808513	0.5201756502073479	0.5281740976525781	0.5745917004119947	0.5095877173555328	0.5039218356791249	0.5078808109617936	0.5463591696442673	0.4512251442328163	0.6725701352850291	0.7015463166646365	0.6461389531166772
f30pp	0.7372484277627378	0.7491664073442112	0.7814053831089586	0.7437187397887446	0.4804472620314445	0.38361170592500776	0.264508383193395	0.0	0.26652164504689263	0.24206054185143527	0.3043519075976887	0.2906405345207885	0.2593987890208592	0.30171590242643564	0.31224327300786453	0.2749309006601891	0.35992809118410474	0.38750798601172604	0.40157208216841744	0.297753643679772	0.29814119347148166	0.29945386538226176	0.25427733769676936	0.3244045837420682	0.2652198837022089	0.27730282533282896	0.1583903105935781	0.23582322801125827	0.23512608508398597	0.2377673060360725	0.2426293251665777	0.3400393099350062	0.41697317625559255	0.5169952473256014	0.4873424960428759	0.6363695358693725	0.6443679833146027	0.6907855860740193	0.6257816030175574	0.6201157213411495	0.6240746966238182	0.6625530553062919	0.5674190298948409	0.7887640209470537	0.8177402023266611	0.7623328387787018
w17pp	0.8194080694949387	0.8313260490764122	0.8635650248411595	0.8258783815209456	0.5626069037636454	0.4657713476572087	0.3466680249255959	0.26652164504689263	0.0	0.18405302606100263	0.349491595552062	0.3357802224751617	0.3045384769752325	0.34685559038080893	0.35738296096223776	0.3200705886145624	0.405067779138478	0.43264767396609927	0.44671177012279073	0.34289333163414526	0.3432808814258549	0.344593553336635	0.2994170256511426	0.3695442716964415	0.3103595716565821	0.32244251328720225	0.20352999854795137	0.2809629159656315	0.3172857268161869	0.3199269477682734	0.3247889668987786	0.4221989516672071	0.49913281798779346	0.5991548890578025	0.5695021377750767	0.7185291776015734	0.7265276250468036	0.7729452278062201	0.7079412447497583	0.7022753630733505	0.7062343383560191	0.7447126970384929	0.6495786716270419	0.8709236626792545	0.899899844058862	0.8444924805109028
w26pp	0.7949469662994814	0.8068649458809548	0.8391039216457021	0.8014172783254883	0.5381458005681881	0.4413102444617513	0.32220692173013854	0.24206054185143527	0.18405302606100263	0.0	0.32503049235660464	0.31131911927970435	0.28007737377977515	0.3223944871853516	0.3329218577667804	0.29560948541910503	0.38060667594302067	0.4081865707706419	0.4222506669273334	0.3184322284386879	0.31881977823039753	0.32013245014117764	0.27495592245568523	0.34508316850098414	0.28589846846112477	0.2979814100917449	0.179068895352494	0.25650181277017414	0.29282462362072953	0.29546584457281605	0.30032786370332126	0.39773784847174976	0.4746717147923361	0.5746937858623451	0.5450410345796194	0.6940680744061161	0.7020665218513462	0.7484841246107627	0.6834801415543009	0.6778142598778931	0.6817732351605618	0.7202515938430355	0.6251175684315845	0.8464625594837971	0.8754387408634047	0.8200313773154454
