	S9H1	w10pp	w17pp	w20pp	f10pp	w13pp	w23pp	w9pp	F16H1	S13Hp	f11pp	w1pp	S11Hp	31452	31328	S17H1	F14H1B	S1Hp	S19H1	31750	31071	F32H1	S14Hp	S28Hp	S4Hp	530119	S15Hp	S16H2	S6Hp	F6H1	31749	S25Hp	S30H1	F23HpA	S18H1	31236	S8Hp	S26Hp
S9H1	0.0	0.3453263869243323	0.3855502546753301	0.4247536224208637	0.4022375132212088	0.35884638397615876	0.39014388957339635	0.3717402415837292	0.4345306888788221	0.40774729714343555	0.39129631785849545	0.34611812732737235	0.41645587937641015	0.4153332412947058	0.33743638596669945	0.47728721581188843	0.4502480132158387	0.4312646866885796	0.4687003658802464	0.3964751007236171	0.4685181893083436	0.4586273264801012	0.4589825008645527	0.5008534301507226	0.4976284784250257	0.38638254948330686	0.34266251344533816	0.4484930662725218	0.4806110587990301	0.44188276796743703	0.4438500393617545	0.43335343754322003	0.43666134840340254	0.49344440270789647	0.48676323778442565	0.4482017791729552	0.4066288500511237	0.2001680511413021
w10pp	0.3453263869243323	0.0	0.13183163776873014	0.17103500551426365	0.14851889631460882	0.1262331973901516	0.1575307029873892	0.13912705499772207	0.20191750229281497	0.17513411055742842	0.15868313127248831	0.11350494074136519	0.33161501717965564	0.33049237909795126	0.252595523769945	0.3924463536151339	0.36540715101908416	0.34642382449182507	0.38385950368349187	0.31163423852686256	0.3836773271115891	0.37378646428334666	0.3741416386677982	0.416012567953968	0.4127876162282712	0.3015416872865524	0.2578216512485837	0.36365220407576726	0.3957701966022756	0.3570419057706825	0.35900917716499997	0.3485125753464655	0.35182048620664796	0.40860354051114195	0.40192237558767113	0.36336091697620065	0.32178798785436924	0.16877007774144487
w17pp	0.3855502546753301	0.13183163776873014	0.0	0.1654673668972938	0.14295125769763897	0.1664570651411494	0.197754570738387	0.1793509227487199	0.24214137004381278	0.21535797830842623	0.19890699902348613	0.153728808492363	0.3718388849306534	0.37071624684894905	0.2928193915209427	0.4326702213661317	0.40563101877008195	0.38664769224282286	0.42408337143448965	0.35185810627786035	0.42390119486258687	0.41401033203434445	0.414365506418796	0.4562364357049658	0.453011483979269	0.34176555503755013	0.2980455189995814	0.40387607182676505	0.43599406435327337	0.39726577352168035	0.39923304491599776	0.3887364430974633	0.3920443539576458	0.44882740826213974	0.4421462433386689	0.4035847847271985	0.362011855605367	0.20899394549244266
w20pp	0.4247536224208637	0.17103500551426365	0.1654673668972938	0.0	0.1263402482430691	0.20566043288668295	0.23695793848392055	0.21855429049425343	0.2813447377893463	0.25456134605395975	0.23811036676901967	0.19293217623789655	0.411042252676187	0.4099196145944826	0.3320227592664763	0.47187358911166527	0.4448343865156155	0.42585105998835643	0.4632867391800232	0.3910614740233939	0.46310456260812044	0.453213699779878	0.45356887416432956	0.49543980345049937	0.49221485172480256	0.3809689227830837	0.337248886745115	0.4430794395722986	0.47519743209880694	0.4364691412672139	0.4384364126615313	0.42793981084299687	0.4312477217031794	0.4880307760076733	0.4813496110842025	0.44278815247273207	0.40121522335090054	0.24819731323797622
f10pp	0.4022375132212088	0.14851889631460882	0.14295125769763897	0.1263402482430691	0.0	0.1831443236870281	0.2144418292842657	0.19603818129459857	0.25882862858969147	0.23204523685430492	0.21559425756936482	0.1704160670382417	0.38852614347653214	0.38740350539482776	0.30950665006682143	0.4493574799120104	0.42231827731596067	0.4033349507887016	0.44077062998036837	0.36854536482373906	0.4405884534084656	0.43069759058022317	0.4310527649646747	0.4729236942508445	0.4696987425251477	0.35845281358342884	0.31473277754546014	0.42056333037264376	0.4526813228991521	0.41395303206755907	0.4159203034618765	0.405423701643342	0.4087316125035245	0.46551466680801845	0.45883350188454763	0.4202720432730772	0.3786991141512457	0.22568120403832137
w13pp	0.35884638397615876	0.1262331973901516	0.1664570651411494	0.20566043288668295	0.1831443236870281	0.0	0.1474681850956489	0.12906453710598179	0.19185498440107468	0.16507159266568813	0.14862061338074803	0.1034424228496249	0.3451350142314821	0.3440123761497777	0.26611552082177137	0.40596635066696035	0.3789271480709106	0.3599438215436515	0.3973795007353183	0.325154235578689	0.3971973241634155	0.3873064613351731	0.38766163571962464	0.42953256500579445	0.42630761328009764	0.3150616843383788	0.2713416483004101	0.3771722011275937	0.409290193654102	0.370561902822509	0.3725291742168264	0.36203257239829195	0.36534048325847446	0.4221235375629684	0.41544237263949757	0.37688091402802715	0.3353079849061956	0.1822900747932713
w23pp	0.39014388957339635	0.1575307029873892	0.197754570738387	0.23695793848392055	0.2144418292842657	0.1474681850956489	0.0	0.09332005791516987	0.18358262324140312	0.1567992315060166	0.1403482522210765	0.12045167790725406	0.37643251982871967	0.3753098817470153	0.297413026419009	0.43726385626419795	0.4102246536681482	0.3912413271408891	0.4286770063325559	0.3564517411759266	0.4284948297606531	0.4186039669324107	0.41895914131686224	0.46083007060303205	0.45760511887733524	0.34635918993561643	0.30263915389764773	0.4084697067248313	0.4405876992513396	0.40185940841974654	0.403826679814064	0.39333007799552955	0.396637988855712	0.453421043160206	0.44673987823673517	0.4081784196252647	0.3666054905034333	0.2135875803905089
w9pp	0.3717402415837292	0.13912705499772207	0.1793509227487199	0.21855429049425343	0.19603818129459857	0.12906453710598179	0.09332005791516987	0.0	0.16517897525173603	0.13839558351634948	0.12194460423140938	0.10204802991758694	0.3580288718390525	0.35690623375734815	0.2790093784293418	0.4188602082745308	0.39182100567848105	0.37283767915122196	0.41027335834288875	0.33804809318625945	0.41009118177098597	0.40020031894274355	0.4005554933271951	0.4424264226133649	0.4392014708876681	0.3279555419459492	0.2842355059079805	0.39006605873516415	0.42218405126167247	0.38345576043007945	0.38542303182439686	0.3749264300058624	0.3782343408660449	0.43501739517053883	0.428336230247068	0.3897747716355976	0.34820184251376607	0.19518393240084175
F16H1	0.4345306888788221	0.20191750229281497	0.24214137004381278	0.2813447377893463	0.25882862858969147	0.19185498440107468	0.18358262324140312	0.16517897525173603	0.0	0.14567220407105777	0.16036541095626414	0.1648384772126798	0.42081931913414544	0.41969668105244107	0.3417998257244348	0.4816506555696237	0.45461145297357397	0.4356281264463149	0.47306380563798167	0.40083854048135237	0.4728816290660789	0.46299076623783647	0.463345940622288	0.5052168699084578	0.501991918182761	0.3907459892410422	0.3470259532030735	0.45285650603025707	0.4849744985567654	0.4462462077251723	0.4482134791194898	0.4377168773009553	0.44102478816113777	0.49780784246563176	0.49112667754216094	0.45256521893069046	0.41099228980885905	0.2579743796959347
S13Hp	0.40774729714343555	0.17513411055742842	0.21535797830842623	0.25456134605395975	0.23204523685430492	0.16507159266568813	0.1567992315060166	0.13839558351634948	0.14567220407105777	0.0	0.13358201922087762	0.13805508547729328	0.39403592739875887	0.3929132893170545	0.3150164339890482	0.45486726383423715	0.4278280612381874	0.4088447347109283	0.4462804139025951	0.3740551487459658	0.4460982373306923	0.4362073745024499	0.43656254888690144	0.47843347817307125	0.47520852644737444	0.3639625975056556	0.3202425614676869	0.4260731142948705	0.4581911068213788	0.41946281598978574	0.4214300873841032	0.41093348556556875	0.4142413964257512	0.4710244507302452	0.46434328580677436	0.4257818271953039	0.38420889807347247	0.2311909879605481
