	31379	F8H1	S1Hp	31428	31416	S12Hp	S15Hp	S2Hp	F3H1	S8Hp	F7H1	S28Hp	530055	S30H1	S20H1	530364	31452	31219	S13Hp	31700	31300	31637	S26Hp	530331	S18H1	31267	S3Hp	530394	S9H1	530258	31160	S27H1	F14H1B	31600	w24pp	s1pp	s2pp	w9pp	530215
31379	0.0	0.07213121620176936	0.3587735258704924	0.3435251143779532	0.34122369984535894	0.35082558092802985	0.3401141458597289	0.3439575833527455	0.3466535923420354	0.3360014973962382	0.28042278160244505	0.33702474329993015	0.3427922154472264	0.3412129858467894	0.34562835872015907	0.3383339111730702	0.33260193690947804	0.3398517080923441	0.3441259320427733	0.3414608845467765	0.3396628912660764	0.3378891871968124	0.2779893090325816	0.33190680714494825	0.3378875969489098	0.3330886254295996	0.31700858988180736	0.3258316965038778	0.31565820431465585	0.32897112605658085	0.3230104940451347	0.3315732433403089	0.4002304162001723	0.3999306778959023	0.3513383217562954	0.38123189720308104	0.3621772970228817	0.3598312553978391	0.28263511709648903
F8H1	0.07213121620176936	0.0	0.3521777113268743	0.33692929983433517	0.33462788530174087	0.34422976638441183	0.33351833131611086	0.33736176880912744	0.3400577777984174	0.3294056828526201	0.27382696705882703	0.3304289287563121	0.3361964009036083	0.33461717130317137	0.33903254417654105	0.33173809662945214	0.32600612236586	0.33325589354872603	0.33753011749915524	0.33486507000315846	0.33306707672245833	0.33129337265319436	0.27139349448896355	0.32531099260133023	0.3312917824052917	0.3264928108859816	0.31041277533818934	0.31923588196025976	0.30906238977103784	0.3223753115129628	0.3164146795015167	0.32497742879669084	0.3936346016565543	0.39333486335228424	0.3447425072126774	0.374636082659463	0.35558148247926363	0.35323544085422104	0.276039302552871
S1Hp	0.3587735258704924	0.3521777113268743	0.0	0.05730562337504573	0.05500420884245144	0.06460608992512236	0.053894654856821406	0.05773809234983802	0.12084965801916564	0.11019756307336835	0.13923063173968855	0.2848155765485896	0.2905830486958858	0.2890038190954488	0.2934191919688185	0.28612474442172964	0.28039277015813746	0.28764254134100353	0.29191676529143273	0.2892517177954359	0.2874537245147358	0.2856800204454718	0.29364700502312147	0.3727770925511673	0.37875788235512875	0.3739589108358186	0.35787887528802637	0.36670198191009684	0.3565284897208749	0.3698414114627998	0.3638807794513537	0.37244352874652786	0.44110070160639137	0.44080096330212126	0.3922086071625145	0.4221021826093001	0.40304758242910066	0.40070154080405807	0.3548369015449978
31428	0.3435251143779532	0.33692929983433517	0.05730562337504573	0.0	0.008547340231681943	0.022458429484200505	0.011746994415899548	0.015590431908916163	0.1056012465266265	0.09494915158082923	0.12398222024714944	0.26956716505605044	0.27533463720334667	0.27375540760290973	0.2781707804762794	0.2708763329291905	0.2651443586655984	0.2723941298484644	0.2766683537988936	0.2740033063028968	0.27220531302219664	0.2704316089529327	0.27839859353058233	0.3575286810586282	0.36350947086258967	0.3587104993432795	0.34263046379548723	0.3514535704175577	0.3412800782283358	0.3545929999702607	0.3486323679588146	0.3571951172539888	0.4258522901138522	0.4255525518095822	0.37696019566997535	0.40685377111676096	0.3877991709365616	0.385453129311519	0.3395884900524587
31416	0.34122369984535894	0.33462788530174087	0.05500420884245144	0.008547340231681943	0.0	0.020157014951606222	0.009445579883305265	0.01328901737632188	0.10329983199403223	0.09264773704823494	0.12168080571455514	0.26726575052345614	0.27303322267075236	0.2714539930703154	0.27586936594368505	0.2685749183965962	0.2628429441330041	0.2700927153158701	0.2743669392662993	0.2717018917703025	0.2699038984896024	0.2681301944203384	0.276097178997988	0.35522726652603387	0.36120805632999536	0.35640908481068523	0.340329049262893	0.3491521558849634	0.3389786636957415	0.3522915854376664	0.34633095342622033	0.3548937027213945	0.4235508755812579	0.4232511372769879	0.37465878113738105	0.40455235658416666	0.3854977564039672	0.3831517147789247	0.33728707551986437
S12Hp	0.35082558092802985	0.34422976638441183	0.06460608992512236	0.022458429484200505	0.020157014951606222	0.0	0.010983711005398642	0.014827148498415259	0.11290171307670314	0.10224961813090586	0.13128268679722607	0.27686763160612704	0.28263510375342327	0.2810558741529864	0.285471247026356	0.2781767994792671	0.27244482521567503	0.279694596398541	0.2839688203489702	0.2813037728529735	0.2795057795722733	0.2777320755030094	0.285699060080659	0.3648291476087048	0.3708099374126663	0.36601096589335613	0.3499309303455639	0.3587540369676343	0.3485805447784124	0.3618934665203374	0.35593283450889124	0.36449558380406544	0.43315275666392883	0.43285301835965884	0.38426066222005195	0.41415423766683757	0.3950996374866382	0.39275359586159564	0.3468889566025354
S15Hp	0.3401141458597289	0.33351833131611086	0.053894654856821406	0.011746994415899548	0.009445579883305265	0.010983711005398642	0.0	0.004113713429114243	0.10219027800840219	0.09153818306260489	0.1205712517289251	0.2661561965378261	0.2719236686851223	0.2703444390846854	0.27475981195805504	0.26746536441096613	0.26173339014737407	0.26898316133024003	0.27325738528066923	0.2705923377846725	0.2687943445039723	0.2670206404347084	0.274987625012358	0.3541177125404038	0.36009850234436536	0.35529953082505517	0.3392194952772629	0.34804260189933334	0.3378691097101114	0.3511820314520364	0.34522139944059027	0.35378414873576447	0.42244132159562786	0.42214158329135787	0.373549227151751	0.4034428025985366	0.3843882024183372	0.38204216079329467	0.3361775215342344
S2Hp	0.3439575833527455	0.33736176880912744	0.05773809234983802	0.015590431908916163	0.01328901737632188	0.014827148498415259	0.004113713429114243	0.0	0.1060337155014188	0.09538162055562151	0.12441468922194171	0.2699996340308427	0.27576710617813893	0.274187876577702	0.2786032494510716	0.27130880190398277	0.26557682764039064	0.27282659882325666	0.27710082277368586	0.2744357752776891	0.27263778199698896	0.270864077927725	0.2788310625053746	0.35796115003342044	0.36394193983738193	0.3591429683180718	0.34306293277027955	0.35188603939234997	0.34171254720312805	0.355025468945053	0.3490648369336069	0.35762758622878105	0.4262847590886445	0.42598502078437445	0.3773926646447676	0.40728624009155323	0.3882316399113538	0.38588559828631125	0.34002095902725094
F3H1	0.3466535923420354	0.3400577777984174	0.12084965801916564	0.1056012465266265	0.10329983199403223	0.11290171307670314	0.10219027800840219	0.1060337155014188	0.0	0.05756485099930782	0.12711069821123164	0.2726956430201326	0.27846311516742883	0.27688388556699195	0.2812992584403616	0.27400481089327267	0.2682728366296806	0.27552260781254656	0.27979683176297576	0.27713178426697904	0.27533379098627886	0.27356008691701494	0.28152707149466455	0.36065715902271034	0.3666379488266719	0.3618389773073617	0.34575894175956945	0.35458204838163987	0.34440855619241795	0.35772147793434295	0.3517608459228968	0.360323595218071	0.4289807680779344	0.4286810297736644	0.3800886736340575	0.40998224908084313	0.39092764890064374	0.3885816072756012	0.34271696801654095
S8Hp	0.3360014973962382	0.3294056828526201	0.11019756307336835	0.09494915158082923	0.09264773704823494	0.10224961813090586	0.09153818306260489	0.09538162055562151	0.05756485099930782	0.0	0.11645860326543436	0.2620435480743354	0.2678110202216316	0.2662317906211946	0.2706471634945643	0.26335271594747545	0.25762074168388327	0.26487051286674934	0.26914473681717854	0.2664796893211817	0.2646816960404816	0.2629079919712176	0.2708749765488673	0.3500050640769131	0.35598585388087456	0.3511868823615644	0.3351068468137722	0.34392995343584265	0.33375646124662073	0.3470693829885456	0.34110875097709953	0.34967150027227367	0.4183286731321372	0.41802893482786707	0.3694365786882603	0.3993301541350459	0.38027555395484647	0.3779295123298039	0.3320648730707436
