	530331	w4pp	w26pp	w11pp	w3pp	s21pp	w32pp	w1pp	s26pp	s30pp	s2pp	s31pp	s25pp	s23pp	s28pp	s17pp	s7pp	s32pp	s12pp	s6pp	s27pp	s24pp	s29pp	s3pp	w14pp	w8pp	w17pp	w2pp	f8pp	w29pp	w19pp	w15pp	w16pp	f2pp	31009	31333	31232	31428	530444	31021	530394	31360	530075	31766	31379	31750	S27H1	31112	530364	31700	F7H1	F14H1B	530050	S3Hp	S12Hp	F23HpA	F14H1A	S2Hp	F22H1A	F1H1	S13Hp	S29H1	S16H2	S8Hp	S15Hp	S7Hp	F3H1	S6Hp	F8H1	S30H1	S20H1	S21H1	31219	S26Hp	F16H1	S10H1	S31Hp	S23Hp	s24H1	S11Hp	F6H1	S14Hp	F22HpB	S17H1	S19H1	31267	S4Hp	31749	S1Hp	S25Hp	31071
530331	0.0	0.7003654154110623	0.7256997867193871	0.7242167868797913	0.7424677606281963	0.7722404244791448	0.7327430266454684	0.7410186200493326	0.825840766043724	0.8435939107663978	0.8254944062502604	0.8678892870402048	0.8270771756991239	0.846783386596006	0.8523337011556852	0.9033447643724887	0.8856104327900802	0.88334752865984	0.8607921914601766	0.8574752153351098	0.7810547604896234	0.8009488602062376	0.8033384850873486	0.7900006165698182	0.7573127557910312	0.7722574371735016	0.7750873037747643	0.7539847688224685	0.7722302106834699	0.7535022465040722	0.7362018304538605	0.7526815421443107	0.7227473887870254	0.6884307306181333	0.251597040549622	0.2948923477859343	0.2307303525851085	0.24245316917090062	0.22555695804516485	0.24624158639799043	0.236198137737368	0.22716737808363285	0.2391739106108292	0.23968157931656503	0.29181930900745884	0.23597807828675996	0.33224835023583105	0.2904174440623267	0.2843209970846223	0.23594857202685693	0.27346283659738607	0.31894613945094424	0.29826311855536225	0.28321089155511614	0.2546084813501477	0.24165350134345845	0.2576021701852767	0.3251474366157954	0.33147116772275664	0.3756671244642172	0.3545322013364838	0.3796424527755986	0.37761302372369876	0.4336657320215489	0.32548450355838476	0.3382379770762915	0.31469871685832823	0.25795226664090953	0.30576183156760256	0.3602096342917317	0.37407585396321397	0.3974707318405857	0.3103038974156537	0.2852887365856018	0.35001264264446696	0.275264940249342	0.3410576968341796	0.28898124503808353	0.2716070803831685	0.24745322852523033	0.30266386597205164	0.37361763453472546	0.26271639916934875	0.3968698759665654	0.3716187385606754	0.29507358199776995	0.2255364098080851	0.32767679717906556	0.33415917650559357	0.2577384418322895	0.20038619528360135
w4pp	0.7003654154110623	0.0	0.049048534357584425	0.0475655345179886	0.0658165082663936	0.09558917211734214	0.05609177428366577	0.06436736768752993	0.1491895136819213	0.16694265840459516	0.14884315388845773	0.19123803467840217	0.15042592333732124	0.1701321342342033	0.1756824487938825	0.22669351201068605	0.20895918042827755	0.20669627629803733	0.1841409390983739	0.18082396297330716	0.10440350812782079	0.12429760784443487	0.12668723272554594	0.11334936420801557	0.08066150342922854	0.09560618481169891	0.09843605141296169	0.07733351646066584	0.09557895832166723	0.0768509941422695	0.059550578092057785	0.07603028978250809	0.04609613642522274	0.04394041221325881	0.6906128732407074	0.7339081804770197	0.6697461852761939	0.681469001861986	0.6645727907362502	0.6852574190890758	0.6881058952272476	0.6790751355735125	0.6910816681007088	0.6915893368064446	0.7437270664973384	0.6878858357766395	0.7841561077257106	0.7423252015522064	0.7362287545745019	0.6878563295167366	0.7253705940872657	0.7708538969408238	0.7501708760452419	0.7351186490449957	0.7065162388400272	0.6935612588333381	0.7095099276751563	0.777055194105675	0.7833789252126363	0.8275748819540969	0.8064399588263633	0.8315502102654783	0.8295207812135784	0.8855734895114286	0.7773922610482644	0.7901457345661711	0.7666064743482078	0.7098600241307891	0.7576695890574822	0.8121173917816114	0.8259836114530936	0.8493784893304653	0.7622116549055333	0.7371964940754814	0.8019204001343466	0.7271726977392217	0.7929654543240592	0.7408890025279631	0.7235148378730482	0.69936098601511	0.7545716234619313	0.8255253920246051	0.7146241566592284	0.8487776334564451	0.8235264960505551	0.7469813394876496	0.6774441672979647	0.7795845546689452	0.7860669339954732	0.7096461993221691	0.6647309466503383
w26pp	0.7256997867193871	0.049048534357584425	0.0	0.03716269075706484	0.05541366450546983	0.08518632835641837	0.06647778870502492	0.07475338210888909	0.15957552810328046	0.17732867282595433	0.15922916830981687	0.20162404909976134	0.1608119377586804	0.18051814865556248	0.18606846321524168	0.23707952643204522	0.21934519484963672	0.2170822907193965	0.19452695351973304	0.19120997739466633	0.11478952254917994	0.13468362226579403	0.1370732471469051	0.12373537862937473	0.09104751785058768	0.10599219923305807	0.10882206583432084	0.087719530882025	0.10596497274302638	0.08723700856362865	0.06993659251341694	0.08641630420386723	0.0564821508465819	0.0692747835215836	0.7159472445490321	0.7592425517853444	0.6950805565845186	0.7068033731703107	0.6899071620445749	0.7105917903974005	0.7134402665355724	0.7044095068818372	0.7164160394090335	0.7169237081147694	0.7690614378056632	0.7132202070849643	0.8094904790340354	0.7676595728605311	0.7615631258828266	0.7131907008250613	0.7507049653955904	0.7961882682491486	0.7755052473535666	0.7604530203533204	0.731850610148352	0.7188956301416628	0.734844298983481	0.8023895654139998	0.808713296520961	0.8529092532624216	0.831774330134688	0.856884581573803	0.8548551525219031	0.9109078608197533	0.8027266323565891	0.8154801058744958	0.7919408456565326	0.7351943954391138	0.7830039603658069	0.8374517630899361	0.8513179827614183	0.8747128606387901	0.787546026213858	0.7625308653838061	0.8272547714426713	0.7525070690475464	0.8182998256323839	0.7662233738362878	0.7488492091813729	0.7246953573234347	0.779905994770256	0.8508597633329298	0.7399585279675531	0.8741120047647698	0.8488608673588798	0.7723157107959743	0.7027785386062895	0.8049189259772699	0.811401305303798	0.7349805706304938	0.690065317958663
w11pp	0.7242167868797913	0.0475655345179886	0.03716269075706484	0.0	0.04401041910110972	0.07378308295205827	0.0649947888654291	0.07327038226929326	0.15809252826368464	0.1758456729863585	0.15774616847022105	0.20014104926016552	0.1593289379190846	0.17903514881596666	0.18458546337564585	0.2355965265924494	0.2178621950100409	0.21559929087980068	0.19304395368013721	0.1897269775550705	0.11330652270958412	0.1332006224261982	0.1355902473073093	0.1222523787897789	0.08956451801099186	0.10450919939346225	0.10733906599472502	0.08623653104242918	0.10448197290343056	0.08575400872403283	0.06845359267382112	0.0849333043642714	0.054999151006986075	0.06779178368198778	0.7144642447094364	0.7577595519457486	0.6935975567449228	0.705320373330715	0.6884241622049792	0.7091087905578047	0.7119572666959766	0.7029265070422415	0.7149330395694378	0.7154407082751736	0.7675784379660674	0.7117372072453685	0.8080074791944396	0.7661765730209353	0.7600801260432308	0.7117077009854655	0.7492219655559946	0.7947052684095528	0.7740222475139709	0.7589700205137246	0.7303676103087562	0.717412630302067	0.7333612991438853	0.800906565574404	0.8072302966813653	0.8514262534228259	0.8302913302950923	0.8554015817342072	0.8533721526823074	0.9094248609801575	0.8012436325169934	0.8139971060349	0.7904578458169368	0.733711395599518	0.7815209605262111	0.8359687632503403	0.8498349829218226	0.8732298607991943	0.7860630263742623	0.7610478655442103	0.8257717716030756	0.7510240692079506	0.8168168257927881	0.764740373996692	0.7473662093417771	0.7232123574838389	0.7784229949306603	0.849376763493334	0.7384755281279574	0.872629004925174	0.847377867519284	0.7708327109563785	0.7012955387666937	0.8034359261376741	0.8099183054642022	0.7334975707908981	0.6885823181190672
w3pp	0.7424677606281963	0.0658165082663936	0.05541366450546983	0.04401041910110972	0.0	0.07679018096084364	0.0832457626138341	0.09152135601769826	0.17634350201208962	0.19409664673476348	0.17599714221862606	0.2183920230085705	0.17757991166748957	0.19728612256437164	0.20283643712405083	0.25384750034085435	0.23611316875844587	0.23385026462820566	0.21129492742854222	0.2079779513034755	0.13155749645798911	0.1514515961746032	0.15384122105571427	0.14050335253818388	0.10781549175939685	0.12276017314186724	0.12559003974313002	0.10448750479083416	0.12273294665183554	0.1040049824724378	0.0867045664222261	0.1031842781126764	0.07325012475539106	0.08604275743039277	0.7327152184578414	0.7760105256941536	0.7118485304933279	0.72357134707912	0.7066751359533842	0.7273597643062097	0.7302082404443816	0.7211774807906465	0.7331840133178428	0.7336916820235786	0.7858294117144724	0.7299881809937736	0.8262584529428446	0.7844275467693403	0.7783310997916358	0.7299586747338705	0.7674729393043996	0.8129562421579578	0.7922732212623759	0.7772209942621298	0.7486185840571613	0.735663604050472	0.7516122728922903	0.819157539322809	0.8254812704297703	0.8696772271712307	0.8485423040434974	0.8736525554826122	0.8716231264307124	0.9276758347285625	0.8194946062653983	0.8322480797833051	0.8087088195653418	0.7519623693479232	0.7997719342746161	0.8542197369987453	0.8680859566702276	0.8914808345475993	0.8043140001226672	0.7792988392926153	0.8440227453514806	0.7692750429563555	0.8350677995411931	0.7829913477450972	0.7656171830901821	0.7414633312322438	0.7966739686790653	0.867627737241739	0.7567265018763623	0.890879978673579	0.865628841267689	0.7890836847047835	0.7195465125150987	0.8216868998860791	0.8281692792126072	0.7517485445393031	0.7068332918674722
s21pp	0.7722404244791448	0.09558917211734214	0.08518632835641837	0.07378308295205827	0.07679018096084364	0.0	0.11301842646478263	0.1212940198686468	0.20611616586303816	0.22386931058571202	0.2057698060695746	0.24816468685951903	0.2073525755184381	0.22705878641532018	0.23260910097499937	0.2836201641918029	0.2658858326093944	0.2636229284791542	0.24106759127949076	0.23775061515442403	0.16133016030893765	0.18122426002555175	0.1836138849066628	0.17027601638913242	0.1375881556103454	0.15253283699281578	0.15536270359407856	0.1342601686417827	0.1525056105027841	0.13377764632338635	0.11647723027317465	0.13295694196362495	0.10302278860633961	0.11581542128134131	0.7624878823087898	0.8057831895451021	0.7416211943442763	0.7533440109300684	0.7364477998043326	0.7571324281571582	0.75998090429533	0.7509501446415949	0.7629566771687912	0.763464345874527	0.8156020755654209	0.759760844844722	0.8560311167937931	0.8142002106202888	0.8081037636425843	0.759731338584819	0.7972456031553481	0.8427289060089063	0.8220458851133243	0.8069936581130781	0.7783912479081097	0.7654362679014205	0.7813849367432387	0.8489302031737574	0.8552539342807187	0.8994498910221793	0.8783149678944457	0.9034252193335607	0.9013957902816608	0.957448498579511	0.8492672701163468	0.8620207436342535	0.8384814834162903	0.7817350331988715	0.8295445981255646	0.8839924008496938	0.897858620521176	0.9212534983985478	0.8340866639736157	0.8090715031435638	0.873795409202429	0.7990477068073041	0.8648404633921416	0.8127640115960455	0.7953898469411306	0.7712359950831924	0.8264466325300137	0.8974004010926875	0.7864991657273108	0.9206526425245275	0.8954015051186375	0.818856348555732	0.7493191763660472	0.8514595637370276	0.8579419430635556	0.7815212083902515	0.7366059557184207
w32pp	0.7327430266454684	0.05609177428366577	0.06647778870502492	0.0649947888654291	0.0832457626138341	0.11301842646478263	0.0	0.04073888572637596	0.12883359028651298	0.14658673500918687	0.12848723049304941	0.17088211128299388	0.13006999994191293	0.14977621083879503	0.15532652539847422	0.20633758861527776	0.18860325703286926	0.18634035290262904	0.1637850157029656	0.16046803957789887	0.08404758473241247	0.10394168444902656	0.10633130933013762	0.09299344081260726	0.06030558003382022	0.0752502614162906	0.07808012801755339	0.05697759306525753	0.07522303492625892	0.07681008638540252	0.05950967033519082	0.07598938202564112	0.04605522866835578	0.07631802344766495	0.7229904844751135	0.7662857917114257	0.7021237965106	0.7138466130963921	0.6969504019706563	0.7176350303234819	0.7204835064616537	0.7114527468079186	0.7234592793351149	0.7239669480408507	0.7761046777317445	0.7202634470110456	0.8165337189601167	0.7747028127866125	0.768606365808908	0.7202339407511427	0.7577482053216718	0.8032315081752299	0.782548487279648	0.7674962602794018	0.7388938500744333	0.7259388700677442	0.7418875389095624	0.8094328053400811	0.8157565364470424	0.859952493188503	0.8388175700607694	0.8639278214998843	0.8618983924479845	0.9179511007458346	0.8097698722826705	0.8225233458005772	0.7989840855826139	0.7422376353651952	0.7900472002918882	0.8444950030160174	0.8583612226874997	0.8817561005648714	0.7945892661399394	0.7695741053098875	0.8342980113687527	0.7595503089736277	0.8253430655584653	0.7732666137623692	0.7558924491074542	0.7317385972495161	0.7869492346963374	0.8579030032590111	0.7470017678936345	0.8811552446908512	0.8559041072849611	0.7793589507220556	0.7098217785323708	0.8119621659033512	0.8184445452298793	0.7420238105565752	0.6971085578847444
w1pp	0.7410186200493326	0.06436736768752993	0.07475338210888909	0.07327038226929326	0.09152135601769826	0.1212940198686468	0.04073888572637596	0.0	0.13710918369037714	0.15486232841305103	0.13676282389691358	0.17915770468685804	0.1383455933457771	0.1580518042426592	0.16360211880233838	0.21461318201914192	0.19687885043673342	0.1946159463064932	0.17206060910682974	0.16874363298176304	0.09232317813627663	0.11221727785289072	0.11460690273400179	0.10126903421647142	0.06858117343768438	0.08352585482015476	0.08635572142141754	0.06525318646912169	0.08349862833012309	0.08508567978926668	0.06778526373905498	0.08426497542950528	0.05433082207221994	0.08459361685152911	0.7312660778789777	0.7745613851152899	0.7103993899144642	0.7221222065002563	0.7052259953745205	0.725910623727346	0.7287590998655179	0.7197283402117828	0.7317348727389791	0.7322425414447149	0.7843802711356087	0.7285390404149099	0.8248093123639809	0.7829784061904767	0.7768819592127721	0.7285095341550069	0.7660237987255359	0.8115071015790941	0.7908240806835122	0.7757718536832661	0.7471694434782976	0.7342144634716083	0.7501631323134266	0.8177083987439453	0.8240321298509066	0.868228086592367	0.8470931634646337	0.8722034149037485	0.8701739858518487	0.9262266941496988	0.8180454656865346	0.8307989392044414	0.8072596789864781	0.7505132287690595	0.7983227936957524	0.8527705964198816	0.8666368160913639	0.8900316939687356	0.8028648595438035	0.7778496987137516	0.8425736047726169	0.7678259023774918	0.8336186589623295	0.7815422071662335	0.7641680425113184	0.7400141906533801	0.7952248281002016	0.8661785966628753	0.7552773612974986	0.8894308380947153	0.8641797006888253	0.7876345441259198	0.718097371936235	0.8202377593072154	0.8267201386337435	0.7502994039604394	0.7053841512886085
s26pp	0.825840766043724	0.1491895136819213	0.15957552810328046	0.15809252826368464	0.17634350201208962	0.20611616586303816	0.12883359028651298	0.13710918369037714	0.0	0.08708785440890113	0.06898834989276367	0.12234821682718493	0.08153610548610399	0.10124231638298609	0.10679263094266526	0.15780369415946877	0.14006936257706026	0.13780645844682005	0.11525112124715665	0.11193414512208992	0.0698088943708696	0.08970299408748368	0.09209261896859475	0.1407529970194062	0.1399292186895132	0.15487390007198357	0.15770376667324634	0.1366012317209505	0.1548466735819519	0.16990782578365804	0.15260740973344633	0.16908712142389665	0.13915296806661132	0.1694157628459205	0.8160882238733691	0.8593835311096814	0.7952215359088556	0.8069443524946477	0.7900481413689119	0.8107327697217375	0.8135812458599093	0.8045504862061742	0.8165570187333705	0.8170646874391063	0.8692024171300001	0.8133611864093013	0.9096314583583723	0.8678005521848681	0.8617041052071636	0.8133316801493983	0.8508459447199274	0.8963292475734855	0.8756462266779036	0.8605939996776575	0.831991589472689	0.8190366094659998	0.834985278307818	0.9025305447383367	0.908854275845298	0.9530502325867585	0.9319153094590251	0.95702556089814	0.9549961318462401	1.0110488401440902	0.902867611680926	0.9156210851988328	0.8920818249808695	0.8353353747634509	0.8831449396901438	0.937592742414273	0.9514589620857553	0.974853839963127	0.8876870055381949	0.8626718447081431	0.9273957507670083	0.8526480483718832	0.9184408049567209	0.8663643531606249	0.8489901885057098	0.8248363366477716	0.880046974094593	0.9510007426572668	0.84009950729189	0.9742529840891068	0.9490018466832167	0.8724566901203112	0.8029195179306264	0.9050599053016068	0.9115422846281349	0.8351215499548308	0.790206297283
s30pp	0.8435939107663978	0.16694265840459516	0.17732867282595433	0.1758456729863585	0.19409664673476348	0.22386931058571202	0.14658673500918687	0.15486232841305103	0.08708785440890113	0.0	0.059473457920607695	0.1401013615498588	0.09928925020877788	0.11899546110565998	0.12454577566533914	0.17555683888214266	0.15782250729973415	0.15555960316949394	0.13300426596983053	0.1296872898447638	0.08756203909354347	0.10745613881015756	0.10984576369126864	0.15850614174208008	0.15768236341218705	0.17262704479465746	0.17545691139592023	0.15435437644362437	0.17259981830462576	0.1876609705063319	0.1703605544561202	0.1868402661465705	0.15690611278928518	0.18716890756859436	0.8338413685960429	0.8771366758323551	0.8129746806315293	0.8246974972173214	0.8078012860915856	0.8284859144444112	0.8313343905825831	0.822303630928848	0.8343101634560443	0.8348178321617801	0.8869555618526739	0.8311143311319751	0.9273846030810461	0.8855536969075418	0.8794572499298373	0.831084824872072	0.8685990894426011	0.9140823922961593	0.8933993714005773	0.8783471444003312	0.8497447341953628	0.8367897541886735	0.8527384230304917	0.9202836894610105	0.9266074205679717	0.9708033773094322	0.9496684541816989	0.9747787056208137	0.9727492765689139	1.028801984866764	0.9206207564035997	0.9333742299215065	0.9098349697035433	0.8530885194861246	0.9008980844128176	0.9553458871369468	0.9692121068084291	0.9926069846858008	0.9054401502608687	0.8804249894308168	0.9451488954896821	0.870401193094557	0.9361939496793946	0.8841174978832986	0.8667433332283836	0.8425894813704453	0.8978001188172667	0.9687538873799405	0.8578526520145637	0.9920061288117805	0.9667549914058905	0.890209834842985	0.8206726626533002	0.9228130500242806	0.9292954293508087	0.8528746946775045	0.8079594420056737
