	w1pp	w32pp	w14pp	w26pp	w8pp	w11pp	w20pp	w15pp	w4pp	31428	f14ppB	w9pp	w16pp	31300	S1Hp	31160	f24pp	w19pp	f7pp	w3pp	w17pp	w2pp	f16ppA	w7pp
w1pp	0.0	0.12489825721660303	0.0983754251768531	0.13148901291462467	0.15751252274661337	0.1152655223059412	0.1092472550003831	0.1430742906418145	0.19914763163400026	0.2806482358781902	0.1651002963731781	0.18188109906269395	0.14959385721579624	1.058618800446749	0.9794442493739441	1.0169756397734746	0.22528788903153585	0.19586117947149412	0.14963205556568587	0.16100358059860387	0.19113263084403592	0.1479345309692799	0.09086565545241981	0.14326291383784195
w32pp	0.12489825721660303	0.0	0.1264921374677018	0.18479816014162792	0.21082166997361662	0.16857466953294445	0.16255640222738635	0.1963834378688178	0.2524567788610035	0.3339573831051935	0.21840944360018139	0.2351902462896972	0.20290300444279952	1.1119279476737522	1.0327533966009474	1.070284787000478	0.2785970362585391	0.24917032669849737	0.20294120279268912	0.21431272782560712	0.24444177807103917	0.20124367819628314	0.14417480267942306	0.1965720610648452
w14pp	0.0983754251768531	0.1264921374677018	0.0	0.158275328101878	0.18429883793386673	0.14205183749319455	0.13603357018763645	0.16986060582906787	0.22593394682125362	0.3074345510654436	0.19188661156043146	0.20866741424994728	0.1763801724030496	1.0854051156340023	1.0062305645611975	1.043761954960728	0.2520742042187892	0.22264749465874745	0.1764183707529392	0.1877898957858572	0.21791894603128925	0.17472084615653322	0.11765197063967317	0.1700492290250953
w26pp	0.13148901291462467	0.18479816014162792	0.158275328101878	0.0	0.0726278785266003	0.12303543567650954	0.11701716837095144	0.15084420401238285	0.2069175450045686	0.2884181492487586	0.17287020974374645	0.1896510124332623	0.15736377058636458	1.0663887138173171	0.9872141627445125	1.0247455531440428	0.23305780240210416	0.20363109284206243	0.15740196893625422	0.1687734939691722	0.19890254421460424	0.15570444433984823	0.11853812767677231	0.17093538606219444
w8pp	0.15751252274661337	0.21082166997361662	0.18429883793386673	0.0726278785266003	0.0	0.14905894550849824	0.14304067820294014	0.17686771384437158	0.2329410548365573	0.3144416590807473	0.19889371957573518	0.21567452226525102	0.1833872804183533	1.092412223649306	1.013237672576501	1.0507690629760316	0.2590813122340929	0.22965460267405116	0.18342547876824294	0.19479700380116094	0.22492605404659297	0.18172795417183696	0.144561637508761	0.19695889589418314
w11pp	0.1152655223059412	0.16857466953294445	0.14205183749319455	0.12303543567650954	0.14905894550849824	0.0	0.03693316206049573	0.0824497207070042	0.13852306169918993	0.2200236659433799	0.11603511959792402	0.13281592228743985	0.10052868044054215	1.0095536236714948	0.93037907259869	0.9679104629982205	0.17622271225628175	0.14679600269624	0.10056687879043177	0.11193840382334977	0.1420674540687818	0.09886935419402579	0.10231463706808884	0.154711895453511
w20pp	0.1092472550003831	0.16255640222738635	0.13603357018763645	0.11701716837095144	0.14304067820294014	0.03693316206049573	0.0	0.0764314534014461	0.13250479439363183	0.2140053986378218	0.11001685229236592	0.12679765498188175	0.09451041313498405	1.0035353563659366	0.9243608052931319	0.9618921956926624	0.17020444495072365	0.14077773539068192	0.09454861148487367	0.10592013651779167	0.13604918676322372	0.09285108688846769	0.09629636976253074	0.1486936281479529
w15pp	0.1430742906418145	0.1963834378688178	0.16986060582906787	0.15084420401238285	0.17686771384437158	0.0824497207070042	0.0764314534014461	0.0	0.12583441585343158	0.20733502009762156	0.14384388793379735	0.1606246906233132	0.12833744877641548	1.037362392007368	0.9581878409345633	0.9957192313340938	0.2040314805921551	0.17460477103211333	0.12837564712630511	0.1397471721592231	0.16987622240465514	0.12667812252989913	0.13012340540396217	0.1825206637893843
w4pp	0.19914763163400026	0.2524567788610035	0.22593394682125362	0.2069175450045686	0.2329410548365573	0.13852306169918993	0.13250479439363183	0.12583441585343158	0.0	0.24217144637515575	0.19991722892598307	0.21669803161549892	0.1844107897686012	1.0934357329995539	1.014261181926749	1.0517925723262795	0.2601048215843408	0.23067811202429905	0.18444898811849084	0.19582051315140883	0.22594956339684086	0.18275146352208485	0.18619674639614792	0.23859400478157006
31428	0.2806482358781902	0.3339573831051935	0.3074345510654436	0.2884181492487586	0.3144416590807473	0.2200236659433799	0.2140053986378218	0.20733502009762156	0.24217144637515575	0.0	0.28141783317017305	0.29819863585968887	0.2659113940127912	1.1749363372437438	1.095761786170939	1.1332931765704695	0.3416054258285308	0.31217871626848903	0.2659495923626808	0.27732111739559884	0.30745016764103084	0.26425206776627486	0.2676973506403379	0.32009460902576004
f14ppB	0.1651002963731781	0.21840944360018139	0.19188661156043146	0.17287020974374645	0.19889371957573518	0.11603511959792402	0.11001685229236592	0.14384388793379735	0.19991722892598307	0.28141783317017305	0.0	0.09951893744637308	0.09850343042757001	1.0075283736585225	0.9283538225857177	0.9658852129852482	0.19780933652624166	0.1683826269661999	0.12215350306039167	0.13352502809330968	0.1636540783387417	0.1204559784639857	0.15214941113532576	0.2045466695207479
w9pp	0.18188109906269395	0.2351902462896972	0.20866741424994728	0.1896510124332623	0.21567452226525102	0.13281592228743985	0.12679765498188175	0.1606246906233132	0.21669803161549892	0.29819863585968887	0.09951893744637308	0.0	0.11528423311708584	1.0243091763480383	0.9451346252752336	0.9826660156747641	0.21459013921575748	0.18516342965571575	0.1389343057499075	0.1503058307828255	0.18043488102825755	0.13723678115350152	0.16893021382484158	0.22132747221026372
w16pp	0.14959385721579624	0.20290300444279952	0.1763801724030496	0.15736377058636458	0.1833872804183533	0.10052868044054215	0.09451041313498405	0.12833744877641548	0.1844107897686012	0.2659113940127912	0.09850343042757001	0.11528423311708584	0.0	0.9723258929397315	0.8931513418669267	0.9306827322664571	0.1823028973688598	0.15287618780881804	0.1066470639030098	0.1180185889359278	0.14814763918135984	0.10494953930660383	0.1366429719779439	0.18904023036336604
31300	1.058618800446749	1.1119279476737522	1.0854051156340023	1.0663887138173171	1.092412223649306	1.0095536236714948	1.0035353563659366	1.037362392007368	1.0934357329995539	1.1749363372437438	1.0075283736585225	1.0243091763480383	0.9723258929397315	0.0	0.5692556284715076	0.6067870188710379	1.0913278405998124	1.0619011310397706	1.0156720071339624	1.0270435321668803	1.0571725824123124	1.0139744825375565	1.0456679152088966	1.0980651735943185
S1Hp	0.9794442493739441	1.0327533966009474	1.0062305645611975	0.9872141627445125	1.013237672576501	0.93037907259869	0.9243608052931319	0.9581878409345633	1.014261181926749	1.095761786170939	0.9283538225857177	0.9451346252752336	0.8931513418669267	0.5692556284715076	0.0	0.42350444870605214	1.0121532895270076	0.9827265799669658	0.9364974560611576	0.9478689810940756	0.9779980313395076	0.9347999314647516	0.9664933641360917	1.0188906225215137
31160	1.0169756397734746	1.070284787000478	1.043761954960728	1.0247455531440428	1.0507690629760316	0.9679104629982205	0.9618921956926624	0.9957192313340938	1.0517925723262795	1.1332931765704695	0.9658852129852482	0.9826660156747641	0.9306827322664571	0.6067870188710379	0.42350444870605214	0.0	1.049684679926538	1.0202579703664962	0.9740288464606881	0.985400371493606	1.015529421739038	0.9723313218642821	1.0040247545356222	1.0564220129210442
f24pp	0.22528788903153585	0.2785970362585391	0.2520742042187892	0.23305780240210416	0.2590813122340929	0.17622271225628175	0.17020444495072365	0.2040314805921551	0.2601048215843408	0.3416054258285308	0.19780933652624166	0.21459013921575748	0.1823028973688598	1.0913278405998124	1.0121532895270076	1.049684679926538	0.0	0.07085619402357085	0.14093166242572364	0.15230318745864163	0.18243223770407369	0.14788674011114433	0.21233700379368348	0.2647342621791056
w19pp	0.19586117947149412	0.24917032669849737	0.22264749465874745	0.20363109284206243	0.22965460267405116	0.14679600269624	0.14077773539068192	0.17460477103211333	0.23067811202429905	0.31217871626848903	0.1683826269661999	0.18516342965571575	0.15287618780881804	1.0619011310397706	0.9827265799669658	1.0202579703664962	0.07085619402357085	0.0	0.11150495286568189	0.12287647789859987	0.15300552814403193	0.1184600305511026	0.18291029423364175	0.2353075526190639
f7pp	0.14963205556568587	0.20294120279268912	0.1764183707529392	0.15740196893625422	0.18342547876824294	0.10056687879043177	0.09454861148487367	0.12837564712630511	0.18444898811849084	0.2659495923626808	0.12215350306039167	0.1389343057499075	0.1066470639030098	1.0156720071339624	0.9364974560611576	0.9740288464606881	0.14093166242572364	0.11150495286568189	0.0	0.0631391132149706	0.09326816346040263	0.07223090664529436	0.1366811703278335	0.18907842871325564
w3pp	0.16100358059860387	0.21431272782560712	0.1877898957858572	0.1687734939691722	0.19479700380116094	0.11193840382334977	0.10592013651779167	0.1397471721592231	0.19582051315140883	0.27732111739559884	0.13352502809330968	0.1503058307828255	0.1180185889359278	1.0270435321668803	0.9478689810940756	0.985400371493606	0.15230318745864163	0.12287647789859987	0.0631391132149706	0.0	0.06446519726683109	0.08360243167821235	0.1480526953607515	0.20044995374617364
w17pp	0.19113263084403592	0.24444177807103917	0.21791894603128925	0.19890254421460424	0.22492605404659297	0.1420674540687818	0.13604918676322372	0.16987622240465514	0.22594956339684086	0.30745016764103084	0.1636540783387417	0.18043488102825755	0.14814763918135984	1.0571725824123124	0.9779980313395076	1.015529421739038	0.18243223770407369	0.15300552814403193	0.09326816346040263	0.06446519726683109	0.0	0.1137314819236444	0.17818174560618355	0.2305790039916057
