	f9pp	w17pp	w9pp	s17pp	f23ppB	f12ppB	s27pp	S9H1	S27H1	f17ppB	w31pp	F32H1	S22Hp	S3Hp	f17ppA	s10pp	s8pp	w8pp	F6H1	w21pp	S18H1	f22ppB	w27pp	f19pp	f29pp	w16pp	f16ppB	f25pp	f16ppA	s25pp	f2pp	F7H1	w25pp	w24pp	s24pp	w19pp	f11pp	f14ppA	S20H1	w28pp	f28pp	f30pp	w3pp	S30H1	w30pp	s3pp	S19H1	F23HpA	f3pp	f20ppB	w15pp	w22pp	f22ppA	w14pp	s14pp	s22pp	w1pp	f1pp	s28pp	w10pp	w11pp	w18pp	f13pp	S13Hp	w6pp	w20pp	w12pp	w13pp	s12pp	f20ppA	s32pp	w32pp	f6ppB	f6ppA	f26pp	s11pp	w26pp	s30pp	f10pp	f23ppA	w2pp	s2pp	S2Hp	F14H1A	s31pp	f14ppB	s29pp	w29pp	w7pp	s7pp	f4pp	f15pp	f7pp	w4pp	f8pp	S4Hp	s26pp	F8H1	s23pp	w23pp	f32pp	f24pp	f12ppA	f18pp	f31pp	f21pp
f9pp	0.0	0.024043242723130326	0.02684081507184609	0.06519676964664524	0.09810883894596392	0.052399353025398276	0.07601041890088137	0.24543017271395037	0.24366274718474515	0.11388936201101695	0.10053121860972575	0.2674663404547062	0.24671627937946397	0.26559371012122535	0.10380440758144878	0.15762202696112132	0.2492845887027529	0.11080148487374772	0.23593552861867925	0.10721113549048973	0.25697010771115425	0.06719533331849745	0.08105869050334472	0.07281737791179321	0.10057469150220405	0.11702617332026183	0.09901466359055373	0.0983895233286797	0.1146852294875556	0.10248564955425979	0.11016936874613195	0.2762993784903984	0.09390169654459052	0.14179910779270594	0.12527432540829087	0.11599303897484052	0.11788522084066341	0.10502875264026564	0.2901045536313286	0.10566512656104823	0.1060708849806622	0.10072280825711795	0.11273427881563737	0.28417021829377276	0.20375072036484476	0.2195298647695157	0.29455667214533165	0.2723374117842235	0.15335887746420215	0.13814643810334165	0.10418676382868201	0.15862358208576924	0.11203940549717739	0.14981572257655112	0.21002765376670718	0.17946689016006384	0.12575565029388866	0.10998440054999026	0.12496287328374141	0.0874359984384196	0.08575505536815328	0.07927478492915332	0.11092929233557322	0.28736821203877827	0.10687834053656804	0.09509875753810543	0.09958000839603542	0.10365645320541259	0.18636817325383925	0.12176414817578747	0.25486791105383344	0.1637950518997167	0.1015703832982508	0.09934857635698328	0.10075263597051919	0.1971428007625953	0.11213641947599899	0.1001133390546012	0.07519927536435936	0.09077330153582464	0.11463974272912532	0.11519596678673397	0.2925237495623657	0.3032913933117558	0.17040816647374712	0.13080010970588815	0.14411319203352232	0.10454824713029176	0.17826365531232724	0.1813302740201762	0.06173734447137819	0.05879164631380086	0.06267858101530441	0.11890507702384885	0.08012696823394075	0.24698674446275154	0.19511573182345573	0.2450529272270675	0.12929381872834736	0.09372142142232712	0.07228192372409889	0.0555165799731874	0.06153003615036252	0.06108789663501403	0.056130839616018946	0.047449429144328995
w17pp	0.024043242723130326	0.0	0.017760928744237812	0.056116883319036956	0.11671556845696426	0.0710060825363986	0.09461714841188168	0.2640369022249507	0.26226947669574546	0.13249609152201727	0.11913794812072608	0.2860730699657065	0.2653230088904643	0.28420043963222563	0.12241113709244911	0.17622875647212163	0.2678913182137532	0.12940821438474803	0.25454225812967957	0.12581786500149006	0.27557683722215454	0.08580206282949777	0.09966542001434503	0.09142410742279355	0.11918142101320438	0.13563290283126217	0.11762139310155406	0.11699625283968003	0.13329195899855595	0.12109237906526012	0.12877609825713227	0.2949061080013987	0.11250842605559086	0.16040583730370628	0.1438810549192912	0.13459976848584085	0.13649195035166373	0.12363548215126596	0.30871128314232893	0.12427185607204856	0.12467761449166252	0.11932953776811828	0.1313410083266377	0.3027769478047731	0.2223574498758451	0.23813659428051603	0.31316340165633194	0.29094414129522383	0.17196560697520247	0.15675316761434196	0.12279349333968234	0.17723031159676955	0.13064613500817773	0.16842245208755147	0.22863438327770752	0.19807361967106418	0.14436237980488897	0.1285911300609906	0.14356960279474174	0.10604272794941993	0.10436178487915362	0.09788151444015367	0.12953602184657353	0.30597494154977856	0.12548507004756837	0.11370548704910574	0.11818673790703575	0.12226318271641291	0.2049749027648396	0.1403708776867878	0.2734746405648338	0.182401781410717	0.12017711280925113	0.11795530586798361	0.11935936548151951	0.2157495302735956	0.13074314898699932	0.11872006856560152	0.09380600487535967	0.10938003104682498	0.13324647224012565	0.13380269629773428	0.31113047907336605	0.32189812282275615	0.18901489598474747	0.14940683921688847	0.16271992154452264	0.12315497664129209	0.19687038482332758	0.19993700353117655	0.08034407398237853	0.07739837582480119	0.08128531052630472	0.13751180653484918	0.09873369774494109	0.2655934739737519	0.21372246133445605	0.26365965673806785	0.14790054823934767	0.11232815093332746	0.0908886532350992	0.07412330948418773	0.08013676566136285	0.07969462614601436	0.07473756912701927	0.06605615865532932
w9pp	0.02684081507184609	0.017760928744237812	0.0	0.04597483661213734	0.11951314080568001	0.07380365488511437	0.09741472076059746	0.2668344745736665	0.2650670490444612	0.13529366387073305	0.12193552046944184	0.2888706423144223	0.26812058123918003	0.28699801198094144	0.12520870944116486	0.1790263288208374	0.27068889056246903	0.1322057867334638	0.25733983047839537	0.1286154373502058	0.27837440957087034	0.08859963517821354	0.1024629923630608	0.0942216797715093	0.12197899336192014	0.13843047517997792	0.12041896545026982	0.11979382518839579	0.1360895313472717	0.12388995141397588	0.13157367060584804	0.29770368035011446	0.11530599840430661	0.16320340965242203	0.14667862726800696	0.13739734083455662	0.1392895227003795	0.1264330544999817	0.3115088554910447	0.12706942842076432	0.12747518684037829	0.12212711011683404	0.13413858067535345	0.30557452015348885	0.22515502222456085	0.24093416662923178	0.31596097400504775	0.2937417136439396	0.17476317932391824	0.15955073996305774	0.12559106568839812	0.18002788394548533	0.13344370735689348	0.17122002443626722	0.23143195562642327	0.20087119201977993	0.14715995215360475	0.13138870240970635	0.14636717514345748	0.10884030029813568	0.10715935722786937	0.10067908678886942	0.1323335941952893	0.30877251389849436	0.12828264239628412	0.11650305939782152	0.12098431025575151	0.12506075506512868	0.20777247511355534	0.14316845003550355	0.27627221291354953	0.18519935375943278	0.12297468515796689	0.12075287821669937	0.12215693783023528	0.2185471026223114	0.1335407213357151	0.12151764091431728	0.09660357722407545	0.11217760339554073	0.1360440445888414	0.13660026864645006	0.3139280514220818	0.3246956951714719	0.19181246833346322	0.15220441156560424	0.16551749389323842	0.12595254899000785	0.19966795717204333	0.2027345758798923	0.08314164633109428	0.08019594817351695	0.0840828828750205	0.14030937888356493	0.10153127009365684	0.26839104632246763	0.21652003368317183	0.2664572290867836	0.15069812058806345	0.11512572328204321	0.09368622558381498	0.07692088183290349	0.0829343380100786	0.08249219849473012	0.07753514147573504	0.06885373100404509
s17pp	0.06519676964664524	0.056116883319036956	0.04597483661213734	0.0	0.15786909538047916	0.11215960945991352	0.1357706753353966	0.3051904291484656	0.3034230036192604	0.17364961844553217	0.160291475044241	0.3272265968892214	0.3064765358139792	0.32535396655574056	0.16356466401596403	0.21738228339563653	0.30904484513726815	0.17056174130826296	0.2956957850531945	0.16697139192500499	0.31673036414566946	0.1269555897530127	0.14081894693785996	0.13257763434630845	0.1603349479367193	0.17678642975477707	0.158774920025069	0.15814977976319494	0.17444548592207085	0.16224590598877503	0.1699296251806472	0.33605963492491364	0.15366195297910576	0.20155936422722118	0.1850345818428061	0.17575329540935575	0.17764547727517865	0.1647890090747809	0.34986481006584386	0.16542538299556347	0.16583114141517744	0.1604830646916332	0.17249453525015263	0.34393047472828797	0.26351097679936	0.27929012120403096	0.35431692857984687	0.33209766821873876	0.2131191338987174	0.19790669453785686	0.16394702026319724	0.21838383852028448	0.17179966193169263	0.2095759790110664	0.2697879102012224	0.23922714659457908	0.1855159067284039	0.1697446569845055	0.18472312971825666	0.14719625487293483	0.14551531180266852	0.13903504136366857	0.17068954877008846	0.3471284684732935	0.1666385969710833	0.15485901397262067	0.15934026483055067	0.16341670963992783	0.2461284296883545	0.18152440461030273	0.3146281674883487	0.22355530833423193	0.16133063973276604	0.1591088327914985	0.1605128924050344	0.25690305719711054	0.17189667591051422	0.15987359548911645	0.1349595317988746	0.15053355797033988	0.17439999916364057	0.1749562232212492	0.352284005996881	0.3630516497462711	0.23016842290826237	0.1905603661404034	0.20387344846803757	0.164308503564807	0.23802391174684248	0.24109053045469145	0.12149760090589343	0.1185519027483161	0.12243883744981965	0.1786653334583641	0.139887224668456	0.3067470008972668	0.254875988257971	0.3048131836615827	0.1890540751628626	0.15348167785684236	0.13204218015861413	0.11527683640770264	0.12129029258487775	0.12084815306952927	0.11589109605053419	0.10720968557884424
f23ppB	0.09810883894596392	0.11671556845696426	0.11951314080568001	0.15786909538047916	0.0	0.08845796874874742	0.11206903462423051	0.2814887884372995	0.2797213629080943	0.14994797773436608	0.1365898343330749	0.3035249561780553	0.2827748951028131	0.30165232584457446	0.13986302330479794	0.19368064268447044	0.28534320442610206	0.14686010059709687	0.2719941443420284	0.1432697512138389	0.29302872343450337	0.1032539490418466	0.11711730622669386	0.10887599363514236	0.1366333072255532	0.15308478904361097	0.1350732793139029	0.13444813905202885	0.15074384521090475	0.13854426527760894	0.1462279844694811	0.31235799421374755	0.12996031226793966	0.17785772351605508	0.16133294113164	0.15205165469818965	0.15394383656401256	0.1410873683636148	0.32616316935467776	0.14172374228439738	0.14212950070401134	0.1367814239804671	0.14879289453898653	0.3202288340171219	0.2398093360881939	0.25558848049286487	0.3306152878686808	0.30839602750757267	0.1894174931875513	0.17420505382669077	0.14024537955203115	0.19468219780911838	0.14809802122052654	0.1858743382999003	0.24608626949005633	0.215525505883413	0.1618142660172378	0.1460430162733394	0.16102148900709057	0.12349461416176874	0.12181367109150243	0.11533340065250247	0.14698790805892237	0.3234268277621274	0.1429369562599172	0.13115737326145457	0.13563862411938457	0.13971506892876173	0.2224267889771884	0.15782276389913663	0.2909265267771826	0.19985366762306583	0.13762899902159995	0.13540719208033242	0.13681125169386832	0.23320141648594445	0.14819503519934812	0.13617195477795035	0.1112578910877085	0.12683191725917378	0.15069835845247448	0.1512545825100831	0.3285823652857149	0.339350009035105	0.20646678219709627	0.1668587254292373	0.18017180775687147	0.1406068628536409	0.2143222710356764	0.21738888974352535	0.09779596019472733	0.09485026203715001	0.09873719673865355	0.154963692747198	0.1161855839572899	0.2830453601861007	0.23117434754680488	0.2811115429504166	0.1653524344516965	0.12978003714567626	0.10834053944744804	0.09157519569653655	0.09758865187371166	0.09714651235836318	0.09218945533936809	0.08350804486767814
f12ppB	0.052399353025398276	0.0710060825363986	0.07380365488511437	0.11215960945991352	0.08845796874874742	0.0	0.0489296311887989	0.21834938500186793	0.2165819594726627	0.0868085742989345	0.0734504308976433	0.24038555274262371	0.21963549166738153	0.23851292240914287	0.07672361986936634	0.13054123924903885	0.22220380099067047	0.08372069716166528	0.2088547409065968	0.08013034777840729	0.22988931999907178	0.04011454560641499	0.05397790279126225	0.04573659019971076	0.0734939037901216	0.08994538560817938	0.07193387587847129	0.07130873561659726	0.08760444177547316	0.07540486184217735	0.08308858103404951	0.24921859077831593	0.06682090883250807	0.11471832008062349	0.09819353769620842	0.08891225126275808	0.09080443312858097	0.07794796492818319	0.26302376591924614	0.07858433884896579	0.07899009726857975	0.0736420205450355	0.08565349110355493	0.2570894305816903	0.17666993265276232	0.19244907705743325	0.26747588443324916	0.24525662407214105	0.1262780897521197	0.1110656503912592	0.07710597611659957	0.1315427943736868	0.08495861778509495	0.1227349348644687	0.18294686605462473	0.1523861024479814	0.09867486258180622	0.08290361283790781	0.09788208557165896	0.06035521072633714	0.05867426765607083	0.052193997217070874	0.08384850462349078	0.26028742432669577	0.0797975528244856	0.06801796982602297	0.07249922068395298	0.07657566549333014	0.1592873855417568	0.09468336046370503	0.22778712334175102	0.13671426418763422	0.07448959558616836	0.07226778864490084	0.07367184825843674	0.17006201305051286	0.08505563176391655	0.07303255134251875	0.048118487652276894	0.06369251382374219	0.08755895501704287	0.08811517907465152	0.26544296185028327	0.27621060559967336	0.14332737876166468	0.10371932199380571	0.11703240432143988	0.07746745941820932	0.1511828676002448	0.15424948630809376	0.034656556759295735	0.031710858601718406	0.03559779330322194	0.09182428931176641	0.0530461805218583	0.2199059567506691	0.1680349441113733	0.21797213951498506	0.10221303101626492	0.06664063371024467	0.045201136012016425	0.028435792261104945	0.03444924843828006	0.03400710892293158	0.02905005190393649	0.028085499848762366
s27pp	0.07601041890088137	0.09461714841188168	0.09741472076059746	0.1357706753353966	0.11206903462423051	0.0489296311887989	0.0	0.17780245699860225	0.17603503146939703	0.05019119571747364	0.03683305231618244	0.20376817416116286	0.18301811308592067	0.20189554382768204	0.04010624128790547	0.11452246456640024	0.20618502630803184	0.06770192247902665	0.1928359662239582	0.06411157309576868	0.21387054531643318	0.02409577092377637	0.03795912810862363	0.045937665305999215	0.07369497889641005	0.09014646071446783	0.07213495098475974	0.0715098107228857	0.08780551688176161	0.07560593694846579	0.08328965614033795	0.2494196658846044	0.06702198393879652	0.11491939518691194	0.09839461280249687	0.08911332636904652	0.09100550823486941	0.07814904003447164	0.2632248410255346	0.07878541395525424	0.0791911723748682	0.07384309565132395	0.08585456620984337	0.2572905056879788	0.1768710077590508	0.19265015216372172	0.26767695953953763	0.24545769917842952	0.12647916485840816	0.11126672549754764	0.07730705122288802	0.13174386947997524	0.08515969289138339	0.12293600997075714	0.1831479411609132	0.15258717755426987	0.09887593768809466	0.08310468794419626	0.09808316067794741	0.060556285832625595	0.058875342762359284	0.05239507232335932	0.08404957972977922	0.26048849943298424	0.07999862793077404	0.06821904493231142	0.07270029579024143	0.07677674059961859	0.15948846064804528	0.09488443556999347	0.2279881984480395	0.1369153392939227	0.0746906706924568	0.07246886375118929	0.07387292336472519	0.17026308815680133	0.08525670687020499	0.0732336264488072	0.04831956275856534	0.06389358893003064	0.08776003012333132	0.08831625418093997	0.26564403695657174	0.2764116807059618	0.14352845386795313	0.10392039710009415	0.11723347942772833	0.07766853452449776	0.15138394270653327	0.15445056141438224	0.046175019170432464	0.043229321012855135	0.04711625571435867	0.10334275172290314	0.06456464293299502	0.23142441916180584	0.17955340652251003	0.2294906019261218	0.11373149342740163	0.07815909612138139	0.056719598423153154	0.039954254672241674	0.049707433903003084	0.049265294387654604	0.04430823736865951	0.05169656572424545
S9H1	0.24543017271395037	0.2640369022249507	0.2668344745736665	0.3051904291484656	0.2814887884372995	0.21834938500186793	0.17780245699860225	0.0	0.30289846187158276	0.2196109495305427	0.2062528061292515	0.37318792797423195	0.3524378668989897	0.3713152976407511	0.20952599510097453	0.2839422183794693	0.3756047801211009	0.2371216762920957	0.3622557200370273	0.23353132690883774	0.38329029912950224	0.19351552473684544	0.20737888192169268	0.21535741911906825	0.2431147327094791	0.25956621452753686	0.24155470479782878	0.24092956453595477	0.25722527069483064	0.24502569076153485	0.252709409953407	0.41883941969767347	0.23644173775186555	0.284339148999981	0.2678143666155659	0.25853308018211557	0.2604252620479385	0.24756879384754069	0.4326445948386036	0.24820516776832327	0.24861092618793723	0.243262849464393	0.2552743200229124	0.4267102595010478	0.3462907615721198	0.3620699059767908	0.4370967133526067	0.4148774529914986	0.2958989186714772	0.2806864793106167	0.24672680503595706	0.3011636232930443	0.25457944670445243	0.2923557637838262	0.3525676949739822	0.32200693136733893	0.2682956915011637	0.2525244417572653	0.2675029144910165	0.22997603964569463	0.22829509657542832	0.22181482613642836	0.2534693335428483	0.4299082532460533	0.2494183817438431	0.23763879874538046	0.24212004960331046	0.24619649441268765	0.3289082144611143	0.26430418938306255	0.39740795226110853	0.3063350931069917	0.24411042450552584	0.24188861756425833	0.24329267717779424	0.33968284196987036	0.25467646068327404	0.24265338026187624	0.2177393165716344	0.23331334274309967	0.2571797839364004	0.25773600799400903	0.43506379076964075	0.44583143451903084	0.31294820768102216	0.2733401509131632	0.2866532332407974	0.2470882883375668	0.3208036965196023	0.32387031522745124	0.2155947729835015	0.21264907482592418	0.21653600952742771	0.27276250553597214	0.23398439674606408	0.40084417297487485	0.34897316033557907	0.39891035573919087	0.2831512472404707	0.24757884993445045	0.2261393522362222	0.2093740084853107	0.21912718771607212	0.21868504820072363	0.21372799118172855	0.22111631953731445
S27H1	0.24366274718474515	0.26226947669574546	0.2650670490444612	0.3034230036192604	0.2797213629080943	0.2165819594726627	0.17603503146939703	0.30289846187158276	0.0	0.21784352400133747	0.20448538060004628	0.37142050244502667	0.35067044136978454	0.3695478721115459	0.2077585695717693	0.2821747928502641	0.3738373545918957	0.2353542507628905	0.36048829450782205	0.23176390137963251	0.381522873600297	0.19174809920764022	0.20561145639248746	0.21358999358986303	0.24134730718027386	0.25779878899833164	0.23978727926862356	0.23916213900674954	0.2554578451656254	0.24325826523232963	0.2509419844242018	0.4170719941684682	0.23467431222266033	0.28257172347077575	0.2660469410863607	0.25676565465291035	0.25865783651873325	0.24580136831833546	0.43087716930939846	0.24643774223911805	0.246843500658732	0.24149542393518778	0.2535068944937072	0.4249428339718426	0.34452333604291463	0.3603024804475855	0.4353292878234014	0.4131100274622933	0.294131493142272	0.27891905378141146	0.24495937950675184	0.2993961977638391	0.2528120211752472	0.29058833825462094	0.35080026944477705	0.32023950583813365	0.2665282659719585	0.25075701622806007	0.2657354889618112	0.2282086141164894	0.2265276710462231	0.22004740060722314	0.25170190801364306	0.4281408277168481	0.24765095621463787	0.23587137321617524	0.24035262407410524	0.24442906888348243	0.3271407889319091	0.26253676385385727	0.3956405267319033	0.3045676675777865	0.2423429989763206	0.2401211920350531	0.241525251648589	0.33791541644066514	0.2529090351540688	0.24088595473267102	0.21597189104242917	0.23154591721389445	0.2554123584071951	0.2559685824648038	0.4332963652404356	0.4440640089898256	0.31118078215181694	0.271572725383958	0.28488580771159216	0.24532086280836157	0.3190362709903971	0.3221028896982461	0.21382734745429627	0.21088164929671896	0.2147685839982225	0.270995080006767	0.23221697121685886	0.3990767474456697	0.34720573480637384	0.3971429302099856	0.28138382171126547	0.24581142440524523	0.22437192670701697	0.20760658295610548	0.2173597621868669	0.2169176226715184	0.21196056565252333	0.21934889400810922
f17ppB	0.11388936201101695	0.13249609152201727	0.13529366387073305	0.17364961844553217	0.14994797773436608	0.0868085742989345	0.05019119571747364	0.2196109495305427	0.21784352400133747	0.0	0.05363335309928145	0.22056847494426185	0.19981841386901966	0.21869584461078106	0.056906542071004484	0.15240140767653584	0.24406396941816744	0.10558086558916224	0.23071490933409383	0.10199051620590427	0.2517494884265688	0.06197471403391198	0.07583807121875924	0.08381660841613481	0.11157392200654566	0.12802540382460342	0.11001389409489534	0.10938875383302131	0.1256844599918972	0.1134848800586014	0.12116859925047355	0.28729860899474	0.10490092704893213	0.15279833829704753	0.13627355591263246	0.12699226947918213	0.12888445134500504	0.11602798314460724	0.3011037841356702	0.11666435706538983	0.1170701154850038	0.11172203876145956	0.12373350931997898	0.29516944879811435	0.21474995086918638	0.23052909527385732	0.30555590264967325	0.28333664228856514	0.16435810796854378	0.14914566860768325	0.11518599433302362	0.16962281259011086	0.123038636001519	0.16081495308089275	0.2210268842710488	0.19046612066440546	0.13675488079823028	0.12098363105433185	0.13596210378808302	0.0984352289427612	0.09675428587249488	0.09027401543349492	0.12192852283991483	0.29836744254311987	0.11787757104090965	0.10609798804244702	0.11057923890037702	0.1146556837097542	0.19736740375818088	0.13276337868012908	0.2658671415581751	0.17479428240405828	0.1125696138025924	0.11034780686132489	0.1117518664748608	0.20814203126693692	0.1231356499803406	0.1111125695589428	0.08619850586870094	0.10177253204016624	0.12563897323346693	0.1261951972910756	0.3035229800667073	0.3142906238160974	0.18140739697808872	0.14179934021022977	0.15511242253786395	0.11554747763463336	0.18926288581666886	0.19232950452451783	0.08405396228056806	0.08110826412299073	0.08499519882449427	0.14122169483303873	0.10244358604313063	0.2693033622719414	0.21743234963264563	0.2673695450362574	0.15161043653753725	0.116038039231517	0.09459854153328875	0.07783319778237727	0.08758637701313869	0.08714423749779021	0.08218718047879511	0.08957550883438103
