	31450	S7Hp	530394	S31Hp	s21pp	s20pp	S21H1	S28Hp	S25Hp	s24H1	530227	S6Hp	31112	F29H1
31450	0.0	0.23447611736915158	0.2854692626971835	0.26577624751330076	0.9388971209633152	0.8986302417847802	0.6386725650686782	0.689129537312456	0.6469983744111585	0.6761361661495402	0.4932573052198627	0.4374763729942924	0.5364418746204093	0.11942286864274745
S7Hp	0.23447611736915158	0.0	0.23775187570431927	0.21805886052043655	0.8911797339704511	0.8509128547919161	0.5909551780758141	0.6414121503195919	0.5992809874182944	0.6284187791566761	0.44553991822699845	0.3897589860014281	0.4887244876275451	0.2237247518908606
530394	0.2854692626971835	0.23775187570431927	0.0	0.21772962077267474	0.8908504942226892	0.8505836150441543	0.5906259383280522	0.64108291057183	0.5989517476705325	0.6280895394089142	0.4452106784792366	0.3894297462536663	0.4883952478797833	0.2747178972188925
S31Hp	0.26577624751330076	0.21805886052043655	0.21772962077267474	0.0	0.8387412858515648	0.7984744066730298	0.5385167299569278	0.5889737022007056	0.5468425392994081	0.5759803310377897	0.39310147010811214	0.3373205378825418	0.4362860395086588	0.2550248820350098
s21pp	0.9388971209633152	0.8911797339704511	0.8908504942226892	0.8387412858515648	0.0	0.07163063124743109	0.9478010142213957	0.9982579864651735	0.956126823563876	0.9852646153022576	0.8790691530129606	0.8232882207873903	0.9222537224135072	0.9281457554850243
s20pp	0.8986302417847802	0.8509128547919161	0.8505836150441543	0.7984744066730298	0.07163063124743109	0.0	0.9075341350428607	0.9579911072866385	0.915859944385341	0.9449977361237226	0.8388022738344256	0.7830213416088553	0.8819868432349722	0.8878788763064893
S21H1	0.6386725650686782	0.5909551780758141	0.5906259383280522	0.5385167299569278	0.9478010142213957	0.9075341350428607	0.0	0.6564620153553125	0.614330852454015	0.6434686441923967	0.5788445971183236	0.5230636648927532	0.6220291665188702	0.6279211995903873
S28Hp	0.689129537312456	0.6414121503195919	0.64108291057183	0.5889737022007056	0.9982579864651735	0.9579911072866385	0.6564620153553125	0.0	0.5849292378264691	0.6140670295648507	0.6293015693621014	0.573520637136531	0.672486138762648	0.678378171834165
S25Hp	0.6469983744111585	0.5992809874182944	0.5989517476705325	0.5468425392994081	0.956126823563876	0.915859944385341	0.614330852454015	0.5849292378264691	0.0	0.45393695330127903	0.5871704064608039	0.5313894742352335	0.6303549758613505	0.6362470089328676
s24H1	0.6761361661495402	0.6284187791566761	0.6280895394089142	0.5759803310377897	0.9852646153022576	0.9449977361237226	0.6434686441923967	0.6140670295648507	0.45393695330127903	0.0	0.6163081981991855	0.5605272659736151	0.6594927675997322	0.6653848006712493
530227	0.4932573052198627	0.44553991822699845	0.4452106784792366	0.39310147010811214	0.8790691530129606	0.8388022738344256	0.5788445971183236	0.6293015693621014	0.5871704064608039	0.6163081981991855	0.0	0.23398226077004977	0.4449177299870501	0.48250593974157174
S6Hp	0.4374763729942924	0.3897589860014281	0.3894297462536663	0.3373205378825418	0.8232882207873903	0.7830213416088553	0.5230636648927532	0.573520637136531	0.5313894742352335	0.5605272659736151	0.23398226077004977	0.0	0.38913679776147975	0.4267250075160014
31112	0.5364418746204093	0.4887244876275451	0.4883952478797833	0.4362860395086588	0.9222537224135072	0.8819868432349722	0.6220291665188702	0.672486138762648	0.6303549758613505	0.6594927675997322	0.4449177299870501	0.38913679776147975	0.0	0.5256905091421183
F29H1	0.11942286864274745	0.2237247518908606	0.2747178972188925	0.2550248820350098	0.9281457554850243	0.8878788763064893	0.6279211995903873	0.678378171834165	0.6362470089328676	0.6653848006712493	0.48250593974157174	0.4267250075160014	0.5256905091421183	0.0
