	S9H1	530295	S31Hp	s24H1	S3Hp	S21H1	S28Hp	S17H1	S26Hp	530177	31328
S9H1	0.0	0.5328122245794938	0.5112972429267904	0.5472970345613913	0.5472970345613913	0.5554767205951607	0.5500806501212955	0.5501681738029854	0.48008300073799526	0.6860103353920263	0.5002639233591187
530295	0.5328122245794938	0.0	0.48936553054872567	0.5253653221833267	0.5253653221833267	0.533545008217096	0.5281489377432308	0.5282364614249208	0.4745126807424719	0.7446326751785916	0.5588862631456841
S31Hp	0.5112972429267904	0.48936553054872567	0.0	0.5038483405296231	0.5038483405296231	0.5120280265633925	0.5066319560895273	0.5067194797712172	0.4529976990897684	0.7231176935258881	0.5373712814929805
s24H1	0.5472970345613913	0.5253653221833267	0.5038483405296231	0.0	2.00000100005818e-06	0.008183686035769583	0.002787615561904304	0.00287713924459431	0.4889974907243694	0.759117485160489	0.5733710731275816
S3Hp	0.5472970345613913	0.5253653221833267	0.5038483405296231	2.00000100005818e-06	0.0	0.008183686035769583	0.002787615561904304	0.00287713924459431	0.4889974907243694	0.759117485160489	0.5733710731275816
S21H1	0.5554767205951607	0.533545008217096	0.5120280265633925	0.008183686035769583	0.008183686035769583	0.0	0.010965301594673712	0.011056825278363778	0.4971771767581388	0.7672971711942584	0.581550759161351
S28Hp	0.5500806501212955	0.5281489377432308	0.5066319560895273	0.002787615561904304	0.002787615561904304	0.010965301594673712	0.0	0.005660754804498498	0.4917811062842735	0.7619011007203932	0.5761546886874858
S17H1	0.5501681738029854	0.5282364614249208	0.5067194797712172	0.00287713924459431	0.00287713924459431	0.011056825278363778	0.005660754804498498	0.0	0.4918686299659635	0.7619886244020831	0.5762422123691757
S26Hp	0.48008300073799526	0.4745126807424719	0.4529976990897684	0.4889974907243694	0.4889974907243694	0.4971771767581388	0.4917811062842735	0.4918686299659635	0.0	0.691903451337093	0.5061570393041855
530177	0.6860103353920263	0.7446326751785916	0.7231176935258881	0.759117485160489	0.759117485160489	0.7672971711942584	0.7619011007203932	0.7619886244020831	0.691903451337093	0.0	0.7120823739572164
31328	0.5002639233591187	0.5588862631456841	0.5373712814929805	0.5733710731275816	0.5733710731275816	0.581550759161351	0.5761546886874858	0.5762422123691757	0.5061570393041855	0.7120823739572164	0.0
