	f15pp	s25pp	f14ppA	f20ppA	f23ppB	w16pp	w21pp	f26pp	f4pp	f20ppB	F23HpA	f3pp	s2pp	f2pp	f17ppB	f10pp	w28pp	f6ppB	w26pp	w25pp	S3Hp	f21pp	S21H1	f12ppA	f18pp	f30pp	w30pp	s30pp	f12ppB	S11Hp	w15pp	f25pp	f13pp	s26pp	S26Hp	S13Hp	530331	F22HpB	31009	S23Hp	S1Hp	S9H1	F16H1	31700	S6Hp	S14Hp	S25Hp	s18pp	w11pp	f11pp	S19H1	s31pp	f19pp	s17pp	f28pp	f31pp	f23ppA	f7pp	w18pp	f16ppB	f22ppB	f32pp	w10pp	f14ppB	w24pp	s19pp	s4pp	w4pp	w12pp	F6H1	w17pp	w31pp	S4Hp	S18H1	S15Hp	S22Hp	S30H1	f24pp	w13pp	w6pp	S20H1	f6ppA	s32pp	s29pp	s28pp	s24pp	s27pp	s13pp	w20pp	w3pp	w8pp	f22ppA	S8Hp	F7H1	F14H1B	w1pp	s1pp	31160	530295	w27pp	w7pp	S16H2	S12Hp	f1pp	w9pp	f16ppA	f8pp	w14pp	w19pp	s3pp	530451	s16pp	f29pp	F14H1A	f9pp	f17ppA
f15pp	0.0	0.024043643795975372	0.023121728218507248	0.035252299301231624	0.02865611075067815	0.027774795229713926	0.02427676146954895	0.031107764462360868	0.031107764462360868	0.04082300335183799	0.06043571044174606	0.08720712765867865	0.07394949032358769	0.06535972788195675	0.04424488219843918	0.032577943767459365	0.047032934928991486	0.04153926776857382	0.04063576903660329	0.0453858734868274	0.1157647048859206	0.03339296579521823	0.07824345913012819	0.04639376064682576	0.02904531088964355	0.03729046427481766	0.0760349187339918	0.06628792361359645	0.04168241193501037	0.09541121180796601	0.05305230809992219	0.052416379317036355	0.0411215091592077	0.10239966148480996	0.0774132923551926	0.1196341256246475	0.406190076608951	0.37813177539155085	0.36236270423496797	0.34361191497807947	0.3720051755235845	0.35272941470523606	0.44162462597872193	0.38795477190747996	0.36542167344660326	0.3423444654141829	0.1145905322210642	0.07511166876192275	0.091057645198356	0.10865589197033561	0.12209041086703613	0.08675888354449342	0.09848272296269851	0.08139723559206673	0.08748834290872108	0.05782382623656383	0.05893475985414001	0.039526495943215625	0.033128053611218414	0.02908993099377137	0.025280152338297654	0.012200064225751693	0.022877165214081296	0.023212634612485333	0.048865691505898395	0.045945720948425556	0.06833556107667055	0.056467341455292044	0.07316096887629472	0.08754264310809425	0.049126554140593026	0.0663604473564924	0.0797633574452462	0.04899643648811175	0.0956233750592209	0.10449256475973005	0.1047477484496258	0.03256237189321774	0.042070803538015705	0.024672112962277244	0.04976190667664082	0.04032059138227735	0.05928759152524962	0.07091677805361409	0.08491569330586206	0.0623893992934947	0.0733695953248157	0.04892086642717376	0.037476913806513024	0.04220581126151904	0.05080641212111739	0.062122404095544856	0.10250247337678839	0.059620797253040356	0.10580652858690771	0.0933818068537758	0.09884324180811516	0.05937560572258323	0.13372337390545425	0.05428929865633762	0.08435436946804092	0.11716387748202382	0.07960359049996514	0.07482943447419878	0.032854869176956084	0.013802728750103521	0.00960227769680573	0.04538767884582754	0.048249490322557646	0.06766546297277162	0.10705373527105677	0.04107876663961801	0.04885134261500819	0.07041508219924442	0.016075426144057697	0.005468248929287737
s25pp	0.024043643795975372	0.0	0.02061156115002244	0.03274213223274682	0.02614594368219335	0.02741831057418591	0.023920276814020938	0.030751279806832857	0.030751279806832857	0.040466518696309975	0.06007922578621804	0.08685064300315064	0.07359300566805968	0.06500324322642875	0.04388839754291116	0.032221459111931354	0.04667645027346347	0.04118278311304581	0.04027928438107528	0.04502938883129938	0.11540822023039259	0.03303648113969022	0.07788697447460018	0.04603727599129774	0.028688826234115537	0.036933979619289646	0.0756784340784638	0.06593143895806844	0.04132592727948236	0.095054727152438	0.05269582344439417	0.05205989466150834	0.04076502450367969	0.10204317682928195	0.0770568076996646	0.11927764096911948	0.40583359195342306	0.3777752907360229	0.36200621957944	0.3432554303225515	0.3716486908680565	0.3523729300497081	0.441268141323194	0.387598287251952	0.3650651887910753	0.34198798075865494	0.11423404756553619	0.07475518410639474	0.090701160542828	0.1082994073148076	0.12173392621150812	0.0864023988889654	0.0981262383071705	0.08104075093653872	0.08713185825319307	0.057467341581035815	0.058578275198611994	0.039170011287687614	0.0327715689556904	0.02873344633824336	0.02492366768276964	0.01184557957122374	0.04276388758966085	0.043099356988064885	0.06875241388147794	0.06583244332400512	0.08822228345225011	0.0763540638308716	0.09304769125187429	0.10742936548367381	0.06901327651617258	0.08624716973207196	0.09965007982082576	0.0688831588636913	0.11551009743480047	0.12437928713530962	0.12463447082520536	0.052449094268797306	0.06195752591359527	0.0445588353378568	0.06964862905222037	0.060207313757856915	0.07917431390082919	0.09080350042919365	0.10480241568144162	0.08227612166907426	0.09325631770039526	0.06880758880275333	0.05736363618209259	0.0620925336370986	0.07069313449669694	0.08200912647112442	0.12238919575236795	0.07950751962861992	0.12569325096248726	0.11326852922935536	0.11872996418369472	0.07926232809816279	0.1536100962810338	0.07417602103191717	0.10424109184362049	0.13705059985760337	0.0994903128755447	0.09471615684977834	0.05274159155253564	0.03368945112568308	0.029489000072385287	0.0652744012214071	0.0681362126981372	0.08755218534835117	0.12694045764663633	0.06096548901519756	0.06873806499058774	0.09030180457482398	0.03596214851963725	0.02535497130486729
f14ppA	0.023121728218507248	0.02061156115002244	0.0	0.021341523702476422	0.014745335151922948	0.026496394996717784	0.02299836123655281	0.02982936422936473	0.02982936422936473	0.03954460311884185	0.05915731020874991	0.08592872742568251	0.07267109009059156	0.06408132764896061	0.04296648196544303	0.03129954353446322	0.045754534695995344	0.040260867535577685	0.03935736880360715	0.044107473253831256	0.11448630465292446	0.032114565562222086	0.07696505889713205	0.04511536041382962	0.02776691065664741	0.036012064041821515	0.07475651850099567	0.06500952338060031	0.04040401170201423	0.09413281157496987	0.05177390786692604	0.051137979084040205	0.03984310892621157	0.10112126125181382	0.07613489212219647	0.11835572539165136	0.40491167637595493	0.37685337515855477	0.3610843040019719	0.3423335147450834	0.3707267752905884	0.35145101447224	0.44034622574572585	0.3866763716744839	0.3641432732136072	0.3410660651811868	0.11331213198806807	0.07383326852892662	0.08977924496535987	0.10737749173733947	0.12081201063404	0.08548048331149728	0.09720432272970238	0.08011883535907059	0.08620994267572495	0.056545426003567684	0.05765635962114386	0.03824809571021949	0.03184965337822228	0.027811530760775232	0.024001752105301512	0.010923663993755613	0.041841972012192724	0.04217744141059676	0.06783049830400982	0.064910527746537	0.08730036787478199	0.07543214825340347	0.09212577567440616	0.10650744990620567	0.06809136093870445	0.08532525415460382	0.09872816424335762	0.06796124328622317	0.11458818185733233	0.12345737155784148	0.12371255524773722	0.051527178691329174	0.06103561033612714	0.04363691976038867	0.06872671347475225	0.05928539818038878	0.07825239832336106	0.08988158485172551	0.10388050010397348	0.08135420609160612	0.09233440212292712	0.06788567322528519	0.056441720604624455	0.06117061805963047	0.06977121891922881	0.08108721089365628	0.12146728017489983	0.07858560405115178	0.12477133538501914	0.11234661365188722	0.1178080486062266	0.07834041252069465	0.15268818070356568	0.07325410545444905	0.10331917626615236	0.13612868428013525	0.09856839729807657	0.0937942412723102	0.05181967597506751	0.032767535548214946	0.02856708449491716	0.06435248564393897	0.06721429712066908	0.08663026977088305	0.1260185420691682	0.06004357343772944	0.06781614941311961	0.08937988899735584	0.035040232942169125	0.024433055727399164
f20ppA	0.035252299301231624	0.03274213223274682	0.021341523702476422	0.0	0.014814162916041531	0.03862696607944216	0.03512893231927719	0.04195993531208911	0.04195993531208911	0.051675174201566226	0.07128788129147429	0.09805929850840689	0.08480166117331595	0.07621189873168499	0.055097053048167415	0.043430114617187605	0.05788510577871972	0.05239143861830206	0.05148793988633153	0.05623804433655563	0.12661687573564884	0.04424513664494647	0.08909562997985643	0.05724593149655399	0.039897481739371785	0.0481426351245459	0.08688708958372005	0.07714009446332469	0.05253458278473861	0.10626338265769425	0.06390447894965043	0.06326855016676458	0.051973680008935944	0.1132518323345382	0.08826546320492085	0.13048629647437573	0.4170422474586793	0.38898394624127913	0.37321487508469625	0.35446408582780775	0.38285734637331276	0.36358158555496434	0.4524767968284502	0.39880694275720824	0.37627384429633154	0.3531966362639112	0.12544270307079244	0.085963839611651	0.10190981604808425	0.11950806282006385	0.13294258171676437	0.09761105439422166	0.10933489381242675	0.09224940644179497	0.09834051375844932	0.06867599708629207	0.06978693070386824	0.050378666792943866	0.043980224460946654	0.03994210184349961	0.036132323188025894	0.02305423507647999	0.0539725430949171	0.05430801249332114	0.0799610693867342	0.07704109882926136	0.09943093895750635	0.08756271933612784	0.10425634675713052	0.11863802098893006	0.08022193202142883	0.09745582523732821	0.11085873532608201	0.08009181436894755	0.12671875294005672	0.13558794264056587	0.1358431263304616	0.06365774977405356	0.0731661814188515	0.05576749084311305	0.08085728455747662	0.07141596926311317	0.09038296940608542	0.1020121559344499	0.11601107118669787	0.09348477717433051	0.10446497320565151	0.08001624430800958	0.06857229168734882	0.07330118914235484	0.08190179000195319	0.09321778197638067	0.1335978512576242	0.09071617513387617	0.13690190646774353	0.12447718473461161	0.12993861968895096	0.09047098360341904	0.16481875178629005	0.08538467653717342	0.11544974734887672	0.14825925536285964	0.11069896838080096	0.10592481235503459	0.06395024705779188	0.04489810663093933	0.04069765557764154	0.07648305672666335	0.07934486820339345	0.09876084085360742	0.13814911315189257	0.07217414452045381	0.079946720495844	0.10151046008008022	0.0471708040248935	0.036563626810123546
f23ppB	0.02865611075067815	0.02614594368219335	0.014745335151922948	0.014814162916041531	0.0	0.032030777528888686	0.028532743768723716	0.035363746761535635	0.035363746761535635	0.04507898565101276	0.06469169274092082	0.09146310995785342	0.07820547262276246	0.06961571018113152	0.04850086449761394	0.03683392606663413	0.051288917228166246	0.04579525006774859	0.04489175133577805	0.04964185578600216	0.12002068718509537	0.037648948094392995	0.08249944142930296	0.05064974294600052	0.03330129318881832	0.041546446573992424	0.08029090103316658	0.07054390591277121	0.04593839423418514	0.09966719410714078	0.05730829039909695	0.056672361616211114	0.04537749145838247	0.10665564378398473	0.08166927465436738	0.12389010792382227	0.4104460589081258	0.38238775769072564	0.36661868653414276	0.34786789727725426	0.37626115782275926	0.35698539700441084	0.4458806082778967	0.39221075420665474	0.36967765574577804	0.3466004477133577	0.11884651452023898	0.07936765106109753	0.09531362749753078	0.11291187426951038	0.1263463931662109	0.09101486584366819	0.10273870526187329	0.0856532178912415	0.09174432520789585	0.06207980853573859	0.06319074215331477	0.04378247824239039	0.03738403591039318	0.03334591329294614	0.029536134637472417	0.016458046525926515	0.047376354544363626	0.04771182394276766	0.07336488083618073	0.07044491027870789	0.09283475040695288	0.08096653078557436	0.09766015820657706	0.11204183243837658	0.07362574347087536	0.09085963668677473	0.10426254677552853	0.07349562581839408	0.12012256438950324	0.1289917540900124	0.12924693777990814	0.057061561223500076	0.06656999286829804	0.049171302292559574	0.07426109600692316	0.06481978071255969	0.08378678085553196	0.09541596738389642	0.10941488263614439	0.08688858862377703	0.09786878465509803	0.0734200557574561	0.06197610313679536	0.06670500059180137	0.07530560145139972	0.08662159342582719	0.12700166270707072	0.08411998658332269	0.13030571791719003	0.11788099618405813	0.12334243113839749	0.08387479505286556	0.15822256323573658	0.07878848798661994	0.10885355879832326	0.14166306681230617	0.10410277983024747	0.09932862380448111	0.05735405850723842	0.038301918080385855	0.03410146702708806	0.06988686817610987	0.07274867965283997	0.09216465230305394	0.1315529246013391	0.06557795596990033	0.07335053194529052	0.09491427152952675	0.04057461547434003	0.029967438259570066
w16pp	0.027774795229713926	0.02741831057418591	0.026496394996717784	0.03862696607944216	0.032030777528888686	0.0	0.014225991859494917	0.0319223944156988	0.0319223944156988	0.041637633305175926	0.06125034039508399	0.08802175761201658	0.07476412027692564	0.0661743578352947	0.04505951215177711	0.0333925737207973	0.04784756488232941	0.042353897721911754	0.041450398989941226	0.046200503440165325	0.11657933483925853	0.03420759574855616	0.07905808908346612	0.047208390600163685	0.02985994084298148	0.03810509422815559	0.07684954868732974	0.06710255356693438	0.042497041888348304	0.09622584176130394	0.053866938053260115	0.05323100927037428	0.04193613911254564	0.10321429143814789	0.07822792230853054	0.12044875557798543	0.407004706562289	0.3789464053448888	0.36317733418830594	0.34442654493141744	0.37281980547692245	0.35354404465857403	0.4424392559320599	0.38876940186081793	0.36623630339994123	0.34315909536752087	0.11540516217440214	0.07592629871526069	0.09187227515169394	0.10947052192367354	0.12290504082037407	0.08757351349783135	0.09929735291603645	0.08221186554540466	0.08830297286205901	0.05863845618990176	0.05974938980747794	0.04034112589655356	0.03394268356455635	0.029904560947109304	0.026094782291635588	0.01557673100496229	0.0464950390233994	0.04683050842180344	0.07248356531521649	0.06956359475774367	0.09195343488598866	0.08008521526461015	0.09677884268561283	0.11116051691741236	0.07274442794991112	0.0899783211658105	0.1033812312545643	0.07261431029742985	0.11924124886853901	0.12811043856904816	0.1283656222589439	0.05618024570253585	0.06568867734733382	0.04828998677159535	0.07337978048595892	0.06393846519159546	0.08290546533456773	0.0945346518629322	0.10853356711518017	0.08600727310281281	0.09698746913413381	0.07253874023649187	0.061094787615831134	0.06582368507083715	0.07442428593043549	0.08574027790486297	0.12612034718610649	0.08323867106235847	0.12942440239622582	0.11699968066309391	0.12246111561743327	0.08299347953190134	0.15734124771477237	0.07790717246565573	0.10797224327735903	0.14078175129134193	0.10322146430928325	0.09844730828351689	0.056472742986274194	0.03742060255942163	0.033220151506123834	0.06900555265514564	0.07186736413187575	0.09128333678208972	0.13067160908037487	0.06469664044893611	0.0724692164243263	0.09403295600856253	0.0396932999533758	0.029086122738605842
w21pp	0.02427676146954895	0.023920276814020938	0.02299836123655281	0.03512893231927719	0.028532743768723716	0.014225991859494917	0.0	0.02842436065553383	0.02842436065553383	0.03813959954501095	0.057752306634919016	0.08452372385185161	0.07126608651676067	0.06267632407512971	0.04156147839161214	0.02989453996063233	0.04434953112216444	0.038855863961746784	0.037952365229776255	0.042702469680000354	0.11308130107909356	0.03070956198839119	0.07556005532330115	0.043710356839998715	0.026361907082816508	0.03460706046799062	0.07335151492716477	0.06360451980676941	0.038999008128183334	0.09272780800113897	0.050368904293095144	0.04973297551020931	0.038438105352380667	0.09971625767798292	0.07472988854836557	0.11695072181782046	0.40350667280212404	0.3754483715847239	0.359679300428141	0.34092851117125245	0.3693217717167575	0.35004601089840903	0.4389412221718949	0.385271368100653	0.3627382696397763	0.3396610616073559	0.11190712841423717	0.07242826495509572	0.08837424139152897	0.10597248816350857	0.1194070070602091	0.08407547973766638	0.09579931915587148	0.07871383178523969	0.08480493910189404	0.05514042242973679	0.05625135604731297	0.03684309213638859	0.030444649804391377	0.026406527186944334	0.022596748531470614	0.012078697244797317	0.042997005263234425	0.04333247466163846	0.06898553155505152	0.0660655609975787	0.08845540112582369	0.07658718150444517	0.09328080892544786	0.10766248315724739	0.06924639418974615	0.08648028740564553	0.09988319749439933	0.06911627653726488	0.11574321510837404	0.12461240480888319	0.12486758849877894	0.05268221194237088	0.062190643587168845	0.04479195301143038	0.06988174672579395	0.06044043143143049	0.07940743157440276	0.09103661810276722	0.1050355333550152	0.08250923934264784	0.09348943537396884	0.0690407064763269	0.05759675385566616	0.06232565131067218	0.07092625217027052	0.082242244144698	0.12262231342594153	0.0797406373021935	0.12592636863606085	0.11350164690292894	0.1189630818572683	0.07949544577173637	0.15384321395460737	0.07440913870549075	0.10447420951719406	0.13728371753117696	0.09972343054911828	0.09494927452335192	0.052974709226109216	0.033922568799256654	0.029722117745958863	0.06550751889498067	0.06836933037171078	0.08778530302192475	0.1271735753202099	0.06119860668877114	0.06897118266416133	0.09053492224839754	0.036195266193210826	0.02558808897844087
f26pp	0.031107764462360868	0.030751279806832857	0.02982936422936473	0.04195993531208911	0.035363746761535635	0.0319223944156988	0.02842436065553383	0.0	2.00000100005818e-06	0.013377820626977465	0.032990527716885536	0.05976194493381812	0.04650430759872718	0.03791454515709624	0.022738549192565953	0.011071610761586147	0.02552660192311826	0.0200329347627006	0.029674871912460935	0.03442497636268504	0.10480380776177824	0.022432068671075875	0.06728256200598584	0.035432863522683405	0.01808441376550119	0.030979648862275715	0.06972410332144985	0.05997710820105451	0.03537159652246843	0.08910039639542408	0.04674149268738024	0.046105563904494405	0.03481069374666576	0.09608884607226803	0.07110247694265066	0.11332331021210557	0.3998792611964091	0.37182095997900894	0.35605188882242605	0.33730109956553755	0.36569436011104256	0.34641859929269414	0.43531381056618	0.38164395649493804	0.35911085803406134	0.336033650001641	0.10827971680852227	0.06880085334938081	0.08474682978581408	0.10234507655779368	0.1157795954544942	0.08044806813195146	0.09217190755015658	0.0750864201795248	0.08117752749617912	0.05151301082402188	0.05262394444159806	0.03321568053067368	0.02681723819867647	0.022779115581229428	0.018969336925755708	0.018909700237609232	0.049828008256046344	0.05016347765445038	0.07581653454786344	0.0728965639903906	0.09528640411863559	0.08341818449725709	0.10011181191825977	0.1144934861500593	0.07607739718255807	0.09331129039845745	0.10671420048721125	0.0759472795300768	0.12257421810118596	0.1314434078016951	0.13169859149159086	0.059513214935182794	0.06902164657998075	0.05162295600424229	0.07671274971860587	0.06727143442424241	0.08623843456721467	0.09786762109557914	0.11186653634782712	0.08934024233545976	0.10032043836678076	0.07587170946913882	0.06442775684847807	0.06915665430348408	0.07775725516308243	0.08907324713750991	0.12945331641875343	0.08657164029500541	0.13275737162887277	0.12033264989574086	0.1257940848500802	0.08632644876454829	0.1606742169474193	0.08124014169830267	0.11130521251000597	0.14411472052398888	0.1065544335419302	0.10178027751616384	0.05980571221892113	0.04075357179206857	0.03655312073877078	0.07233852188779259	0.0752003333645227	0.09461630601473667	0.13400457831302182	0.06802960968158306	0.07580218565697325	0.09736592524120946	0.043026269186022745	0.03241909197125279
f4pp	0.031107764462360868	0.030751279806832857	0.02982936422936473	0.04195993531208911	0.035363746761535635	0.0319223944156988	0.02842436065553383	2.00000100005818e-06	0.0	0.013377820626977465	0.032990527716885536	0.05976194493381812	0.04650430759872718	0.03791454515709624	0.022738549192565953	0.011071610761586147	0.02552660192311826	0.0200329347627006	0.029674871912460935	0.03442497636268504	0.10480380776177824	0.022432068671075875	0.06728256200598584	0.035432863522683405	0.01808441376550119	0.030979648862275715	0.06972410332144985	0.05997710820105451	0.03537159652246843	0.08910039639542408	0.04674149268738024	0.046105563904494405	0.03481069374666576	0.09608884607226803	0.07110247694265066	0.11332331021210557	0.3998792611964091	0.37182095997900894	0.35605188882242605	0.33730109956553755	0.36569436011104256	0.34641859929269414	0.43531381056618	0.38164395649493804	0.35911085803406134	0.336033650001641	0.10827971680852227	0.06880085334938081	0.08474682978581408	0.10234507655779368	0.1157795954544942	0.08044806813195146	0.09217190755015658	0.0750864201795248	0.08117752749617912	0.05151301082402188	0.05262394444159806	0.03321568053067368	0.02681723819867647	0.022779115581229428	0.018969336925755708	0.018909700237609232	0.049828008256046344	0.05016347765445038	0.07581653454786344	0.0728965639903906	0.09528640411863559	0.08341818449725709	0.10011181191825977	0.1144934861500593	0.07607739718255807	0.09331129039845745	0.10671420048721125	0.0759472795300768	0.12257421810118596	0.1314434078016951	0.13169859149159086	0.059513214935182794	0.06902164657998075	0.05162295600424229	0.07671274971860587	0.06727143442424241	0.08623843456721467	0.09786762109557914	0.11186653634782712	0.08934024233545976	0.10032043836678076	0.07587170946913882	0.06442775684847807	0.06915665430348408	0.07775725516308243	0.08907324713750991	0.12945331641875343	0.08657164029500541	0.13275737162887277	0.12033264989574086	0.1257940848500802	0.08632644876454829	0.1606742169474193	0.08124014169830267	0.11130521251000597	0.14411472052398888	0.1065544335419302	0.10178027751616384	0.05980571221892113	0.04075357179206857	0.03655312073877078	0.07233852188779259	0.0752003333645227	0.09461630601473667	0.13400457831302182	0.06802960968158306	0.07580218565697325	0.09736592524120946	0.043026269186022745	0.03241909197125279
f20ppB	0.04082300335183799	0.040466518696309975	0.03954460311884185	0.051675174201566226	0.04507898565101276	0.041637633305175926	0.03813959954501095	0.013377820626977465	0.013377820626977465	0.0	0.029747178835276798	0.05651859605220938	0.04326095871711844	0.0346711962754875	0.03245378808204308	0.02078684965106327	0.035241840812595376	0.029748173652177724	0.03939011080193806	0.04414021525216216	0.11451904665125535	0.03214730756055299	0.07699780089546296	0.04514810241216052	0.027799652654978316	0.04069488775175284	0.07943934221092698	0.06969234709053163	0.04508683541194555	0.0988156352849012	0.056456731576857364	0.05582080279397153	0.04452593263614288	0.10580408496174515	0.08081771583212778	0.12303854910158268	0.4095945000858862	0.38153619886848605	0.3657671277119032	0.3470163384550147	0.3754095990005197	0.35613383818217126	0.44502904945565713	0.39135919538441516	0.36882609692353846	0.3457488888911181	0.11799495569799939	0.07851609223885793	0.0944620686752912	0.1120603154472708	0.12549483434397132	0.0901633070214286	0.1018871464396337	0.08480165906900192	0.09089276638565626	0.06122824971349901	0.06233918333107519	0.0429309194201508	0.036532477088153596	0.032494354470706546	0.02868457581523283	0.028624939127086354	0.05954324714552347	0.059878716543927506	0.08553177343734056	0.08261180287986773	0.10500164300811272	0.09313342338673422	0.1098270508077369	0.12420872503953642	0.08579263607203519	0.10302652928793457	0.11642943937668837	0.08566251841955391	0.13228945699066308	0.14115864669117223	0.14141383038106797	0.06922845382465992	0.07873688546945788	0.06133819489371942	0.08642798860808298	0.07698667331371953	0.0959536734566918	0.10758285998505626	0.12158177523730423	0.09905548122493688	0.11003567725625787	0.08558694835861594	0.0741429957379552	0.07887189319296121	0.08747249405255955	0.09878848602698703	0.13916855530823058	0.09628687918448253	0.1424726105183499	0.13004788878521797	0.13550932373955732	0.0960416876540254	0.1703894558368964	0.0909553805877798	0.1210204513994831	0.153829959413466	0.11626967243140732	0.11149551640564095	0.06952095110839826	0.0504688106815457	0.04626835962824791	0.08205376077726972	0.08491557225399982	0.10433154490421379	0.14371981720249893	0.07774484857106018	0.08551742454645037	0.10708116413068659	0.05274150807549988	0.042134330860729916
