	S3Hp	530055	f14ppB	530295	w9pp	S15Hp	S13Hp	w21pp	S21H1	F7H1	31267
S3Hp	0.0	0.23346914547456388	2.115716723553866	2.2072087481061953	2.1798736512716843	2.2255477564004735	2.1482726001530303	2.0775930385462433	0.2562502453867263	0.23511086675967746	0.18752430015537358
530055	0.23346914547456388	0.0	2.0725322020822703	2.1640242266345995	2.1366891298000885	2.1823632349288777	2.1050880786814345	2.0344085170746475	0.21306572391513046	0.19192634528808164	0.18485124411500084
f14ppB	2.115716723553866	2.0725322020822703	0.0	0.10206641610209569	0.07473131926758496	0.12040542439637389	0.07105547188747983	0.07336522099923674	2.0557538417402643	2.0346144631132157	2.0670988221943034
530295	2.2072087481061953	2.1640242266345995	0.10206641610209569	0.0	0.1245061744547062	0.17018027958349513	0.16254749643980898	0.1648572455515659	2.1472458662925935	2.126106487665545	2.158590846746632
w9pp	2.1798736512716843	2.1366891298000885	0.07473131926758496	0.1245061744547062	0.0	0.06633138744702154	0.13521239960529824	0.13752214871705515	2.1199107694580825	2.098771390831034	2.131255749912121
S15Hp	2.2255477564004735	2.1823632349288777	0.12040542439637389	0.17018027958349513	0.06633138744702154	0.0	0.18088650473408718	0.1831962538458441	2.1655848745868718	2.144445495959823	2.1769298550409104
S13Hp	2.1482726001530303	2.1050880786814345	0.07105547188747983	0.16254749643980898	0.13521239960529824	0.18088650473408718	0.0	0.10592109759840128	2.088309718339429	2.06717033971238	2.0996546987934677
w21pp	2.0775930385462433	2.0344085170746475	0.07336522099923674	0.1648572455515659	0.13752214871705515	0.1831962538458441	0.10592109759840128	0.0	2.0176301567326416	1.9964907781055925	2.0289751371866807
S21H1	0.2562502453867263	0.21306572391513046	2.0557538417402643	2.1472458662925935	2.1199107694580825	2.1655848745868718	2.088309718339429	2.0176301567326416	0.0	0.14038203195291477	0.2076323440271633
F7H1	0.23511086675967746	0.19192634528808164	2.0346144631132157	2.126106487665545	2.098771390831034	2.144445495959823	2.06717033971238	1.9964907781055925	0.14038203195291477	0.0	0.18649296540011445
31267	0.18752430015537358	0.18485124411500084	2.0670988221943034	2.158590846746632	2.131255749912121	2.1769298550409104	2.0996546987934677	2.0289751371866807	0.2076323440271633	0.18649296540011445	0.0
