	S20H1	S1Hp	w3pp	w9pp	f7pp	f21pp	f2pp	w18pp	f30pp	f22ppA	f12ppA	w10pp	f9pp	w21pp	f31pp	f14ppB
S20H1	0.0	0.5173809492771577	1.016404880029449	0.9641861500476641	0.9330984031347332	1.0637615937578881	1.065499391528148	1.0652222078152178	0.9430993483816354	0.9793444504762208	1.0014073860255706	1.0268288045597544	1.0457302700586495	0.9147162976704781	0.9149972155057179	0.8578987879538444
S1Hp	0.5173809492771577	0.0	0.8607639048294231	0.8085451748476381	0.7774574279347073	0.9081206185578621	0.9098584163281223	0.909581232615192	0.7874583731816095	0.8237034752761949	0.8457664108255447	0.8711878293597285	0.8900892948586236	0.7590753224704522	0.7593562403056919	0.7022578127538184
w3pp	1.016404880029449	0.8607639048294231	0.0	0.2899943572760627	0.2589066103631319	0.42298035938650197	0.4247181571567621	0.4244409734438318	0.30231811401024933	0.3718515473880165	0.3939144829373663	0.4193359014715501	0.4593809748155959	0.32836700242742445	0.36769184221373247	0.3561611416073376
w9pp	0.9641861500476641	0.8085451748476381	0.2899943572760627	0.0	0.20668588038034688	0.370761629404717	0.3724994271749772	0.3722222434620469	0.25009938402846443	0.31963281740623156	0.3416957529555814	0.3671171714897652	0.40716224483381097	0.27614827244563955	0.3154731122319475	0.30394241162555263
f7pp	0.9330984031347332	0.7774574279347073	0.2589066103631319	0.20668588038034688	0.0	0.3396738824917862	0.3414116802620463	0.34113449654911604	0.21901163711553356	0.2885450704933007	0.31060800604265054	0.3360294245768344	0.3760744979208801	0.24506052553270868	0.2843853653190167	0.27285466471262176
f21pp	1.0637615937578881	0.9081206185578621	0.42298035938650197	0.370761629404717	0.3396738824917862	0.0	0.30822580742210737	0.3079486237091771	0.3292649098061064	0.4192082611164556	0.4412711966658054	0.4666926151999892	0.506737688544035	0.37572371615586353	0.4150485559421716	0.40351785533577667
f2pp	1.065499391528148	0.9098584163281223	0.4247181571567621	0.3724994271749772	0.3414116802620463	0.30822580742210737	0.0	0.26696640662021126	0.3310027075763665	0.4209460588867157	0.44300899443606556	0.46843041297024934	0.5084754863142951	0.3774615139261237	0.41678635371243167	0.4052556531060368
w18pp	1.0652222078152178	0.909581232615192	0.4244409734438318	0.3722222434620469	0.34113449654911604	0.3079486237091771	0.26696640662021126	0.0	0.33072552386343623	0.42066887517378543	0.4427318107231353	0.46815322925731906	0.5081983026013648	0.3771843302131934	0.4165091699995014	0.4049784693931065
f30pp	0.9430993483816354	0.7874583731816095	0.30231811401024933	0.25009938402846443	0.21901163711553356	0.3292649098061064	0.3310027075763665	0.33072552386343623	0.0	0.298546015740203	0.3206089512895528	0.3460303698237366	0.3860754431677824	0.25506147077961094	0.29438631056591896	0.2828556099595241
f22ppA	0.9793444504762208	0.8237034752761949	0.3718515473880165	0.31963281740623156	0.2885450704933007	0.4192082611164556	0.4209460588867157	0.42066887517378543	0.298546015740203	0.0	0.3459553584950381	0.37137677702922195	0.42232054526236773	0.29130657287419626	0.33063141266050433	0.3191007120541094
f12ppA	1.0014073860255706	0.8457664108255447	0.3939144829373663	0.3416957529555814	0.31060800604265054	0.4412711966658054	0.44300899443606556	0.4427318107231353	0.3206089512895528	0.3459553584950381	0.0	0.32871558737936035	0.4443834808117175	0.3133695084235461	0.3526943482098541	0.3411636476034592
w10pp	1.0268288045597544	0.8711878293597285	0.4193359014715501	0.3671171714897652	0.3360294245768344	0.4666926151999892	0.46843041297024934	0.46815322925731906	0.3460303698237366	0.37137677702922195	0.32871558737936035	0.0	0.46980489934590136	0.33879092695772994	0.3781157667440379	0.366585066137643
f9pp	1.0457302700586495	0.8900892948586236	0.4593809748155959	0.40716224483381097	0.3760744979208801	0.506737688544035	0.5084754863142951	0.5081983026013648	0.3860754431677824	0.42232054526236773	0.4443834808117175	0.46980489934590136	0.0	0.2912438882595655	0.39701723224293306	0.3854865316365381
w21pp	0.9147162976704781	0.7590753224704522	0.32836700242742445	0.27614827244563955	0.24506052553270868	0.37572371615586353	0.3774615139261237	0.3771843302131934	0.25506147077961094	0.29130657287419626	0.3133695084235461	0.33879092695772994	0.2912438882595655	0.0	0.2660032598547616	0.25447255924836665
f31pp	0.9149972155057179	0.7593562403056919	0.36769184221373247	0.3154731122319475	0.2843853653190167	0.4150485559421716	0.41678635371243167	0.4165091699995014	0.29438631056591896	0.33063141266050433	0.3526943482098541	0.3781157667440379	0.39701723224293306	0.2660032598547616	0.0	0.2547534770836065
f14ppB	0.8578987879538444	0.7022578127538184	0.3561611416073376	0.30394241162555263	0.27285466471262176	0.40351785533577667	0.4052556531060368	0.4049784693931065	0.2828556099595241	0.3191007120541094	0.3411636476034592	0.366585066137643	0.3854865316365381	0.25447255924836665	0.2547534770836065	0.0
